time,ax,ay,az,atotal
0.011343002319335938,0.25,0.19,0.91,0.96
0.019405841827392578,0.18,0.29,1.33,1.37
0.02856588363647461,0.34,-0.33,0.51,0.69
0.038591861724853516,0.27,-0.25,0.45,0.58
0.04842185974121094,0.53,0.11,0.98,1.11
0.06119990348815918,0.73,0.14,1.05,1.28
0.06930398941040039,0.51,0.22,0.88,1.04
0.07892990112304688,0.27,0.35,0.73,0.85
0.0885930061340332,0.23,0.24,0.09,0.34
0.09842300415039062,0.58,-0.04,-0.36,0.68
0.11112284660339355,1.11,-0.29,-0.58,1.28
0.11974191665649414,1.01,-0.63,-0.32,1.23
0.12859392166137695,0.63,-0.7,0.49,1.06
0.13873887062072754,0.26,-0.71,1.05,1.29
0.14835786819458008,0.41,-0.55,1.11,1.3
0.16106486320495605,-0.41,-0.24,0.76,0.89
0.16967487335205078,-0.66,0.17,0.14,0.69
0.17913293838500977,-0.64,0.48,-0.68,1.04
0.18889188766479492,-0.53,0.59,-1.3,1.52
0.1986827850341797,-0.35,0.77,-1.33,1.57
0.2120678424835205,-0.18,1.21,-0.4,1.28
0.2198939323425293,-0.63,0.26,-0.96,1.17
0.22895288467407227,-0.79,-0.04,-0.54,0.95
0.23915791511535645,-0.47,0.01,0.25,0.53
0.24873089790344238,-0.37,0.08,0.71,0.8
0.2615647315979004,-0.24,-0.25,0.3,0.45
0.27004003524780273,-0.05,-0.23,-0.1,0.25
0.2792928218841553,-0.18,-0.09,-0.57,0.6
0.2892138957977295,0.08,-0.26,-0.89,0.93
0.2991328239440918,-0.1,-0.36,-0.92,0.99
0.3122420310974121,-0.32,-0.42,-0.37,0.64
0.32013583183288574,-0.2,-0.51,0.19,0.57
0.3292050361633301,0.12,-0.67,0.55,0.87
0.33896684646606445,0.45,-0.78,0.77,1.18
0.349092960357666,0.42,-0.83,0.75,1.19
0.36197686195373535,-0.06,-0.5,0.93,1.05
0.3700590133666992,-0.48,-0.05,1.07,1.17
0.379335880279541,-0.33,0.0,0.65,0.72
0.3892018795013428,-0.17,0.06,0.14,0.22
0.3988168239593506,-0.26,0.16,-0.17,0.34
0.4123997688293457,-0.15,0.04,-0.44,0.46
0.42032480239868164,-0.1,-0.05,-0.53,0.54
0.42938899993896484,0.09,-0.07,-0.51,0.52
0.4392688274383545,0.26,-0.17,-0.45,0.54
0.4490809440612793,0.23,-0.2,-0.26,0.4
0.46236491203308105,0.11,-0.26,0.0,0.28
0.4701237678527832,0.13,-0.36,0.41,0.56
0.47938084602355957,0.14,-0.26,0.91,0.95
0.4894688129425049,0.11,-0.33,0.77,0.84
0.4988138675689697,0.0,-0.24,-4.9,4.9
0.5118958950042725,-0.16,0.42,-3.39,3.41
0.5197858810424805,-1.41,0.04,0.28,1.43
0.5288887023925781,-0.99,0.11,0.96,1.38
0.5390586853027344,-0.01,0.35,2.14,2.16
0.5488648414611816,0.39,0.2,1.58,1.63
0.5617349147796631,0.5,0.5,0.11,0.71
0.5703268051147461,0.08,0.66,-1.05,1.24
0.5792579650878906,-0.45,0.75,-1.65,1.86
0.5903499126434326,-0.82,0.98,-1.7,2.12
0.5987586975097656,-0.46,1.19,-1.82,2.22
0.6115188598632812,-0.13,1.44,-1.84,2.34
0.6199069023132324,-0.09,1.66,-1.21,2.05
0.6288418769836426,0.06,1.84,-0.11,1.84
0.6388418674468994,0.3,1.98,0.84,2.17
0.6486220359802246,0.26,1.99,1.39,2.44
0.6613419055938721,0.21,2.43,1.81,3.03
0.6697688102722168,-0.32,2.87,2.0,3.51
0.6787548065185547,-1.0,3.08,1.78,3.69
0.6887938976287842,-1.72,2.57,1.16,3.3
0.6986038684844971,-2.55,2.39,0.91,3.61
0.7116317749023438,-3.24,3.09,0.68,4.52
0.7200078964233398,-2.76,3.74,0.85,4.72
0.7288148403167725,-1.81,3.31,0.45,3.79
0.7389459609985352,-1.18,2.91,0.25,3.15
0.7487688064575195,-0.85,2.41,-0.02,2.55
0.7612719535827637,-0.18,1.48,-0.48,1.56
0.7697076797485352,0.97,1.18,-0.69,1.67
0.778925895690918,1.08,-0.15,0.19,1.1
0.7888698577880859,1.02,-1.16,0.41,1.59
0.7986087799072266,0.97,-1.38,0.71,1.83
0.8109908103942871,0.25,-2.01,0.91,2.22
0.8194518089294434,-0.26,-2.5,0.72,2.61
0.8287439346313477,-0.46,-3.01,0.44,3.07
0.8387038707733154,-0.52,-3.49,0.52,3.56
0.8484358787536621,-0.36,-3.57,0.56,3.63
0.8611488342285156,-0.39,-3.9,0.4,3.93
0.869675874710083,-0.43,-4.4,0.22,4.42
0.8789608478546143,-0.14,-4.67,-0.18,4.67
0.888934850692749,0.15,-4.71,-0.61,4.75
0.8986740112304688,0.32,-5.06,-0.72,5.12
0.9115157127380371,0.62,-5.5,-0.5,5.55
0.9198379516601562,0.65,-5.79,-0.21,5.83
0.928886890411377,0.04,-6.3,-0.08,6.3
0.9390778541564941,-0.64,-7.18,-0.15,7.21
0.9487698078155518,-0.95,-7.99,-0.35,8.05
0.961331844329834,-1.22,-9.15,-0.89,9.27
0.9697458744049072,-1.53,-10.46,-1.25,10.64
0.9790768623352051,-1.52,-11.69,-1.44,11.87
0.989109992980957,-1.01,-12.55,-1.32,12.65
0.9988207817077637,-0.44,-13.07,-0.81,13.1
1.0113120079040527,0.8,-13.57,-0.37,13.59
1.019765853881836,2.4,-13.89,-0.26,14.09
1.0290307998657227,3.8,-13.58,-0.01,14.1
1.0391628742218018,4.03,-12.65,-0.06,13.27
1.0487818717956543,3.18,-11.65,-0.55,12.08
1.0616438388824463,1.64,-10.59,-1.25,10.78
1.069678783416748,-0.13,-9.0,-1.92,9.2
1.0790729522705078,-1.68,-6.72,-2.76,7.45
1.0890698432922363,-3.15,-3.78,-3.09,5.81
1.0987367630004883,-5.23,-1.12,-3.42,6.34
1.1113920211791992,-6.3,2.37,-2.98,7.36
1.119614839553833,-7.01,6.59,-2.26,9.88
1.129164695739746,-8.1,10.7,-0.11,13.42
1.1396799087524414,-9.92,14.18,2.55,17.49
1.1488358974456787,-10.96,17.24,4.24,20.86
1.1616039276123047,-10.56,19.62,5.21,22.88
1.169717788696289,-8.82,20.43,5.36,22.88
1.1795299053192139,-6.52,19.56,4.41,21.08
1.189469814300537,-4.29,18.61,3.33,19.38
1.1986217498779297,-2.65,17.37,2.9,17.8
1.2119128704071045,-1.28,15.74,2.45,15.98
1.2199828624725342,0.08,13.78,2.02,13.92
1.2292900085449219,1.5,12.16,1.9,12.39
1.239546775817871,2.37,11.18,1.91,11.58
1.249121904373169,2.34,10.5,1.93,10.92
1.2616848945617676,1.52,10.31,1.92,10.59
1.2696657180786133,0.45,10.26,1.73,10.41
1.279444694519043,-0.33,9.7,1.59,9.83
1.2889347076416016,-0.74,9.23,1.56,9.39
1.298534870147705,-1.14,8.75,1.57,8.96
1.3111178874969482,-1.52,7.78,1.13,8.0
1.3196239471435547,-1.68,6.97,0.46,7.18
1.3288397789001465,-2.08,5.92,0.54,6.29
1.338864803314209,-1.99,4.59,0.13,5.0
1.349010944366455,-1.89,3.72,0.01,4.17
1.3612957000732422,-2.19,3.52,-0.09,4.14
1.3696858882904053,-2.66,2.71,-0.24,3.8
1.3790397644042969,-3.1,1.38,-0.23,3.4
1.3891286849975586,-3.35,0.03,-0.13,3.35
1.3992047309875488,-3.34,-1.45,-0.07,3.64
1.4113318920135498,-3.13,-3.0,0.03,4.33
1.4197850227355957,-2.74,-4.29,0.1,5.09
1.429062843322754,-2.17,-5.52,0.26,5.93
1.4389548301696777,-1.72,-6.61,0.21,6.83
1.4492568969726562,-1.42,-7.36,-0.06,7.49
1.4614758491516113,-1.19,-7.93,-0.44,8.03
1.469965934753418,-1.06,-8.43,-0.8,8.53
1.4790358543395996,-1.06,-8.77,-1.04,8.89
1.4893298149108887,-1.19,-8.99,-1.2,9.14
1.4992408752441406,-1.28,-9.23,-1.23,9.39
1.511542797088623,-1.3,-9.4,-1.06,9.54
1.5197958946228027,-1.18,-9.66,-0.82,9.76
1.5291829109191895,-1.06,-10.0,-0.48,10.06
1.5391969680786133,-0.98,-10.21,-0.2,10.25
1.5493927001953125,-0.78,-10.26,-0.01,10.28
1.5614328384399414,-0.63,-10.18,0.04,10.19
1.5701408386230469,-0.77,-10.01,-0.09,10.03
1.5792737007141113,-1.23,-9.91,-0.26,9.98
1.5892398357391357,-1.73,-9.83,-0.41,9.98
1.599327802658081,-1.95,-9.73,-0.53,9.93
1.61183500289917,-2.09,-9.56,-0.6,9.8
1.6198759078979492,-2.17,-9.31,-0.61,9.57
1.6292698383331299,-2.04,-9.1,-0.51,9.33
1.6392648220062256,-1.77,-9.12,-0.39,9.29
1.6493229866027832,-1.71,-9.36,-0.28,9.51
1.6615638732910156,-1.81,-9.56,-0.44,9.73
1.6700518131256104,-1.74,-9.34,-0.76,9.53
1.6792359352111816,-1.74,-8.83,-1.25,9.08
1.6893796920776367,-1.58,-8.28,-2.09,8.68
1.699448823928833,-1.39,-7.64,-2.65,8.2
1.7116599082946777,-1.36,-6.75,-3.0,7.51
1.7202997207641602,-1.63,-5.57,-2.82,6.45
1.729383945465088,-2.22,-4.32,-1.85,5.19
1.7393298149108887,-2.83,-2.31,-1.27,3.86
1.7495017051696777,-3.2,0.8,-0.64,3.36
1.761598825454712,-3.46,4.15,-0.16,5.4
1.770164966583252,-4.03,7.33,-0.29,8.36
1.7840468883514404,-4.61,10.62,-0.77,11.6
1.789827823638916,-5.39,14.11,-1.24,15.15
1.7994928359985352,-5.82,16.81,-0.43,17.79
1.8120718002319336,-5.31,18.01,1.16,18.81
1.820070743560791,-4.7,18.65,1.67,19.3
1.830132007598877,-4.91,18.68,2.81,19.51
1.8402128219604492,-4.85,18.09,3.33,19.02
1.8494019508361816,-4.02,16.48,3.59,17.33
1.8624267578125,-2.41,14.57,3.91,15.27
1.8701238632202148,-0.68,12.85,4.25,13.55
1.8794488906860352,0.56,11.22,4.37,12.05
1.889859914779663,1.0,10.04,4.43,11.01
1.899312973022461,0.98,9.45,4.28,10.42
1.91143798828125,0.73,9.0,4.0,9.87
1.9199957847595215,0.3,8.72,3.6,9.43
1.9293038845062256,-0.16,8.45,3.2,9.03
1.9393339157104492,-0.78,8.22,2.97,8.77
1.9495718479156494,-1.65,8.05,2.75,8.66
1.9616899490356445,-2.36,7.18,2.07,7.83
1.9699907302856445,-2.61,5.77,1.49,6.5
1.9793267250061035,-2.39,4.68,1.3,5.41
1.989365816116333,-2.15,3.83,1.3,4.58
1.99951171875,-1.95,2.68,1.19,3.52
2.012030839920044,-1.88,1.41,1.01,2.55
2.0203328132629395,-2.07,0.56,0.87,2.31
2.0295488834381104,-2.06,-0.2,0.65,2.16
2.039433002471924,-1.83,-1.09,0.24,2.14
2.049546718597412,-1.9,-1.91,-0.09,2.69
2.0616939067840576,-1.95,-2.79,-0.31,3.41
2.0701489448547363,-1.86,-3.59,-0.39,4.06
2.0795516967773438,-1.76,-4.14,-0.3,4.5
2.0895047187805176,-1.6,-4.66,-0.12,4.92
2.0996079444885254,-1.51,-5.08,0.06,5.3
2.1117777824401855,-1.75,-5.19,0.27,5.48
2.120116710662842,-1.94,-5.4,0.27,5.74
2.129488945007324,-1.94,-5.92,-0.07,6.23
2.1397929191589355,-1.85,-6.34,-0.32,6.61
2.1497108936309814,-1.45,-6.39,-0.58,6.57
2.1617980003356934,-0.97,-6.17,-0.87,6.3
2.170053005218506,-0.8,-5.94,-0.96,6.07
2.1795549392700195,-0.83,-5.93,-0.95,6.06
2.1893796920776367,-1.05,-6.02,-1.03,6.19
2.1996498107910156,-1.29,-6.23,-0.98,6.43
2.2115538120269775,-1.28,-6.35,-0.98,6.55
2.220090866088867,-0.9,-6.31,-1.04,6.45
2.229428768157959,-0.42,-6.32,-1.01,6.41
2.239377975463867,-0.02,-6.48,-0.82,6.53
2.2494149208068848,0.15,-6.63,-0.82,6.68
2.261760711669922,0.03,-6.78,-1.03,6.85
2.270040988922119,-0.2,-7.03,-1.28,7.14
2.2794668674468994,-0.34,-7.16,-1.44,7.31
2.2894840240478516,-0.32,-6.99,-1.55,7.16
2.2995357513427734,-0.12,-6.77,-1.59,6.95
2.3118228912353516,0.12,-6.62,-1.55,6.8
2.3201217651367188,0.26,-6.43,-1.66,6.64
