time,ax,ay,az,atotal
0.004381895065307617,0.34,0.76,0.09,0.83
0.012911081314086914,0.4,0.13,0.26,0.49
0.02284693717956543,0.06,-0.71,0.22,0.74
0.03157401084899902,-0.78,-0.81,-0.06,1.12
0.04437422752380371,-1.44,-0.62,-0.35,1.6
0.05337810516357422,-1.11,-0.26,-0.93,1.47
0.06287002563476562,0.31,0.31,-1.87,1.92
0.07284998893737793,1.41,1.34,-1.46,2.43
0.08156895637512207,1.33,1.53,-0.38,2.06
0.09430289268493652,0.5,0.54,0.28,0.78
0.10338521003723145,-0.16,-0.37,0.52,0.65
0.11302590370178223,-0.15,-0.28,0.48,0.57
0.12294411659240723,0.23,-0.06,0.35,0.42
0.13182806968688965,0.84,0.14,0.16,0.86
0.1448509693145752,1.31,0.2,-0.3,1.35
0.1536881923675537,1.28,-0.21,-0.66,1.45
0.1632840633392334,0.67,-0.9,-0.52,1.23
0.17319107055664062,0.11,-1.13,0.01,1.13
0.18187689781188965,0.12,-0.61,0.19,0.65
0.19429993629455566,0.24,-0.13,0.19,0.33
0.20360589027404785,0.2,-0.04,-0.03,0.2
0.21294188499450684,0.2,-0.03,-0.34,0.39
0.22333121299743652,-0.06,-0.11,-0.45,0.46
0.23171019554138184,-0.33,-0.1,-0.35,0.49
0.2447831630706787,-0.55,0.08,-0.12,0.56
0.25350022315979004,-0.8,0.07,0.45,0.92
0.26324009895324707,-0.81,-0.03,0.71,1.07
0.27302098274230957,-0.32,0.26,0.5,0.64
0.2819678783416748,0.14,0.43,0.26,0.52
0.2945220470428467,0.4,0.45,-0.08,0.6
0.3035581111907959,0.47,0.4,-0.07,0.62
0.3131370544433594,0.37,0.12,0.18,0.42
0.3231070041656494,0.16,-0.17,0.25,0.34
0.33173704147338867,-0.14,-0.2,0.71,0.75
0.3448011875152588,-0.3,-0.41,1.26,1.35
0.3538939952850342,-0.24,-1.06,1.37,1.74
0.36348605155944824,0.01,-0.83,1.09,1.37
0.3733189105987549,-0.12,0.11,1.38,1.38
0.3819701671600342,0.18,0.1,1.07,1.08
0.39478087425231934,0.8,-0.34,0.56,1.03
0.4036140441894531,0.94,-0.21,0.56,1.11
0.41328907012939453,0.68,0.18,0.76,1.03
0.4232971668243408,0.28,0.26,0.82,0.9
0.43197202682495117,-0.17,0.04,0.69,0.71
0.444896936416626,-0.56,-0.02,0.49,0.74
0.454179048538208,-0.72,0.11,0.3,0.78
