time,ax,ay,az,atotal
0.008298873901367188,-0.04,0.2,-0.1,0.22
0.01114797592163086,0.06,0.22,-0.05,0.23
0.021199703216552734,0.18,0.12,-0.09,0.23
0.031044960021972656,0.24,0.04,-0.24,0.34
0.04518890380859375,0.25,-0.01,-0.24,0.34
0.054657936096191406,0.17,0.02,-0.16,0.23
0.06112098693847656,0.06,0.04,-0.07,0.1
0.07121896743774414,-0.11,0.01,-0.02,0.11
0.08126974105834961,-0.25,-0.03,0.01,0.25
0.09527087211608887,-0.27,-0.05,0.04,0.27
0.10541892051696777,-0.23,-0.03,0.08,0.24
0.11106491088867188,-0.12,0.01,0.09,0.15
0.1213529109954834,-0.02,0.03,0.07,0.07
0.13120698928833008,0.03,0.03,0.03,0.05
0.14531469345092773,0.09,0.05,0.0,0.1
0.15480995178222656,0.12,0.03,0.0,0.12
0.16111993789672852,0.1,0.03,-0.02,0.1
0.17124176025390625,0.08,0.01,-0.03,0.08
0.18123769760131836,0.04,0.02,-0.01,0.04
0.19539284706115723,0.0,0.01,-0.01,0.01
0.20471692085266113,-0.05,0.01,0.0,0.05
0.21126699447631836,-0.08,0.02,-0.01,0.08
0.22123289108276367,-0.08,0.02,-0.02,0.08
0.23122191429138184,-0.08,0.02,-0.04,0.09
0.24545884132385254,-0.05,0.01,-0.05,0.07
0.25517702102661133,0.02,0.0,-0.03,0.03
0.26133298873901367,0.06,0.02,0.0,0.06
0.2713909149169922,0.05,0.05,0.0,0.07
0.28147172927856445,0.06,0.04,0.01,0.07
0.29692983627319336,0.04,0.02,0.01,0.04
0.3052968978881836,0.01,0.02,0.01,0.02
0.3113129138946533,-0.05,0.01,0.01,0.05
0.321469783782959,-0.11,0.01,0.01,0.11
0.3317289352416992,-0.1,-0.01,0.04,0.1
0.3461418151855469,-0.09,-0.02,0.03,0.09
0.3552370071411133,-0.04,0.0,0.03,0.05
0.3615097999572754,-0.01,0.03,0.0,0.03
0.3716869354248047,0.0,0.04,-0.01,0.04
0.38152170181274414,0.04,0.04,-0.03,0.06
0.3955419063568115,0.04,0.04,-0.04,0.06
0.4042239189147949,0.04,0.02,-0.04,0.06
0.41139984130859375,0.03,0.02,-0.03,0.04
0.4217958450317383,-0.02,0.01,-0.01,0.02
0.4315168857574463,-0.04,-0.01,0.03,0.05
0.44557690620422363,-0.04,0.0,0.01,0.04
0.4546327590942383,-0.03,0.01,0.0,0.03
0.46151304244995117,-0.02,0.01,-0.02,0.03
0.4717988967895508,-0.01,0.02,-0.08,0.08
0.481813907623291,0.0,0.04,-0.09,0.09
0.4956197738647461,0.02,0.05,-0.07,0.08
0.5053577423095703,0.06,0.02,-0.03,0.06
0.5115048885345459,0.07,0.02,0.01,0.07
0.5219168663024902,0.05,0.0,0.03,0.05
0.5317988395690918,0.02,0.01,0.04,0.04
0.5456578731536865,-0.03,0.01,0.03,0.04
0.5552968978881836,-0.08,0.01,0.01,0.08
0.56184983253479,-0.1,0.01,0.02,0.1
0.5719199180603027,-0.07,0.0,0.01,0.07
0.581906795501709,-0.03,0.02,0.0,0.03
0.5959477424621582,0.02,0.04,-0.02,0.04
0.604719877243042,0.03,0.03,-0.05,0.06
0.6116189956665039,0.03,0.0,-0.06,0.06
0.6219377517700195,0.03,0.02,-0.04,0.05
0.6318240165710449,0.02,0.02,-0.02,0.03
0.6459598541259766,0.0,0.03,-0.01,0.03
0.65470290184021,-0.02,0.03,-0.01,0.03
0.6616597175598145,-0.04,0.03,-0.01,0.05
0.6718230247497559,-0.04,0.02,-0.01,0.04
0.6820838451385498,-0.07,0.0,-0.02,0.07
0.6958417892456055,-0.07,0.0,-0.03,0.07
0.7045388221740723,-0.03,0.03,-0.04,0.05
0.7117948532104492,0.04,0.05,-0.04,0.07
0.7221639156341553,0.1,0.07,0.01,0.12
0.7320408821105957,0.14,0.04,0.05,0.15
0.7461256980895996,0.11,0.05,0.06,0.13
0.7549419403076172,0.04,0.02,0.03,0.05
0.7619647979736328,-0.1,-0.01,-0.03,0.1
0.7721529006958008,-0.24,-0.03,-0.05,0.24
0.782160758972168,-0.28,-0.04,-0.08,0.29
0.7961897850036621,-0.21,-0.02,-0.06,0.21
0.8055558204650879,-0.06,-0.01,0.0,0.06
0.8122119903564453,0.12,0.02,0.05,0.13
0.8223199844360352,0.21,0.1,0.03,0.23
0.83306884765625,0.12,0.1,-0.04,0.16
