time,ax,ay,az,atotal
0.007029056549072266,0.15,0.08,0.0,0.17
0.01676177978515625,0.07,0.01,0.05,0.08
0.027887821197509766,-0.33,-0.65,-0.1,0.73
0.03807401657104492,-0.43,-0.21,0.22,0.52
0.04785490036010742,0.2,0.87,-0.06,0.89
0.05785989761352539,0.26,0.02,0.13,0.29
0.06789398193359375,-0.13,-0.08,-0.01,0.15
0.07779192924499512,-0.17,-0.04,-0.08,0.19
0.08785891532897949,-0.12,-0.07,-0.11,0.17
0.0978999137878418,-0.29,-0.46,-0.08,0.54
0.10769987106323242,-0.42,-0.06,0.32,0.53
0.11761283874511719,0.07,0.55,0.11,0.56
0.12795090675354004,0.14,-0.37,0.13,0.41
0.13798189163208008,-0.16,0.02,0.17,0.23
0.14798402786254883,-0.07,0.19,0.1,0.22
0.15794801712036133,-0.01,-0.03,0.28,0.28
0.16785693168640137,-0.07,0.06,0.41,0.42
0.17797088623046875,-0.07,-0.1,0.18,0.21
0.18788576126098633,-0.14,-0.75,0.06,0.76
0.19777774810791016,-0.43,0.64,0.08,0.77
0.2081148624420166,-0.16,0.21,-0.15,0.3
0.21783685684204102,-0.07,-0.4,-0.09,0.41
0.22793197631835938,-0.02,-0.52,-0.07,0.52
0.23798584938049316,-0.04,0.76,-0.15,0.77
0.24782586097717285,0.21,-0.02,-0.18,0.27
0.2581288814544678,0.13,-0.16,0.19,0.28
0.26798391342163086,0.11,0.17,0.32,0.37
0.27789878845214844,0.29,0.12,0.42,0.52
0.28783273696899414,0.18,0.15,0.42,0.48
0.2979907989501953,0.26,0.02,0.28,0.38
0.30812692642211914,0.22,0.08,0.17,0.28
0.3178987503051758,-0.02,0.0,0.15,0.15
0.32793474197387695,-0.18,-0.05,0.09,0.2
0.33789682388305664,-0.09,-0.07,0.03,0.11
0.34794092178344727,-0.07,-0.04,0.17,0.18
0.3579897880554199,0.1,0.03,0.03,0.1
0.3679170608520508,-0.01,0.04,0.06,0.07
0.378328800201416,-0.12,0.03,0.03,0.12
0.38822078704833984,0.01,0.0,0.0,0.01
0.39825987815856934,0.16,0.02,0.17,0.23
0.408221960067749,0.32,0.12,0.19,0.39
0.4180917739868164,0.27,-0.05,0.22,0.35
0.42816996574401855,0.18,-0.06,0.2,0.27
0.4383277893066406,0.04,-0.01,0.2,0.2
0.44838905334472656,-0.08,-0.01,0.18,0.19
0.4584338665008545,-0.09,-0.04,0.04,0.1
0.46840691566467285,-0.03,-0.04,0.02,0.05
0.47852087020874023,0.1,0.01,0.06,0.11
0.4885268211364746,0.12,0.05,0.07,0.14
0.49843502044677734,0.11,0.03,0.05,0.12
0.5084648132324219,0.11,0.0,0.11,0.15
0.5214409828186035,0.02,-0.03,0.03,0.04
