time,ax,ay,az,atotal
0.014709949493408203,-0.04,-0.02,0.07,0.08
0.026568889617919922,0.03,-0.06,0.11,0.12
0.02743387222290039,0.06,0.0,0.23,0.23
0.03666281700134277,0.03,0.04,-0.13,0.13
0.04792976379394531,-0.04,0.0,0.11,0.11
0.056679725646972656,0.0,0.06,-0.12,0.13
0.07739591598510742,-0.01,0.03,0.03,0.04
0.07826089859008789,0.0,0.04,0.17,0.17
0.08687496185302734,-0.08,-0.03,-0.06,0.1
0.0982367992401123,-0.22,0.02,-0.1,0.24
0.10699701309204102,-0.16,0.02,0.01,0.16
0.12805986404418945,0.04,-0.02,-0.01,0.04
0.12892484664916992,0.02,-0.01,-0.03,0.03
0.13681983947753906,0.06,0.02,0.07,0.09
0.14813566207885742,0.06,0.1,0.13,0.17
0.1569058895111084,0.05,0.03,0.05,0.07
0.1784529685974121,0.08,0.02,0.02,0.08
0.17925381660461426,-0.03,0.01,0.02,0.03
0.18695878982543945,-0.09,-0.06,0.03,0.11
0.1982426643371582,-0.15,0.04,-0.1,0.18
0.20714473724365234,-0.17,-0.01,-0.01,0.17
0.23046088218688965,-0.09,0.0,0.1,0.13
0.2313699722290039,-0.12,0.04,-0.02,0.12
0.23694276809692383,-0.1,0.03,0.08,0.13
0.2483997344970703,-0.13,0.03,0.09,0.16
0.25715088844299316,-0.11,0.02,0.08,0.13
0.2790827751159668,-0.18,0.03,-0.01,0.18
0.2800307273864746,-0.31,0.04,-0.19,0.36
0.2871978282928467,-0.18,-0.04,-0.09,0.2
0.29858875274658203,-0.16,0.01,-0.09,0.18
0.3078937530517578,-0.18,0.01,0.03,0.18
0.32878589630126953,-0.12,-0.03,-0.1,0.15
0.3297438621520996,-0.08,-0.02,0.09,0.12
0.3371257781982422,-0.1,0.02,0.05,0.11
0.34885692596435547,-0.17,0.04,-0.07,0.18
0.3574638366699219,-0.11,-0.02,0.01,0.11
0.37958288192749023,-0.08,0.02,-0.06,0.1
0.3804769515991211,-0.14,0.02,-0.16,0.21
0.38734889030456543,-0.15,0.02,-0.07,0.16
0.3989088535308838,-0.11,0.05,0.04,0.12
0.40770483016967773,-0.17,0.12,-0.06,0.21
0.43015193939208984,0.0,0.28,0.14,0.31
0.43109798431396484,0.02,-0.24,0.03,0.24
0.43747568130493164,0.0,0.0,-0.15,0.15
0.44899988174438477,0.02,0.0,0.13,0.13
0.4575378894805908,0.06,-0.09,0.05,0.11
0.48029279708862305,0.07,-0.06,0.02,0.09
0.4812328815460205,0.05,-0.08,0.05,0.1
0.48758387565612793,0.09,-0.06,-0.29,0.3
0.4990808963775635,0.43,-0.04,-0.55,0.69
0.5076308250427246,0.59,0.11,-0.07,0.6
0.5300416946411133,0.02,0.19,0.76,0.78
0.5309939384460449,-0.08,-0.08,0.83,0.83
0.5374617576599121,-0.02,-0.2,0.38,0.42
0.5489816665649414,-0.02,-0.14,0.35,0.37
0.5577139854431152,-0.07,-0.05,0.51,0.51
0.5796380043029785,-0.04,0.11,-0.05,0.12
0.5805878639221191,0.13,0.14,-0.41,0.45
0.5877468585968018,0.14,-0.16,-0.21,0.29
0.5992889404296875,0.06,-0.06,-0.25,0.26
0.6078047752380371,-0.07,0.03,0.02,0.07
0.6284768581390381,-0.06,0.0,-0.1,0.11
0.6293787956237793,0.01,-0.06,0.0,0.06
0.6377496719360352,0.42,-0.05,0.13,0.44
0.649174690246582,-0.14,0.04,0.23,0.27
0.6575527191162109,-0.39,0.04,0.19,0.43
0.6783909797668457,0.05,0.05,0.13,0.14
0.6792848110198975,0.04,0.06,0.08,0.1
0.6876258850097656,0.01,0.09,0.1,0.13
0.6988527774810791,0.01,0.04,-0.01,0.04
0.7078399658203125,-0.02,-0.02,-0.06,0.06
0.7281990051269531,0.0,0.02,0.02,0.02
0.7290248870849609,0.01,0.02,0.04,0.04
0.7378427982330322,0.08,-0.02,0.11,0.13
0.7489798069000244,0.11,0.01,0.27,0.29
0.7577576637268066,0.26,-0.11,0.03,0.28
