time,ax,ay,az,atotal
0.003525972366333008,0.08,-0.14,-0.08,0.18
0.010705947875976562,-0.2,-0.2,-0.12,0.3
0.02114701271057129,0.14,-0.51,-0.19,0.56
0.03125500679016113,0.27,-0.9,-0.18,0.95
0.03995990753173828,-0.21,-1.06,-0.18,1.09
0.05246901512145996,-0.46,-1.04,-0.26,1.16
0.060751914978027344,-0.47,-0.99,-0.58,1.23
0.07128286361694336,-0.39,-0.91,-1.05,1.44
0.08138704299926758,-0.49,-1.03,-1.5,1.88
0.09015989303588867,-0.59,-1.13,-1.76,2.17
0.10256195068359375,-0.4,-0.55,-1.41,1.56
0.1107630729675293,-0.54,-0.27,-0.64,0.87
0.12127494812011719,-0.28,-0.24,-0.3,0.47
0.1313610076904297,0.08,-0.63,-0.32,0.71
0.14013290405273438,0.27,-1.28,-0.65,1.46
0.15251398086547852,0.5,-1.47,-0.91,1.79
0.16077303886413574,0.7,-1.52,-1.1,2.0
0.17131996154785156,0.48,-1.76,-1.19,2.17
0.18142104148864746,-0.25,-2.31,-1.1,2.57
0.19020605087280273,-0.89,-2.8,-0.98,3.09
0.20256614685058594,-0.94,-2.55,-0.83,2.84
0.21083498001098633,-0.71,-2.21,-0.62,2.4
0.22137904167175293,-0.24,-1.88,-0.44,1.94
0.23154115676879883,0.39,-1.49,-0.02,1.54
0.2402329444885254,0.69,-1.37,0.05,1.53
0.25269603729248047,0.67,-1.35,-0.11,1.51
0.2607121467590332,0.51,-1.35,-0.46,1.51
0.27141284942626953,0.3,-1.38,-0.91,1.68
0.2814059257507324,-0.26,-1.43,-1.12,1.83
0.29029393196105957,-0.63,-1.47,-1.05,1.91
0.30259203910827637,-0.35,-1.45,-0.5,1.57
0.3108699321746826,0.09,-1.58,-0.31,1.61
0.32134389877319336,-0.01,-2.0,0.05,2.0
0.33151912689208984,0.81,-1.99,0.13,2.15
0.3403358459472656,1.05,-1.93,-0.17,2.2
0.3528280258178711,0.38,-1.56,-0.42,1.65
0.36098599433898926,-1.76,-1.37,0.06,2.23
0.3714408874511719,-5.1,-0.76,0.97,5.24
0.38150596618652344,-6.01,-0.2,1.88,6.3
0.39020490646362305,-2.43,-0.68,2.12,3.29
0.4028358459472656,0.88,-0.88,0.55,1.36
0.41094398498535156,1.09,-0.03,-1.41,1.78
0.42147111892700195,0.18,1.03,-2.14,2.38
0.4315681457519531,-0.06,2.07,-2.0,2.87
0.44025087356567383,0.82,3.05,-1.65,3.56
0.4527699947357178,2.01,3.68,-1.08,4.33
0.460906982421875,2.05,4.27,0.02,4.73
0.4716148376464844,1.64,4.76,1.26,5.18
0.4815959930419922,1.26,5.25,2.14,5.8
0.490278959274292,1.39,6.19,2.93,6.98
