time,ax,ay,az,atotal
0.009670734405517578,0.26,-0.13,-0.03,0.29
0.01435995101928711,0.46,-0.19,0.16,0.52
0.02350592613220215,0.49,-0.38,0.14,0.63
0.03397989273071289,0.38,-0.44,0.08,0.58
0.04380393028259277,0.17,-0.39,-0.02,0.42
0.056154727935791016,0.0,-0.3,-0.13,0.32
0.06568098068237305,-0.24,-0.26,-0.36,0.5
0.07378888130187988,-0.35,-0.28,-0.32,0.55
0.08478975296020508,-0.4,-0.26,-0.07,0.48
0.09473586082458496,-0.28,-0.23,0.25,0.44
0.10754990577697754,-0.08,-0.26,0.37,0.45
0.11649179458618164,-0.05,-0.13,0.28,0.31
0.12390685081481934,-0.19,0.08,0.15,0.25
0.1348109245300293,0.09,0.0,0.1,0.13
0.14467787742614746,0.53,-0.14,0.12,0.56
0.15769195556640625,0.51,-0.25,0.19,0.59
0.16562604904174805,0.41,-0.3,0.31,0.59
0.17383575439453125,0.34,-0.23,0.39,0.56
0.18489384651184082,0.01,-0.12,0.23,0.25
0.194976806640625,-0.23,-0.02,-0.05,0.23
0.2068178653717041,-0.09,0.03,0.05,0.1
0.21581172943115234,-0.23,0.09,0.09,0.26
0.22342681884765625,-0.4,0.09,0.02,0.41
0.23424100875854492,-0.78,0.21,0.24,0.84
0.24389290809631348,-0.8,0.29,0.39,0.93
0.25609588623046875,-0.52,0.21,0.45,0.71
0.26583099365234375,-0.22,0.11,0.52,0.57
0.27376389503479004,-0.09,0.03,0.44,0.45
0.2836298942565918,-0.01,-0.13,0.34,0.36
0.29455995559692383,0.14,-0.22,0.2,0.32
0.30702972412109375,0.13,-0.23,-0.02,0.26
0.31563282012939453,0.07,-0.23,-0.25,0.34
0.323671817779541,0.0,-0.22,-0.46,0.5
0.3348429203033447,-0.09,-0.17,-0.44,0.48
0.3443338871002197,-0.27,-0.02,-1.67,1.69
0.3562638759613037,-0.31,0.35,-2.59,2.63
0.3658559322357178,0.24,0.53,-0.77,0.96
0.3738279342651367,0.69,-0.01,-0.02,0.69
0.3838510513305664,0.6,-0.3,0.91,1.13
0.39374399185180664,0.03,-0.5,0.97,1.09
0.4068260192871094,-0.57,-0.25,0.56,0.83
0.4162759780883789,-0.83,0.05,0.34,0.89
0.4260139465332031,-0.66,0.1,-0.08,0.67
0.43357181549072266,-0.21,0.05,-0.57,0.6
0.44292593002319336,0.12,-0.02,-0.82,0.82
0.4548678398132324,0.23,-0.08,-0.92,0.95
0.4646468162536621,0.21,-0.14,-0.94,0.97
0.472841739654541,0.13,-0.1,-0.84,0.85
0.483644962310791,0.08,-0.12,-0.67,0.68
0.4931459426879883,0.15,-0.2,-0.41,0.48
0.5048718452453613,0.24,-0.26,-0.19,0.4
0.5147857666015625,0.25,-0.4,-0.13,0.48
0.5230579376220703,0.25,-0.54,-0.2,0.62
0.5336928367614746,0.48,-0.77,-0.49,1.03
0.543086051940918,0.82,-1.11,-0.81,1.6
0.5547957420349121,1.05,-1.42,-1.02,2.03
0.5648179054260254,1.28,-1.54,-1.11,2.28
0.5726690292358398,1.65,-1.41,-1.21,2.48
0.5835299491882324,1.71,-1.41,-1.1,2.47
0.5931658744812012,1.51,-1.32,-0.77,2.14
0.6053237915039062,1.2,-1.15,-0.39,1.7
0.6144499778747559,0.89,-1.11,-0.16,1.43
0.6226499080657959,0.73,-1.03,-0.16,1.27
0.633685827255249,0.94,-1.02,-0.16,1.39
0.6431138515472412,0.99,-0.86,-0.23,1.33
0.6549098491668701,1.14,-0.01,-0.41,1.21
0.6646838188171387,1.05,1.43,-0.46,1.83
0.6724839210510254,0.82,3.38,0.05,3.47
0.6835958957672119,0.44,5.96,0.36,5.98
0.6929278373718262,0.05,8.58,0.51,8.59
0.7049918174743652,-0.97,10.67,0.52,10.72
0.7147717475891113,-2.22,11.64,-0.09,11.85
0.7227578163146973,-1.44,13.84,-0.79,13.93
0.7335109710693359,0.21,15.79,-0.1,15.79
0.7433667182922363,1.29,17.17,1.87,17.31
0.7550439834594727,0.4,17.13,4.13,17.62
0.7642648220062256,-2.57,14.01,5.81,15.38
0.7730879783630371,-3.83,12.62,5.73,14.37
0.7831649780273438,-5.24,10.5,6.09,13.22
0.7927758693695068,-6.25,8.06,6.44,12.06
0.8050239086151123,-6.3,5.48,6.56,10.61
0.8146378993988037,-5.74,3.3,6.71,9.42
0.8228368759155273,-5.17,1.7,6.47,8.45
0.8333678245544434,-5.17,0.6,6.0,7.94
0.8431859016418457,-5.75,-0.47,5.18,7.75
0.8551697731018066,-6.09,-1.82,3.62,7.31
0.8648257255554199,-6.35,-2.78,2.4,7.33
0.8728117942810059,-6.8,-3.65,1.34,7.83
0.8837318420410156,-6.95,-4.62,0.12,8.34
