time,ax,ay,az,atotal
0.0038788318634033203,-0.24,-0.04,0.71,0.75
0.011716842651367188,-0.4,-0.19,0.61,0.75
0.023553848266601562,-0.35,-0.45,0.23,0.61
0.031854867935180664,-0.09,-0.44,0.01,0.44
0.04472184181213379,0.18,-0.34,-0.21,0.43
0.05161476135253906,0.3,-0.28,-0.41,0.58
0.06178092956542969,0.25,-0.27,-0.51,0.62
0.0734868049621582,0.2,-0.31,-0.42,0.55
0.08172082901000977,0.1,-0.35,-0.21,0.42
0.09372568130493164,-0.05,-0.27,0.04,0.27
0.10162973403930664,-0.07,-0.21,0.16,0.27
0.11227679252624512,-0.07,-0.14,0.25,0.29
0.12477684020996094,-0.14,-0.02,0.27,0.3
0.1318659782409668,-0.16,-0.01,0.31,0.34
0.14471673965454102,-0.19,0.06,0.45,0.49
0.15166473388671875,-0.33,0.2,0.48,0.61
0.16188383102416992,-0.39,-0.01,0.46,0.6
0.1735067367553711,-0.3,-0.14,0.47,0.57
0.18178987503051758,-0.07,0.03,0.33,0.33
0.1936206817626953,0.14,0.17,0.2,0.29
0.20163393020629883,0.28,0.26,0.01,0.38
0.21172571182250977,0.27,0.3,-0.18,0.44
0.2234959602355957,0.22,0.14,-0.19,0.32
0.23172378540039062,0.22,-0.05,0.07,0.23
0.24366188049316406,0.29,-0.01,0.29,0.41
0.2516918182373047,0.15,0.04,0.23,0.27
0.26191186904907227,-0.3,0.15,0.16,0.37
0.2736067771911621,-0.61,0.43,0.02,0.74
0.2817859649658203,-0.67,0.47,-0.22,0.84
0.29488372802734375,-0.49,0.2,-0.4,0.66
0.30191898345947266,-0.19,-0.01,-0.19,0.26
0.3125877380371094,0.14,-0.03,-0.1,0.17
0.3251457214355469,0.26,0.01,-0.2,0.32
0.3319578170776367,0.29,0.13,-0.33,0.45
0.3436279296875,0.26,0.18,-0.35,0.47
0.35189390182495117,0.05,0.09,-0.36,0.37
0.36266183853149414,-0.11,0.0,-0.37,0.38
0.37473583221435547,-0.02,0.02,-0.23,0.23
0.38196468353271484,0.04,0.18,-0.17,0.25
0.39487481117248535,-0.04,0.22,-0.33,0.39
0.40187692642211914,-0.23,0.19,-0.5,0.58
0.41192078590393066,-0.31,0.24,-0.5,0.63
0.4246327877044678,-0.1,0.15,-0.37,0.41
0.43251466751098633,0.16,0.0,-0.22,0.27
0.4446728229522705,0.24,-0.11,-0.21,0.33
0.45513200759887695,0.31,-0.17,-0.1,0.36
0.4619607925415039,0.37,-0.17,-0.78,0.87
0.4746968746185303,0.05,-0.02,-0.1,0.11
0.4820866584777832,-0.08,-0.11,0.22,0.25
0.4949827194213867,-0.13,-0.1,0.62,0.64
0.502004861831665,-0.24,-0.1,0.82,0.86
0.5121316909790039,0.0,-0.09,0.37,0.38
0.5251979827880859,0.07,0.1,0.03,0.12
0.5320267677307129,-0.08,0.24,-0.19,0.31
0.5434448719024658,-0.17,0.34,-0.26,0.46
0.5518558025360107,-0.2,0.29,-0.28,0.45
0.5618138313293457,-0.18,0.12,-0.32,0.38
0.5731098651885986,-0.13,0.12,-0.16,0.23
0.5817809104919434,0.03,0.09,0.06,0.11
0.5933728218078613,0.2,0.01,0.21,0.29
0.6018598079681396,0.32,-0.06,0.22,0.39
0.6117298603057861,0.28,-0.06,0.03,0.28
