time,ax,ay,az,atotal
0.004685163497924805,0.17,0.01,0.03,0.17
0.016201019287109375,0.15,-0.01,0.08,0.17
0.02480912208557129,0.1,0.01,-0.01,0.1
0.03414630889892578,0.07,0.06,0.01,0.09
0.048026084899902344,0.04,0.05,-0.02,0.06
0.05412912368774414,-0.02,0.0,-0.08,0.08
0.06595325469970703,-0.12,0.02,-0.06,0.13
0.07504415512084961,-0.11,0.05,-0.04,0.12
0.08428120613098145,-0.05,0.02,-0.01,0.05
0.0981912612915039,-0.1,0.03,-0.02,0.1
0.10468530654907227,-0.13,0.01,0.14,0.19
0.1159672737121582,-0.06,0.0,0.08,0.1
0.12474513053894043,-0.01,-0.02,0.04,0.04
0.13431501388549805,0.02,-0.01,0.02,0.03
0.14806032180786133,0.06,-0.01,-0.07,0.09
0.15432024002075195,0.07,-0.02,-0.1,0.12
0.16588830947875977,0.06,-0.02,-0.04,0.07
0.1751542091369629,0.08,0.01,-0.02,0.08
0.18431901931762695,0.01,0.04,-0.05,0.06
0.19814729690551758,0.05,-0.01,0.08,0.09
0.2046191692352295,0.09,-0.02,0.07,0.11
0.21602320671081543,0.04,0.02,0.06,0.07
0.22490811347961426,0.0,0.02,0.11,0.11
0.23442506790161133,-0.04,-0.03,0.09,0.1
0.2485501766204834,0.0,-0.04,0.03,0.05
0.2543950080871582,0.07,0.01,0.01,0.07
0.26636719703674316,0.0,0.05,-0.05,0.07
0.27542614936828613,-0.12,0.02,-0.04,0.12
0.28449106216430664,-0.07,-0.05,-0.05,0.09
0.29871702194213867,-0.08,-0.01,-0.08,0.11
0.3049020767211914,-0.15,-0.02,-0.01,0.15
0.3162503242492676,-0.17,-0.02,0.06,0.18
0.32510900497436523,-0.12,0.05,0.04,0.13
0.3345170021057129,-0.05,0.03,0.03,0.06
0.34835004806518555,-0.01,0.03,0.03,0.04
0.35447025299072266,0.07,-0.01,0.09,0.11
0.3662691116333008,0.03,-0.01,0.06,0.06
0.3751871585845947,0.01,-0.01,-0.02,0.02
0.3845021724700928,0.07,0.03,0.04,0.08
0.39844608306884766,0.13,0.02,-0.05,0.14
0.4048900604248047,0.1,0.04,-0.06,0.12
0.4162302017211914,0.11,0.07,-0.07,0.14
0.4250051975250244,0.06,0.02,-0.06,0.08
0.43454933166503906,0.03,-0.02,0.03,0.04
0.44869017601013184,0.06,-0.05,0.07,0.1
0.45438313484191895,0.08,-0.04,0.03,0.09
0.46619510650634766,0.04,-0.06,0.07,0.1
0.4751431941986084,0.04,-0.02,0.08,0.09
0.4845311641693115,-0.06,0.0,0.01,0.06
0.4984440803527832,-0.01,0.0,0.03,0.03
0.5049200057983398,0.03,0.01,0.02,0.03
0.516139030456543,-0.01,0.01,0.01,0.01
0.5250551700592041,0.04,0.0,0.05,0.06
