time,ax,ay,az,atotal
0.0038111209869384766,0.01,0.02,-0.05,0.05
0.01507425308227539,-0.03,0.1,-0.02,0.1
0.02368307113647461,0.05,0.1,0.04,0.11
0.03229808807373047,0.03,0.02,0.01,0.03
0.04600095748901367,-0.01,-0.03,0.01,0.03
0.052163124084472656,-0.06,0.0,0.01,0.06
0.06500720977783203,0.11,-0.02,-0.08,0.13
0.07418203353881836,0.17,-0.11,0.06,0.21
0.08247804641723633,-0.02,-0.07,0.02,0.07
0.09641909599304199,-0.03,0.03,-0.04,0.05
0.10285615921020508,-0.07,0.07,0.01,0.09
0.11527395248413086,-0.09,0.04,0.04,0.1
0.12397623062133789,0.04,0.04,-0.02,0.06
0.1325092315673828,0.11,0.0,0.08,0.13
0.14651012420654297,0.09,-0.04,0.02,0.1
0.15238094329833984,0.03,-0.05,0.01,0.05
0.16503000259399414,-0.01,0.0,0.0,0.01
0.1742861270904541,0.05,0.08,0.03,0.09
0.1824941635131836,-0.11,0.0,-0.01,0.11
0.19643115997314453,-0.1,-0.08,0.01,0.12
0.20282506942749023,-0.01,-0.05,-0.01,0.05
0.21515202522277832,0.02,-0.01,0.03,0.03
0.22386813163757324,0.03,-0.03,0.02,0.04
0.23252296447753906,0.05,0.02,0.0,0.05
0.24658513069152832,0.03,0.03,0.02,0.04
0.25235700607299805,0.08,0.01,-0.05,0.09
0.2654540538787842,0.13,-0.05,0.0,0.13
0.27453112602233887,0.04,-0.09,-0.05,0.11
0.2823982238769531,0.04,-0.02,-0.04,0.06
0.2964639663696289,0.08,0.0,0.04,0.08
0.3026390075683594,0.03,0.01,0.01,0.03
0.3152332305908203,-0.01,0.02,0.02,0.03
0.3238561153411865,-0.03,0.02,0.02,0.04
0.33275318145751953,-0.1,0.03,-0.01,0.1
0.34659504890441895,-0.01,0.04,-0.01,0.04
0.35238218307495117,0.13,0.03,-0.05,0.14
0.36529111862182617,0.12,0.01,-0.06,0.13
0.374330997467041,0.11,-0.07,0.04,0.13
0.38261890411376953,0.15,0.0,0.02,0.15
0.39652490615844727,0.06,0.03,0.07,0.09
0.40288209915161133,-0.04,-0.04,0.05,0.07
0.41509199142456055,-0.04,0.06,-0.11,0.13
0.42408013343811035,0.16,0.18,-0.06,0.24
0.43262815475463867,-0.15,0.06,0.63,0.65
0.4466571807861328,-0.11,0.12,-0.13,0.2
0.45244598388671875,0.13,-0.08,0.29,0.32
0.46541905403137207,0.06,-0.22,0.23,0.32
0.4745159149169922,0.13,-0.06,0.28,0.31
0.48256707191467285,0.09,0.14,0.22,0.27
0.4965250492095947,0.07,0.06,0.09,0.12
0.5027611255645752,0.07,0.03,-0.03,0.08
0.5153999328613281,-0.04,-0.04,0.01,0.05
0.5241010189056396,-0.04,-0.19,-0.09,0.21
0.5327041149139404,-0.05,-0.16,0.01,0.16
0.5467970371246338,0.01,-0.05,-0.25,0.25
0.5522251129150391,0.01,0.05,-0.25,0.25
0.5654630661010742,-0.01,0.09,-0.22,0.23
0.574599027633667,-0.12,0.08,-0.07,0.16
0.5828080177307129,-0.24,0.06,-0.22,0.33
0.5966701507568359,-0.14,0.12,-0.46,0.49
0.603269100189209,-0.01,-0.01,-0.19,0.19
0.615321159362793,0.22,0.03,-0.5,0.54
0.6240339279174805,0.39,0.11,-0.2,0.45
0.6327691078186035,0.35,-0.01,0.12,0.37
0.6468701362609863,0.07,0.07,0.07,0.12
0.6525001525878906,-0.2,0.15,0.07,0.25
0.6655192375183105,-0.36,-0.01,0.16,0.39
0.674562931060791,-0.5,-0.06,0.11,0.51
0.6828091144561768,-0.36,-0.01,-0.21,0.41
0.6970729827880859,-0.11,-0.11,-0.28,0.32
0.7032699584960938,0.06,-0.18,-0.15,0.24
0.7155070304870605,-0.14,-0.13,0.0,0.19
0.7242059707641602,-0.35,-0.01,-0.05,0.35
0.732780933380127,-0.48,0.05,0.05,0.48
0.7467250823974609,-0.37,0.01,0.06,0.37
0.7526421546936035,-0.09,-0.01,0.03,0.09
0.7655940055847168,0.17,0.13,-0.14,0.25
0.7744150161743164,0.27,0.13,0.15,0.33
0.7828760147094727,0.05,0.0,0.16,0.16
0.7968339920043945,-0.08,-0.04,-0.06,0.1
0.8031270503997803,-0.08,-0.01,0.04,0.09
0.8154890537261963,0.06,-0.1,-0.18,0.21
0.8242120742797852,-0.01,-0.03,-0.13,0.13
0.8328161239624023,0.05,0.03,-0.04,0.07
0.8470330238342285,0.08,0.02,0.14,0.16
0.8527770042419434,0.1,0.03,0.27,0.28
0.8654711246490479,0.0,-0.04,0.21,0.21
0.8746230602264404,-0.01,-0.03,0.14,0.14
0.8827581405639648,0.11,0.06,0.14,0.18
0.8968992233276367,0.25,0.04,0.07,0.26
0.9033401012420654,0.18,-0.03,0.05,0.18
0.9155969619750977,0.05,-0.1,-0.01,0.11
0.9242682456970215,-0.01,-0.02,-0.14,0.14
0.9330120086669922,0.01,0.1,-0.13,0.16
0.9472370147705078,0.02,0.03,-0.15,0.15
0.9529461860656738,0.08,0.02,-0.12,0.14
0.9656200408935547,0.07,0.0,0.02,0.07
