time,ax,ay,az,atotal
0.002074003219604492,-0.09,0.4,-0.79,0.89
0.011516809463500977,0.36,0.22,-0.21,0.47
0.021745920181274414,0.2,-0.12,0.18,0.29
0.037837982177734375,-0.16,0.03,0.34,0.37
0.04071497917175293,0.03,0.02,0.28,0.28
0.050743818283081055,-0.19,-0.05,-0.24,0.31
0.06163907051086426,-0.54,0.1,-0.32,0.63
0.07159900665283203,-0.22,0.2,-0.18,0.34
0.08824706077575684,0.33,0.13,0.05,0.35
0.09079790115356445,0.45,0.06,0.18,0.48
0.1008608341217041,0.25,-0.11,0.1,0.29
0.1118171215057373,-0.16,-0.34,0.15,0.4
0.1219029426574707,-0.7,-0.25,-0.03,0.74
0.1387341022491455,-0.73,0.14,-0.24,0.78
0.14087510108947754,0.04,0.3,-0.2,0.36
0.15090489387512207,0.65,0.09,0.11,0.66
0.16185784339904785,0.42,-0.19,0.21,0.5
0.17183494567871094,-0.16,-0.16,0.22,0.31
0.18874192237854004,-0.48,0.06,0.03,0.48
0.19089794158935547,-0.24,0.17,-0.2,0.35
0.20095086097717285,0.16,0.24,-0.26,0.38
0.21196389198303223,0.5,0.33,-0.06,0.6
0.2218790054321289,0.67,0.09,0.28,0.73
0.23825693130493164,0.14,-0.43,0.24,0.51
0.2411201000213623,-0.81,-0.32,0.05,0.87
0.2508809566497803,-0.79,0.13,-0.09,0.8
0.26207804679870605,0.07,0.27,-0.27,0.38
0.2720158100128174,0.74,0.16,-0.09,0.76
0.2882668972015381,0.68,0.01,0.25,0.72
0.2910449504852295,0.06,-0.07,0.14,0.16
0.3010518550872803,-0.33,-0.16,0.01,0.36
0.31201601028442383,-0.49,0.12,-0.37,0.62
0.322098970413208,-0.11,0.45,-0.49,0.67
0.33843994140625,0.55,0.28,-0.14,0.63
0.34127092361450195,0.81,0.17,0.03,0.82
0.3511040210723877,0.31,0.02,-0.09,0.32
0.3623368740081787,-0.31,-0.16,-0.07,0.35
0.37218308448791504,-0.56,-0.24,-0.09,0.61
0.3891129493713379,-0.6,-0.1,-0.28,0.66
0.39127492904663086,-0.23,0.1,-0.14,0.28
0.40138792991638184,0.17,0.07,0.11,0.21
0.41234803199768066,0.33,-0.13,0.25,0.43
0.42240190505981445,0.03,-0.21,0.13,0.24
0.43954992294311523,-0.32,-0.09,-0.02,0.33
0.4413940906524658,-0.53,0.17,-0.08,0.56
0.45133280754089355,-0.16,0.64,-0.15,0.67
0.4624629020690918,0.55,0.42,-0.5,0.85
0.47237086296081543,0.69,-0.17,0.12,0.72
0.48958897590637207,0.2,-0.54,0.34,0.66
0.4915950298309326,-0.53,-0.24,0.25,0.63
0.5015289783477783,-0.74,0.02,0.25,0.78
0.5125799179077148,-0.21,0.13,-0.07,0.25
0.522676944732666,0.44,0.25,-0.32,0.59
0.5398409366607666,0.71,0.13,0.0,0.72
0.5416538715362549,0.29,-0.29,0.24,0.47
0.5516729354858398,-0.44,-0.25,0.12,0.52
0.5627129077911377,-0.58,0.19,-0.06,0.61
0.5725629329681396,-0.12,0.33,-0.29,0.45
0.5895798206329346,0.36,0.17,-0.16,0.42
0.5914769172668457,0.39,0.09,0.19,0.44
0.6017739772796631,0.21,-0.08,0.37,0.43
0.612786054611206,-0.08,-0.21,0.12,0.25
0.6227610111236572,-0.35,-0.08,-0.13,0.38
0.6394550800323486,-0.21,0.08,-0.19,0.29
0.6417319774627686,0.11,0.21,-0.17,0.29
0.6517729759216309,0.34,0.36,0.04,0.49
0.6627228260040283,0.56,0.21,0.31,0.67
0.6728129386901855,0.4,-0.2,0.26,0.51
0.6895730495452881,-0.42,-0.33,0.01,0.53
0.6917707920074463,-0.83,-0.2,-0.02,0.85
0.7018358707427979,-0.73,-0.04,-0.12,0.74
0.7126529216766357,-0.18,0.24,-0.14,0.33
0.7227098941802979,0.54,0.34,-0.08,0.64
0.7392029762268066,0.77,0.19,0.1,0.79
0.7418038845062256,0.15,-0.11,0.02,0.18
0.7518351078033447,-0.69,-0.28,0.06,0.74
0.7628309726715088,-0.85,-0.15,0.04,0.86
0.7726800441741943,-0.28,0.21,-0.25,0.43
0.7892310619354248,0.41,0.33,-0.28,0.59
0.7917180061340332,0.43,0.15,0.09,0.46
0.8018419742584229,0.12,-0.1,0.29,0.32
0.812736988067627,-0.13,-0.19,0.06,0.23
0.8228669166564941,-0.17,-0.4,0.11,0.44
0.839695930480957,-0.53,-0.53,-0.03,0.75
0.8418738842010498,-0.77,-0.09,-0.13,0.78
0.8520700931549072,-0.06,0.27,0.01,0.27
0.8630588054656982,0.71,0.33,0.17,0.8
0.8729760646820068,0.64,0.37,0.33,0.8
0.8898429870605469,0.16,0.26,0.05,0.3
0.8918678760528564,-0.16,0.02,-0.12,0.2
0.902087926864624,-0.37,-0.15,-0.17,0.43
0.9129598140716553,-0.44,-0.18,0.02,0.47
0.923088788986206,-0.29,-0.19,0.07,0.35
0.9399809837341309,-0.12,-0.13,-0.11,0.2
0.9419729709625244,-0.07,-0.11,-0.13,0.18
0.9520881175994873,-0.31,-0.15,-0.23,0.41
0.9631319046020508,-0.48,0.03,-0.2,0.52
0.9731040000915527,-0.11,0.3,-0.21,0.38
0.9902918338775635,0.41,0.39,-0.19,0.59
0.9921300411224365,0.36,0.24,-0.29,0.52
1.0022828578948975,0.05,0.16,-0.3,0.34
1.0131299495697021,0.0,0.14,-0.04,0.14
1.0232470035552979,-0.02,0.01,0.04,0.04
1.0412049293518066,-0.05,-0.19,-0.72,0.74
1.0430090427398682,0.08,0.02,0.35,0.35
1.052314043045044,-0.09,0.06,0.89,0.89
1.063370943069458,0.02,-0.3,0.31,0.43
1.073408842086792,-0.14,-0.37,0.43,0.58
1.090207815170288,-0.01,-0.01,0.26,0.26
1.0922400951385498,0.19,0.23,0.03,0.29
1.102308988571167,0.26,0.37,-0.17,0.48
1.1132450103759766,0.34,0.36,-0.09,0.5
1.123533010482788,0.37,-0.31,0.25,0.54
1.1430680751800537,-0.34,-0.45,0.18,0.59
1.1449339389801025,-0.46,0.17,0.05,0.49
1.1524889469146729,0.19,0.12,-0.08,0.23
1.163438081741333,0.24,-0.13,-0.26,0.37
1.1734168529510498,-0.04,-0.05,-0.09,0.11
1.1925289630889893,-0.18,-0.13,-0.02,0.22
1.194239854812622,-0.35,-0.2,-0.19,0.44
1.202665090560913,-0.3,0.24,-0.3,0.48
1.2133359909057617,0.27,0.74,-0.22,0.81
1.223438024520874,0.71,0.59,-0.25,0.95
1.241811990737915,0.58,0.14,-0.12,0.6
1.2435247898101807,0.07,-0.38,0.21,0.43
1.2527410984039307,-0.77,-0.4,0.16,0.88
1.2635018825531006,-0.69,0.09,0.07,0.69
1.2736248970031738,0.15,0.2,-0.18,0.3
1.2923469543457031,0.4,0.2,-0.2,0.48
1.2940428256988525,0.18,0.12,0.21,0.3
1.302729845046997,-0.05,-0.37,0.44,0.57
1.3136088848114014,-0.57,-0.54,0.23,0.81
1.3236920833587646,-0.64,0.08,-0.05,0.64
1.3421261310577393,0.06,0.3,-0.11,0.32
