time,ax,ay,az,atotal
0.0042018890380859375,-0.54,-0.01,0.01,0.54
0.0058019161224365234,-0.76,0.14,0.0,0.77
0.01701188087463379,-0.43,-0.02,-0.12,0.44
0.0245969295501709,-0.11,0.0,-0.11,0.15
0.03451991081237793,0.08,-0.03,0.1,0.13
0.05336403846740723,0.1,-0.13,0.23,0.28
0.05493903160095215,0.07,-0.1,0.1,0.15
0.06691098213195801,-0.04,0.0,0.04,0.05
0.07474088668823242,-0.2,0.12,-0.07,0.24
0.08496308326721191,-0.18,0.15,-0.12,0.26
0.10329198837280273,-0.05,0.09,-0.15,0.18
0.10493111610412598,0.09,0.25,-0.13,0.29
0.11722779273986816,0.21,0.24,0.0,0.31
0.12472701072692871,0.2,-0.04,0.04,0.2
0.1347188949584961,0.12,-0.32,0.22,0.4
0.1532890796661377,-0.05,-0.24,0.03,0.24
0.1548750400543213,-0.11,0.23,-0.15,0.29
0.16741681098937988,0.1,-0.04,0.24,0.26
0.17495179176330566,0.22,-0.51,0.45,0.71
0.18500494956970215,0.06,-0.15,0.37,0.4
0.2034618854522705,-0.27,0.4,0.07,0.48
0.20505189895629883,-0.36,0.42,-0.36,0.65
0.21752285957336426,-0.31,0.04,-0.4,0.5
0.22504687309265137,-0.12,-0.29,0.07,0.32
0.23481011390686035,0.04,-0.42,0.49,0.64
0.2528719902038574,-0.22,0.14,0.38,0.46
0.2544548511505127,-0.61,0.63,-0.24,0.9
0.2673649787902832,-0.35,-0.15,-0.34,0.51
0.2749168872833252,-0.33,-0.32,0.32,0.56
0.28509092330932617,-0.55,-0.53,-0.01,0.76
0.3034539222717285,-0.8,-0.54,-0.72,1.2
0.30506205558776855,-0.77,0.14,-0.51,0.93
0.3173949718475342,-0.34,0.73,-0.53,0.96
0.3250300884246826,-0.13,0.46,-0.66,0.81
0.3349769115447998,0.1,0.02,-0.15,0.18
0.3530080318450928,0.06,-0.4,-0.15,0.43
0.35458898544311523,-0.4,-0.28,-0.47,0.67
0.3675358295440674,-0.67,-0.13,-0.34,0.76
