time,ax,ay,az,atotal
0.0048220157623291016,-0.24,-0.03,-0.21,0.32
0.01396799087524414,-0.43,0.05,-0.15,0.45
0.03157401084899902,-0.16,-0.01,-0.06,0.17
0.03636503219604492,0.16,0.04,-0.19,0.25
0.0469670295715332,0.16,0.0,-0.21,0.26
0.05501699447631836,0.04,0.02,-0.13,0.13
0.06381011009216309,-0.11,0.05,-0.13,0.17
0.08187985420227051,-0.18,0.03,0.0,0.18
0.08623003959655762,-0.12,0.08,0.07,0.16
0.09704899787902832,-0.17,0.02,0.07,0.18
0.10489487648010254,-0.23,-0.02,-0.01,0.23
0.11411309242248535,-0.19,-0.03,-0.15,0.24
0.13196301460266113,-0.06,-0.08,-0.13,0.16
0.136336088180542,0.2,-0.06,-0.06,0.21
0.14706110954284668,0.32,0.01,-0.03,0.32
0.15503597259521484,0.05,-0.01,0.07,0.08
0.1641981601715088,-0.18,-0.02,0.12,0.21
0.1817340850830078,-0.25,-0.01,0.08,0.26
0.18652105331420898,-0.24,0.03,0.02,0.24
0.19752287864685059,-0.21,-0.01,-0.04,0.21
0.20515894889831543,-0.16,-0.04,-0.03,0.16
0.21444010734558105,-0.1,-0.04,-0.05,0.11
0.23238015174865723,0.03,-0.04,0.0,0.05
0.23686504364013672,0.22,0.12,-0.06,0.25
0.2476041316986084,0.21,0.09,-0.22,0.31
0.2555830478668213,0.12,0.06,-0.24,0.27
0.2644920349121094,-0.1,0.11,-0.16,0.21
0.28298115730285645,-0.28,-0.02,-0.06,0.28
0.2874181270599365,-0.28,-0.07,-0.07,0.29
0.2977449893951416,-0.21,-0.02,-0.08,0.22
0.3054511547088623,-0.1,-0.06,-0.02,0.11
0.3144710063934326,0.12,-0.06,-0.07,0.15
0.3332560062408447,0.28,0.05,-0.25,0.37
0.3377220630645752,0.16,0.05,-0.22,0.27
0.3474540710449219,0.05,0.0,-0.1,0.11
0.35550713539123535,0.06,0.05,0.02,0.08
0.3642730712890625,0.11,0.1,0.02,0.15
0.38243889808654785,-0.01,0.04,0.01,0.04
0.386760950088501,-0.16,0.04,-0.04,0.16
0.39763712882995605,-0.29,-0.02,-0.1,0.3
0.4053959846496582,-0.25,-0.11,-0.15,0.31
0.41455602645874023,-0.12,-0.06,-0.19,0.23
0.43233513832092285,0.03,-0.06,-0.1,0.12
0.43682098388671875,0.29,-0.05,-0.01,0.29
0.4475419521331787,0.44,0.1,-0.05,0.45
0.45542097091674805,0.3,0.21,-0.16,0.39
0.46456217765808105,-0.02,0.11,-0.07,0.13
0.4825880527496338,-0.21,-0.01,0.05,0.21
0.48701906204223633,-0.2,-0.01,-0.09,0.21
0.4976961612701416,-0.28,0.04,-0.22,0.35
0.5055670738220215,-0.31,-0.09,-0.09,0.33
0.5147590637207031,-0.08,-0.19,0.01,0.2
0.5328609943389893,0.1,0.01,0.02,0.1
0.5376980304718018,0.11,0.17,0.08,0.21
0.5479230880737305,0.01,0.01,0.15,0.15
0.555682897567749,-0.07,-0.1,0.14,0.18
0.5648770332336426,-0.13,0.01,0.02,0.13
0.583791971206665,-0.25,0.09,0.03,0.26
0.5889010429382324,-0.45,0.03,0.14,0.47
0.5978491306304932,-0.44,-0.02,0.05,0.44
0.6057419776916504,-0.26,-0.04,-0.18,0.31
0.6150150299072266,-0.12,-0.19,-0.06,0.23
0.6328909397125244,0.1,-0.07,-0.13,0.17
0.6376149654388428,0.15,0.13,-0.31,0.36
0.64792799949646,-0.01,0.08,-0.29,0.3
0.6558310985565186,-0.11,0.0,-0.22,0.24
0.6649081707000732,-0.13,0.08,-0.2,0.25
0.683056116104126,-0.16,0.07,0.06,0.18
0.6882710456848145,-0.24,0.03,0.16,0.28
0.6984400749206543,-0.39,0.0,-0.03,0.39
0.7059981822967529,-0.42,-0.03,-0.08,0.42
0.7150981426239014,-0.25,-0.02,-0.09,0.26
0.733659029006958,-0.02,-0.02,-0.07,0.07
0.738753080368042,0.07,-0.13,0.09,0.17
0.7484660148620605,0.01,-0.13,0.18,0.22
0.7561800479888916,-0.03,0.1,0.07,0.12
0.7652649879455566,-0.02,0.25,-0.04,0.25
0.7839810848236084,-0.05,0.17,-0.08,0.19
0.7891640663146973,-0.14,0.01,0.01,0.14
0.7984368801116943,-0.32,-0.16,0.15,0.38
0.8060691356658936,-0.35,-0.17,0.27,0.47
0.8153221607208252,-0.11,-0.07,0.13,0.18
0.8332788944244385,0.11,0.03,-0.11,0.15
0.838209867477417,0.05,0.05,-0.18,0.19
0.8483879566192627,-0.02,0.07,-0.08,0.1
0.8561580181121826,-0.08,0.02,0.09,0.12
0.8652021884918213,-0.08,0.03,0.06,0.1
0.8833680152893066,0.03,0.01,-0.12,0.12
0.8882920742034912,0.04,0.01,-0.21,0.21
0.8982589244842529,-0.18,-0.02,-0.05,0.18
0.9059851169586182,-0.17,-0.04,0.0,0.17
0.9151198863983154,0.1,0.01,-0.09,0.13
0.9327960014343262,0.26,0.02,-0.1,0.27
0.9379498958587646,0.15,0.01,-0.13,0.19
0.948235034942627,-0.04,0.02,-0.17,0.17
0.9560801982879639,-0.21,0.06,-0.16,0.27
0.96527099609375,-0.07,0.08,-0.15,0.18
0.9833681583404541,0.16,0.06,-0.14,0.22
0.9880490303039551,0.14,0.01,-0.07,0.15
0.9983720779418945,-0.02,0.01,-0.11,0.11
1.0060980319976807,-0.25,0.03,-0.05,0.25
1.0152509212493896,-0.4,0.01,0.07,0.4
1.0325920581817627,-0.19,-0.05,0.06,0.2
1.037883996963501,0.02,-0.09,-0.08,0.12
1.0482509136199951,0.1,0.05,-0.12,0.16
1.056408166885376,0.02,0.04,-0.08,0.09
1.065410852432251,-0.13,-0.03,-0.03,0.13
1.082608938217163,-0.3,0.11,0.21,0.38
1.0877940654754639,-0.19,0.13,0.15,0.27
1.0986521244049072,0.1,-0.11,0.18,0.23
1.106234073638916,0.1,-0.17,0.08,0.21
1.1154859066009521,-0.06,0.04,-0.12,0.13
1.1335570812225342,-0.34,0.13,-0.09,0.37
1.1381828784942627,-0.7,0.25,-0.11,0.75
1.148298978805542,-0.52,0.33,-0.44,0.75
1.156332015991211,0.3,-0.03,0.09,0.31
1.1654331684112549,0.86,-0.28,0.23,0.93
1.1823229789733887,0.86,-0.15,-0.17,0.88
1.187704086303711,0.7,-0.02,-0.25,0.74
1.1984009742736816,0.47,0.08,-0.27,0.54
1.2062809467315674,0.22,0.11,-0.03,0.24
1.215475082397461,0.02,-0.01,0.38,0.38
1.2327048778533936,0.0,-0.18,0.44,0.47
1.2382161617279053,0.11,-0.21,0.13,0.27
1.2486920356750488,0.26,-0.08,-0.12,0.29
1.256432056427002,0.35,-0.02,-0.16,0.38
1.2655608654022217,0.44,-0.07,-0.04,0.44
1.283299207687378,0.47,-0.13,0.26,0.55
1.2880709171295166,0.5,-0.12,0.3,0.59
1.2986581325531006,0.45,0.0,0.14,0.47
1.306494951248169,0.37,0.1,-0.04,0.38
1.3156590461730957,0.3,0.12,-0.11,0.34
1.333160161972046,0.17,0.05,-0.07,0.19
1.338379144668579,-0.07,-0.13,0.25,0.29
1.3488309383392334,-0.06,-0.25,0.28,0.38
1.3567190170288086,0.08,-0.11,-0.07,0.15
