time,ax,ay,az,atotal
0.0025649070739746094,-0.04,-0.08,0.07,0.11
0.012170076370239258,-0.16,-0.04,0.17,0.23
0.022277116775512695,-0.13,-0.08,0.07,0.16
0.0337672233581543,-0.03,-0.1,-0.02,0.1
0.04213404655456543,0.04,-0.05,-0.07,0.09
0.05225110054016113,0.15,-0.02,-0.09,0.17
0.06197309494018555,0.15,0.07,-0.09,0.18
0.07222509384155273,0.11,0.14,-0.1,0.2
0.0837249755859375,0.04,0.08,-0.08,0.12
0.09264421463012695,-0.02,0.02,-0.05,0.05
0.1022651195526123,-0.05,0.05,-0.01,0.07
0.11218905448913574,-0.06,0.07,0.08,0.12
0.12232708930969238,-0.04,0.04,0.05,0.07
0.13377714157104492,-0.01,0.01,0.08,0.08
0.1422410011291504,0.01,0.04,0.13,0.13
0.15225696563720703,-0.03,0.02,-0.01,0.03
0.16217994689941406,-0.07,-0.04,0.0,0.08
0.17226004600524902,-0.12,-0.1,0.02,0.15
0.18389606475830078,-0.18,-0.02,-0.07,0.19
0.19228792190551758,-0.05,0.03,0.0,0.05
0.2022871971130371,0.13,-0.02,0.05,0.14
0.21231317520141602,0.1,-0.08,-0.1,0.16
0.22232913970947266,0.01,-0.11,-0.08,0.13
0.23406219482421875,-0.05,-0.11,-0.08,0.14
0.24231195449829102,-0.05,-0.12,-0.12,0.17
0.2529640197753906,0.03,-0.16,-0.33,0.36
0.2624180316925049,0.38,-0.09,-0.05,0.39
0.27240610122680664,0.29,0.06,0.49,0.57
0.28426408767700195,-0.18,0.22,0.0,0.28
0.2924010753631592,-0.23,0.26,0.25,0.42
0.3022730350494385,-0.21,0.18,0.25,0.37
0.3122849464416504,-0.06,0.05,-0.13,0.15
0.3224830627441406,0.32,-0.11,-0.2,0.39
0.3345499038696289,0.42,-0.18,-0.07,0.46
0.34248924255371094,0.27,0.07,-0.15,0.31
0.35245418548583984,-0.08,0.78,0.0,0.78
0.36239099502563477,0.21,0.75,0.37,0.86
0.37258410453796387,0.2,-0.12,-0.14,0.27
0.38434505462646484,-0.53,-0.88,-0.36,1.08
