time,ax,ay,az,atotal
0.009427070617675781,0.05,0.29,0.41,0.5
0.017399311065673828,-0.09,0.2,0.64,0.67
0.027095317840576172,-0.17,0.18,0.72,0.76
0.03748512268066406,-0.04,0.27,0.58,0.64
0.04665422439575195,-0.08,0.44,0.44,0.62
0.06109118461608887,-0.27,0.63,0.31,0.75
0.06710314750671387,-0.34,0.68,0.14,0.77
0.07783126831054688,-0.26,0.63,-0.01,0.68
0.087921142578125,-0.13,0.6,-0.04,0.61
0.09827423095703125,0.01,0.59,0.06,0.59
0.11133003234863281,0.2,0.64,0.09,0.67
0.11750912666320801,0.3,0.75,0.14,0.81
0.12698721885681152,0.36,0.99,0.21,1.07
0.1378941535949707,0.17,1.21,0.29,1.25
0.14817333221435547,0.33,1.67,-0.04,1.7
0.16115617752075195,0.5,2.07,0.17,2.13
0.16747426986694336,0.36,2.24,0.31,2.28
0.17749714851379395,0.1,2.62,0.33,2.64
0.18697118759155273,-0.21,2.84,0.72,2.93
0.19630122184753418,-0.38,2.96,1.04,3.16
0.2104802131652832,-0.45,3.01,1.33,3.32
0.2169961929321289,-0.46,3.03,1.57,3.44
0.22715115547180176,-0.61,2.97,1.42,3.34
0.23818421363830566,-0.89,2.6,0.88,2.88
0.24751710891723633,-0.99,1.94,0.49,2.23
0.2635171413421631,-0.73,1.23,0.48,1.5
0.2679312229156494,-0.05,0.48,0.45,0.65
0.27770519256591797,0.51,-0.25,0.19,0.59
0.28832530975341797,0.96,-0.95,-0.23,1.37
0.2975940704345703,1.09,-1.5,-0.66,1.96
0.31244516372680664,0.72,-1.94,-1.04,2.31
0.3174111843109131,0.22,-2.33,-1.05,2.56
0.3276491165161133,-0.07,-2.58,-0.66,2.66
0.3380441665649414,-0.42,-2.7,-0.04,2.73
0.34752917289733887,-0.6,-2.98,0.55,3.08
0.3618292808532715,-0.72,-3.26,0.89,3.45
0.36704421043395996,-1.06,-3.37,1.07,3.69
0.3778343200683594,-1.27,-3.46,1.08,3.84
0.387850284576416,-1.2,-3.43,0.89,3.74
0.39870619773864746,-0.77,-3.19,0.77,3.37
0.4122791290283203,-0.36,-2.89,0.64,2.98
0.4169650077819824,-0.19,-2.59,0.46,2.63
0.4279482364654541,-0.08,-2.44,0.33,2.46
0.43811511993408203,-0.06,-2.24,0.32,2.26
0.4479331970214844,-0.18,-1.94,0.33,1.97
0.461118221282959,-0.31,-1.64,0.42,1.72
0.46714115142822266,-0.37,-1.4,0.52,1.53
0.47795724868774414,-0.57,-1.16,0.47,1.37
0.4879472255706787,-0.47,-0.9,0.31,1.06
0.49797534942626953,-0.18,-0.61,0.03,0.63
0.5129561424255371,0.06,-0.35,-0.21,0.41
0.5167851448059082,0.09,-0.13,-0.35,0.38
0.5273542404174805,-0.79,1.09,-0.3,1.37
0.538701057434082,-1.3,1.36,-1.38,2.33
0.5476241111755371,0.68,-0.36,-1.2,1.42
