time,ax,ay,az,atotal
0.009045124053955078,0.18,-0.06,-0.2,0.27
0.01537322998046875,0.5,-0.14,-0.16,0.54
0.029767990112304688,0.61,-0.06,-0.09,0.61
0.0352630615234375,0.55,0.05,-0.15,0.57
0.04506111145019531,0.37,0.11,-0.16,0.41
0.05858421325683594,0.13,0.06,-0.04,0.14
0.06571626663208008,-0.09,-0.04,0.07,0.12
0.08169126510620117,-0.3,-0.11,0.09,0.33
0.08547115325927734,-0.41,-0.06,0.09,0.42
0.09511113166809082,-0.41,0.01,0.08,0.41
0.108612060546875,-0.27,0.07,0.08,0.29
0.11560416221618652,-0.05,0.07,0.03,0.09
0.13118219375610352,0.16,0.03,-0.03,0.16
0.13556432723999023,0.24,0.0,-0.1,0.26
0.1447920799255371,0.24,-0.01,-0.1,0.26
0.15905117988586426,0.18,0.0,-0.05,0.18
0.16588830947875977,0.13,-0.01,-0.02,0.13
0.18163418769836426,0.06,-0.01,0.04,0.07
0.18587613105773926,-0.03,-0.01,0.07,0.07
0.19587421417236328,-0.11,0.0,0.07,0.13
0.20914411544799805,-0.15,0.02,0.05,0.15
0.21618413925170898,-0.14,0.03,0.03,0.14
0.23075318336486816,-0.09,0.03,0.02,0.09
0.23516511917114258,-0.02,0.02,0.0,0.02
0.2453911304473877,0.06,0.0,-0.01,0.06
0.2581782341003418,0.06,-0.01,-0.01,0.06
0.2655520439147949,0.06,-0.01,-0.04,0.07
0.2817521095275879,0.02,0.02,-0.08,0.08
0.2854611873626709,-0.02,0.05,-0.05,0.07
0.29596519470214844,-0.04,0.06,-0.04,0.08
0.3089323043823242,0.0,0.05,-0.02,0.05
0.31590819358825684,0.08,0.02,0.03,0.08
0.3316690921783447,0.2,-0.04,0.05,0.21
0.33600902557373047,0.25,-0.07,0.04,0.26
0.3460969924926758,0.23,-0.04,0.01,0.23
0.35948920249938965,0.09,0.04,-0.03,0.1
0.3662691116333008,-0.07,0.07,-0.04,0.1
0.38176417350769043,-0.18,0.07,-0.03,0.19
0.3853139877319336,-0.16,0.03,-0.02,0.16
0.39626598358154297,-0.06,-0.06,-0.06,0.1
0.40917515754699707,0.03,-0.1,-0.12,0.15
0.41593027114868164,0.03,-0.08,-0.13,0.15
0.4304780960083008,0.0,0.05,-0.08,0.09
0.43546104431152344,-0.01,0.1,-0.02,0.1
0.44540929794311523,0.02,0.08,0.06,0.1
0.4591670036315918,0.05,0.07,0.13,0.15
0.46620917320251465,0.03,0.06,0.12,0.13
0.4809761047363281,-0.04,0.01,0.09,0.09
0.4854280948638916,-0.1,-0.04,0.03,0.11
0.4961071014404297,-0.18,-0.04,-0.06,0.19
0.509390115737915,-0.16,-0.03,-0.1,0.19
0.5160312652587891,-0.08,-0.01,-0.1,0.12
0.5303671360015869,0.01,-0.01,-0.12,0.12
0.5352871417999268,0.08,-0.01,-0.1,0.12
0.5463500022888184,0.06,0.02,-0.07,0.09
0.5589489936828613,0.04,0.02,-0.02,0.04
0.5664401054382324,0.0,0.04,-0.03,0.05
0.5815830230712891,-0.07,0.02,-0.02,0.07
0.5854282379150391,-0.13,0.02,0.04,0.13
0.5961151123046875,-0.16,0.02,0.08,0.18
0.6093051433563232,-0.11,0.0,0.06,0.12
0.6164951324462891,-0.04,-0.02,-0.01,0.04
0.6317620277404785,-0.02,0.01,-0.06,0.06
0.6356561183929443,-0.03,0.05,-0.12,0.13
0.646247148513794,-0.1,0.05,-0.14,0.17
0.6596431732177734,-0.09,0.01,-0.09,0.12
0.667020320892334,0.0,-0.06,-0.07,0.09
0.6827981472015381,0.08,-0.08,-0.04,0.12
0.6853470802307129,0.08,-0.03,-0.04,0.09
0.6964931488037109,0.01,0.02,-0.06,0.06
0.7093291282653809,-0.06,0.05,-0.03,0.08
0.7174491882324219,-0.08,0.02,0.08,0.11
0.7338442802429199,-0.03,0.0,0.17,0.17
0.7361071109771729,0.05,0.02,0.24,0.24
0.7463481426239014,0.14,0.05,0.24,0.28
0.7593240737915039,0.16,0.02,0.17,0.23
0.7668521404266357,0.1,-0.02,0.16,0.18
0.7813620567321777,-0.01,-0.07,0.09,0.11
0.7859992980957031,-0.11,-0.05,0.01,0.12
0.7957062721252441,-0.14,0.02,0.01,0.14
0.8095271587371826,-0.11,0.09,0.06,0.15
0.8156890869140625,-0.05,0.13,0.06,0.15
0.8305602073669434,-0.05,0.1,0.06,0.12
0.835726261138916,-0.11,0.06,0.03,0.12
0.8460001945495605,-0.14,-0.06,-0.04,0.15
0.8595390319824219,-0.12,-0.14,-0.09,0.2
0.8658511638641357,-0.07,-0.12,-0.09,0.16
0.8813033103942871,0.02,0.01,-0.1,0.1
0.8860492706298828,0.08,0.1,-0.09,0.15
0.8964509963989258,0.04,0.13,-0.1,0.16
