time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.004,-0.04,0.99,-0.06,0.14,0.01,0.04,-0.01,0.04,0.03,978.07
0.006,-0.04,0.99,-0.06,0.14,0.01,0.04,0.00,-0.02,0.02,978.07
0.006,-0.04,0.99,-0.06,-0.05,-0.08,-0.03,0.00,-0.02,0.02,978.07
0.007,-0.04,0.99,-0.06,-0.05,-0.08,-0.03,0.00,-0.02,0.02,978.07
0.015,-0.03,1.02,-0.07,-0.05,-0.08,-0.03,0.00,-0.02,0.02,978.07
0.035,-0.07,1.02,-0.07,-0.05,-0.08,-0.03,0.00,-0.02,0.02,978.07
0.035,-0.07,1.02,-0.07,-0.05,-0.08,-0.03,-0.01,0.02,0.00,978.07
0.036,-0.07,1.02,-0.07,-0.05,-0.07,-0.03,-0.01,0.02,0.00,978.07
0.054,-0.03,1.01,-0.06,-0.05,-0.07,-0.03,-0.01,0.02,0.00,978.07
0.061,-0.03,1.01,-0.06,-0.05,-0.07,-0.03,-0.01,0.02,0.00,978.09
0.074,-0.05,0.99,-0.06,-0.05,-0.07,-0.03,-0.01,0.02,0.00,978.09
0.075,-0.05,0.99,-0.06,-0.05,-0.07,-0.03,-0.00,0.04,-0.02,978.09
0.076,-0.05,0.99,-0.06,0.27,0.14,-0.01,-0.00,0.04,-0.02,978.09
0.094,-0.10,0.99,-0.08,0.27,0.14,-0.01,-0.00,0.04,-0.02,978.09
0.115,-0.10,1.00,-0.08,0.27,0.14,-0.01,-0.00,0.04,-0.02,978.09
0.116,-0.10,1.00,-0.08,0.27,0.14,-0.01,0.00,0.02,-0.04,978.09
0.117,-0.10,1.00,-0.08,-0.14,-0.06,-0.05,0.00,0.02,-0.04,978.09
0.136,-0.10,1.00,-0.08,-0.14,-0.06,-0.05,0.00,0.02,-0.04,978.10
0.138,-0.05,1.02,-0.06,-0.14,-0.06,-0.05,0.00,0.02,-0.04,978.10
0.163,-0.07,0.99,-0.07,-0.14,-0.06,-0.05,0.00,0.02,-0.04,978.10
0.165,-0.07,0.99,-0.07,-0.14,-0.06,-0.05,-0.00,-0.10,-0.04,978.10
0.166,-0.07,0.99,-0.07,-0.12,-0.06,-0.05,-0.00,-0.10,-0.04,978.10
0.174,-0.08,1.00,-0.07,-0.12,-0.06,-0.05,-0.00,-0.10,-0.04,978.10
0.181,-0.08,1.00,-0.07,-0.12,-0.06,-0.05,-0.00,-0.10,-0.04,978.11
0.194,-0.07,1.01,-0.05,-0.12,-0.06,-0.05,-0.00,-0.10,-0.04,978.11
0.195,-0.07,1.01,-0.05,-0.12,-0.06,-0.05,0.00,-0.13,-0.03,978.11
0.195,-0.07,1.01,-0.05,0.09,0.01,0.01,0.00,-0.13,-0.03,978.11
0.214,-0.06,1.00,-0.06,0.09,0.01,0.01,0.00,-0.13,-0.03,978.11
0.238,-0.07,0.99,-0.06,0.09,0.01,0.01,0.00,-0.13,-0.03,978.11
0.24,-0.07,0.99,-0.06,0.09,0.01,0.01,0.01,0.00,-0.02,978.11
0.241,-0.07,0.99,-0.06,0.06,0.01,0.07,0.01,0.00,-0.02,978.11
0.262,-0.07,0.99,-0.06,0.06,0.01,0.07,0.01,0.00,-0.02,978.11
0.263,-0.06,1.00,-0.07,0.06,0.01,0.07,0.01,0.00,-0.02,978.11
0.282,-0.09,1.01,-0.07,0.06,0.01,0.07,0.01,0.00,-0.02,978.11
0.283,-0.09,1.01,-0.07,0.06,0.01,0.07,0.01,0.06,-0.03,978.11
0.284,-0.09,1.01,-0.07,0.07,0.01,0.08,0.01,0.06,-0.03,978.11
0.285,-0.09,1.01,-0.07,0.07,0.01,0.08,0.01,0.06,-0.03,978.10
0.292,-0.10,1.01,-0.07,0.07,0.01,0.08,0.01,0.06,-0.03,978.10
0.311,-0.07,1.01,-0.08,0.07,0.01,0.08,0.01,0.06,-0.03,978.10
0.312,-0.07,1.01,-0.08,0.07,0.01,0.08,0.01,0.06,-0.02,978.10
0.314,-0.07,1.01,-0.08,-0.07,0.04,-0.04,0.01,0.06,-0.02,978.10
0.338,-0.07,1.00,-0.06,-0.07,0.04,-0.04,0.01,0.06,-0.02,978.10
0.343,-0.07,1.00,-0.06,-0.07,0.04,-0.04,0.01,0.06,-0.02,978.09
0.356,-0.08,0.99,-0.08,-0.07,0.04,-0.04,0.01,0.06,-0.02,978.09
0.357,-0.08,0.99,-0.08,-0.07,0.04,-0.04,0.01,0.06,0.01,978.09
0.357,-0.08,0.99,-0.08,0.02,-0.02,-0.03,0.01,0.06,0.01,978.09
0.376,-0.10,1.01,-0.07,0.02,-0.02,-0.03,0.01,0.06,0.01,978.09
0.391,-0.09,1.00,-0.07,0.02,-0.02,-0.03,0.01,0.06,0.01,978.09
0.392,-0.09,1.00,-0.07,0.01,-0.02,-0.02,0.01,0.06,0.01,978.09
0.392,-0.09,1.00,-0.07,0.01,-0.02,-0.02,0.00,0.10,0.01,978.09
0.401,-0.09,1.00,-0.07,0.01,-0.02,-0.02,0.00,0.10,0.01,978.09
0.41,-0.05,1.00,-0.06,0.01,-0.02,-0.02,0.00,0.10,0.01,978.09
0.431,-0.07,1.00,-0.08,0.01,-0.02,-0.02,0.00,0.10,0.01,978.09
0.431,-0.07,1.00,-0.08,0.01,-0.02,-0.02,0.01,0.07,0.03,978.09
0.432,-0.07,1.00,-0.08,-0.06,0.03,0.03,0.01,0.07,0.03,978.09
0.45,-0.10,1.01,-0.08,-0.06,0.03,0.03,0.01,0.07,0.03,978.09
0.46,-0.10,1.01,-0.08,-0.06,0.03,0.03,0.01,0.07,0.03,978.09
0.47,-0.07,1.00,-0.07,-0.06,0.03,0.03,0.01,0.07,0.03,978.09
0.471,-0.07,1.00,-0.07,-0.06,0.03,0.03,0.01,0.04,0.02,978.09
