time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.006,-0.07,1.00,-0.12,-0.11,-0.02,-0.03,0.02,-0.33,-0.01,978.09
0.01,-0.08,0.99,-0.12,-0.11,-0.02,-0.03,0.02,-0.33,-0.01,978.09
0.011,-0.08,0.99,-0.12,-0.11,-0.02,-0.03,0.00,0.00,0.01,978.09
0.011,-0.08,0.99,-0.12,0.03,0.03,-0.04,0.00,0.00,0.01,978.09
0.04,-0.08,0.99,-0.12,0.03,0.03,-0.04,0.00,0.00,0.01,978.09
0.041,-0.06,1.00,-0.11,0.03,0.03,-0.04,0.00,0.00,0.01,978.09
0.053,-0.05,1.00,-0.12,0.03,0.03,-0.04,0.00,0.00,0.01,978.09
0.054,-0.05,1.00,-0.12,0.03,0.03,-0.04,-0.00,-0.00,0.02,978.09
0.055,-0.05,1.00,-0.12,-0.06,-0.03,-0.04,-0.00,-0.00,0.02,978.09
0.069,-0.05,1.00,-0.12,-0.06,-0.03,-0.04,-0.00,-0.00,0.02,978.09
0.077,-0.05,1.00,-0.12,-0.06,-0.03,-0.04,-0.00,-0.00,0.02,978.08
0.089,-0.06,1.00,-0.12,-0.06,-0.03,-0.04,-0.00,-0.00,0.02,978.08
0.089,-0.06,1.00,-0.12,-0.06,-0.03,-0.04,-0.01,-0.02,0.02,978.08
0.09,-0.06,1.00,-0.12,-0.06,-0.03,-0.04,-0.01,-0.02,0.02,978.08
0.116,-0.04,1.00,-0.12,-0.06,-0.03,-0.04,-0.01,-0.02,0.02,978.08
0.129,-0.04,1.00,-0.12,0.05,0.01,-0.05,-0.01,-0.02,0.02,978.08
0.132,-0.05,1.00,-0.10,0.05,0.01,-0.05,-0.01,-0.02,0.02,978.08
0.133,-0.05,1.00,-0.10,0.05,0.01,-0.05,-0.02,-0.02,0.01,978.08
0.137,-0.05,1.00,-0.10,0.05,0.01,-0.05,-0.02,-0.02,0.01,978.09
0.148,-0.06,1.00,-0.12,0.05,0.01,-0.05,-0.02,-0.02,0.01,978.09
0.168,-0.06,1.00,-0.12,0.05,0.01,-0.05,-0.02,-0.02,0.01,978.09
0.17,-0.06,1.00,-0.12,0.05,0.01,-0.05,-0.01,-0.01,-0.00,978.09
0.17,-0.06,1.00,-0.12,-0.01,0.01,-0.01,-0.01,-0.01,-0.00,978.09
0.188,-0.05,0.99,-0.12,-0.01,0.01,-0.01,-0.01,-0.01,-0.00,978.09
0.202,-0.05,0.99,-0.12,-0.01,0.01,-0.01,-0.01,-0.01,-0.00,978.08
0.208,-0.06,1.00,-0.11,-0.01,0.01,-0.01,-0.01,-0.01,-0.00,978.08
0.209,-0.06,1.00,-0.11,-0.01,0.01,-0.01,-0.01,-0.01,0.01,978.08
0.209,-0.06,1.00,-0.11,-0.01,0.01,-0.02,-0.01,-0.01,0.01,978.08
0.24,-0.06,1.00,-0.11,-0.01,0.01,-0.02,-0.01,-0.01,0.01,978.08
0.248,-0.05,1.00,-0.11,-0.01,0.01,-0.02,-0.01,-0.01,0.01,978.08
0.25,-0.05,1.00,-0.11,-0.01,0.01,-0.02,-0.02,-0.01,0.01,978.08
0.251,-0.05,1.00,-0.11,-0.05,-0.03,0.00,-0.02,-0.01,0.01,978.08
0.257,-0.05,1.00,-0.11,-0.05,-0.03,0.00,-0.02,-0.01,0.01,978.07
0.267,-0.04,1.00,-0.11,-0.05,-0.03,0.00,-0.02,-0.01,0.01,978.07
0.288,-0.04,1.00,-0.12,-0.05,-0.03,0.00,-0.02,-0.01,0.01,978.07
0.289,-0.04,1.00,-0.12,-0.05,-0.03,0.00,-0.02,-0.02,0.01,978.07
0.29,-0.04,1.00,-0.12,0.08,0.01,-0.02,-0.02,-0.02,0.01,978.07
0.308,-0.04,1.00,-0.12,0.08,0.01,-0.02,-0.02,-0.02,0.01,978.07
0.32,-0.04,1.00,-0.12,0.08,0.01,-0.02,-0.02,-0.02,0.01,978.07
0.327,-0.07,1.00,-0.11,0.08,0.01,-0.02,-0.02,-0.02,0.01,978.07
0.329,-0.07,1.00,-0.11,0.08,0.01,-0.02,-0.02,0.00,-0.00,978.07
0.333,-0.07,1.00,-0.11,0.08,0.01,-0.02,-0.02,0.00,-0.00,978.07
0.346,-0.07,1.00,-0.11,0.08,0.01,-0.02,-0.02,0.00,-0.00,978.07
0.366,-0.05,1.00,-0.12,0.08,0.01,-0.02,-0.02,0.00,-0.00,978.07
0.368,-0.05,1.00,-0.12,0.08,0.01,-0.02,-0.02,0.00,0.01,978.07
0.369,-0.05,1.00,-0.12,-0.11,-0.02,-0.03,-0.02,0.00,0.01,978.07
0.376,-0.05,1.00,-0.12,-0.11,-0.02,-0.03,-0.02,0.00,0.01,978.07
0.385,-0.03,1.00,-0.11,-0.11,-0.02,-0.03,-0.02,0.00,0.01,978.07
0.406,-0.05,1.00,-0.10,-0.11,-0.02,-0.03,-0.02,0.00,0.01,978.07
0.408,-0.05,1.00,-0.10,-0.11,-0.02,-0.03,-0.03,-0.01,0.02,978.07
0.409,-0.05,1.00,-0.10,0.08,-0.00,0.02,-0.03,-0.01,0.02,978.07
0.428,-0.04,1.00,-0.11,0.08,-0.00,0.02,-0.03,-0.01,0.02,978.07
0.437,-0.04,1.00,-0.11,0.08,-0.00,0.02,-0.03,-0.01,0.02,978.08
0.447,-0.05,1.00,-0.12,0.08,-0.00,0.02,-0.03,-0.01,0.02,978.08
0.449,-0.05,1.00,-0.12,0.08,-0.00,0.02,-0.02,0.00,0.00,978.08
0.45,-0.05,1.00,-0.12,0.07,-0.00,0.01,-0.02,0.00,0.00,978.08
0.484,-0.06,1.00,-0.11,0.07,-0.00,0.01,-0.02,0.00,0.00,978.08
0.487,-0.04,1.01,-0.11,0.07,-0.00,0.01,-0.02,0.00,0.00,978.08
0.488,-0.04,1.01,-0.11,0.07,-0.00,0.01,-0.02,-0.00,-0.00,978.08
0.489,-0.04,1.01,-0.11,-0.03,-0.00,-0.02,-0.02,-0.00,-0.00,978.08
0.499,-0.04,1.01,-0.11,-0.03,-0.00,-0.02,-0.02,-0.00,-0.00,978.07
0.504,-0.06,1.00,-0.11,-0.03,-0.00,-0.02,-0.02,-0.00,-0.00,978.07
0.524,-0.08,0.99,-0.11,-0.03,-0.00,-0.02,-0.02,-0.00,-0.00,978.07
0.525,-0.08,0.99,-0.11,-0.03,-0.00,-0.02,-0.02,0.00,0.00,978.07
0.526,-0.08,0.99,-0.11,-0.06,-0.01,-0.01,-0.02,0.00,0.00,978.07
0.544,-0.05,1.00,-0.11,-0.06,-0.01,-0.01,-0.02,0.00,0.00,978.07
0.556,-0.05,1.00,-0.11,-0.06,-0.01,-0.01,-0.02,0.00,0.00,978.06
0.569,-0.05,1.00,-0.11,-0.06,-0.01,-0.01,-0.02,0.00,0.00,978.06
0.573,-0.04,1.00,-0.11,-0.06,-0.01,-0.01,-0.02,0.00,0.00,978.06
0.575,-0.04,1.00,-0.11,-0.06,-0.01,-0.01,-0.02,-0.03,0.02,978.06
0.605,-0.05,1.00,-0.11,-0.06,-0.01,-0.01,-0.02,-0.03,0.02,978.06
0.606,-0.05,1.00,-0.11,-0.06,-0.01,-0.01,-0.02,-0.03,0.02,978.06
0.607,-0.05,1.00,-0.11,-0.06,-0.01,-0.01,-0.02,-0.00,0.01,978.06
0.608,-0.05,1.00,-0.11,0.06,-0.00,-0.00,-0.02,-0.00,0.01,978.06
0.616,-0.05,1.00,-0.11,0.06,-0.00,-0.00,-0.02,-0.00,0.01,978.05
0.622,-0.05,1.00,-0.10,0.06,-0.00,-0.00,-0.02,-0.00,0.01,978.05
0.643,-0.05,1.00,-0.10,0.06,-0.00,-0.00,-0.02,-0.00,0.01,978.05
0.644,-0.05,1.00,-0.10,0.06,-0.00,-0.00,-0.02,-0.01,0.01,978.05
0.645,-0.05,1.00,-0.10,0.00,0.01,0.02,-0.02,-0.01,0.01,978.05
0.664,-0.06,1.00,-0.11,0.00,0.01,0.02,-0.02,-0.01,0.01,978.05
0.676,-0.06,1.00,-0.11,0.00,0.01,0.02,-0.02,-0.01,0.01,978.05
0.695,-0.06,1.00,-0.10,0.00,0.01,0.02,-0.02,-0.01,0.01,978.05
0.699,-0.06,1.00,-0.10,0.00,0.01,0.02,-0.02,-0.02,0.01,978.05
0.7,-0.06,1.00,-0.10,-0.00,0.01,0.01,-0.02,-0.02,0.01,978.05
0.704,-0.05,1.00,-0.10,-0.00,0.01,0.01,-0.02,-0.02,0.01,978.05
0.725,-0.04,1.00,-0.10,-0.00,0.01,0.01,-0.02,-0.02,0.01,978.05
0.726,-0.04,1.00,-0.10,-0.00,0.01,0.01,-0.02,-0.01,0.02,978.05
0.727,-0.04,1.00,-0.10,-0.07,-0.02,-0.01,-0.02,-0.01,0.02,978.05
0.743,-0.04,1.00,-0.10,-0.07,-0.02,-0.01,-0.02,-0.01,0.02,978.06
0.746,-0.03,1.00,-0.10,-0.07,-0.02,-0.01,-0.02,-0.01,0.02,978.06
0.762,-0.03,1.00,-0.10,0.09,0.02,0.02,-0.02,-0.01,0.02,978.06
0.764,-0.04,1.00,-0.10,0.09,0.02,0.02,-0.02,-0.01,0.02,978.06
0.765,-0.04,1.00,-0.10,0.09,0.02,0.02,-0.02,-0.02,0.02,978.06
0.782,-0.06,1.00,-0.10,0.09,0.02,0.02,-0.02,-0.02,0.02,978.06
0.795,-0.06,1.00,-0.10,0.09,0.02,0.02,-0.02,-0.02,0.02,978.06
0.801,-0.06,1.00,-0.10,0.09,0.02,0.02,-0.02,-0.02,0.02,978.06
0.802,-0.06,1.00,-0.10,0.09,0.02,0.02,-0.01,-0.00,0.01,978.06
0.803,-0.06,1.00,-0.10,0.07,0.01,0.02,-0.01,-0.00,0.01,978.06
0.83,-0.04,1.00,-0.10,0.07,0.01,0.02,-0.01,-0.00,0.01,978.06
0.841,-0.04,1.00,-0.10,0.07,0.01,0.02,-0.01,-0.00,0.01,978.06
0.844,-0.04,1.00,-0.10,-0.04,-0.01,-0.00,-0.01,-0.00,0.01,978.06
0.846,-0.04,1.00,-0.10,-0.04,-0.01,-0.00,-0.01,-0.02,0.01,978.06
0.89,-0.04,1.00,-0.10,-0.04,-0.01,-0.00,-0.01,-0.02,0.01,978.05
0.891,-0.06,1.00,-0.11,-0.04,-0.01,-0.00,-0.01,-0.02,0.01,978.05
0.892,-0.04,1.00,-0.10,-0.04,-0.01,-0.00,-0.01,-0.02,0.01,978.05
0.892,-0.04,1.00,-0.10,-0.04,-0.01,-0.00,-0.02,0.00,0.01,978.05
0.893,-0.04,1.00,-0.10,-0.02,-0.01,-0.03,-0.02,0.00,0.01,978.05
0.899,-0.03,1.00,-0.09,-0.02,-0.01,-0.03,-0.02,0.00,0.01,978.05
0.926,-0.03,1.00,-0.09,-0.02,-0.01,-0.03,-0.02,0.00,0.01,978.04
0.929,-0.04,1.00,-0.10,-0.02,-0.01,-0.03,-0.02,0.00,0.01,978.04
0.931,-0.04,1.00,-0.10,-0.02,-0.01,-0.03,-0.02,-0.02,0.01,978.04
0.933,-0.04,1.00,-0.10,-0.02,-0.01,-0.03,-0.02,-0.02,0.01,978.04
