time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,-0.09,0.97,-0.11,0.02,-0.04,-0.07,-0.02,-0.01,-0.01,976.66
0.004,-0.09,0.97,-0.11,0.02,-0.04,-0.07,0.00,0.01,-0.04,976.66
0.004,-0.09,0.97,-0.11,0.14,0.05,-0.04,0.00,0.01,-0.04,976.66
0.005,-0.09,0.97,-0.11,0.14,0.05,-0.04,0.00,0.01,-0.04,976.65
0.014,-0.16,1.00,-0.10,0.14,0.05,-0.04,0.00,0.01,-0.04,976.65
0.036,-0.10,1.01,-0.09,0.14,0.05,-0.04,0.00,0.01,-0.04,976.65
0.037,-0.10,1.01,-0.09,0.14,0.05,-0.04,-0.03,0.13,-0.02,976.65
0.037,-0.10,1.01,-0.09,-0.05,-0.05,-0.06,-0.03,0.13,-0.02,976.65
0.053,-0.10,0.99,-0.10,-0.05,-0.05,-0.06,-0.03,0.13,-0.02,976.65
0.062,-0.10,0.99,-0.10,-0.05,-0.05,-0.06,-0.03,0.13,-0.02,976.65
0.073,-0.12,1.00,-0.10,-0.05,-0.05,-0.06,-0.03,0.13,-0.02,976.65
0.073,-0.12,1.00,-0.10,-0.05,-0.05,-0.06,-0.02,0.03,-0.00,976.65
0.074,-0.12,1.00,-0.10,-0.05,-0.04,-0.06,-0.02,0.03,-0.00,976.65
0.093,-0.11,1.00,-0.10,-0.05,-0.04,-0.06,-0.02,0.03,-0.00,976.65
0.113,-0.10,1.00,-0.10,-0.05,-0.04,-0.06,-0.02,0.03,-0.00,976.65
0.115,-0.10,1.00,-0.10,-0.05,-0.04,-0.06,-0.01,0.00,-0.01,976.65
0.116,-0.10,1.00,-0.10,0.03,-0.01,-0.06,-0.01,0.00,-0.01,976.65
0.129,-0.10,1.00,-0.10,0.03,-0.01,-0.06,-0.01,0.00,-0.01,976.65
0.133,-0.11,1.00,-0.10,0.03,-0.01,-0.06,-0.01,0.00,-0.01,976.65
0.153,-0.11,1.00,-0.10,0.03,-0.01,-0.06,-0.01,0.00,-0.01,976.65
0.155,-0.11,1.00,-0.10,0.03,-0.01,-0.06,-0.02,0.02,-0.01,976.65
0.156,-0.11,1.00,-0.10,0.03,-0.02,-0.03,-0.02,0.02,-0.01,976.65
0.174,-0.10,1.00,-0.10,0.03,-0.02,-0.03,-0.02,0.02,-0.01,976.65
0.183,-0.10,1.00,-0.10,0.03,-0.02,-0.03,-0.02,0.02,-0.01,976.64
0.193,-0.10,1.00,-0.10,0.04,-0.02,-0.03,-0.02,0.02,-0.01,976.64
0.194,-0.10,1.00,-0.10,0.04,-0.02,-0.03,-0.02,0.02,-0.01,976.64
0.194,-0.10,1.00,-0.10,0.04,-0.02,-0.03,-0.02,0.01,-0.02,976.64
0.213,-0.11,1.00,-0.10,0.04,-0.02,-0.03,-0.02,0.01,-0.02,976.64
0.236,-0.11,1.00,-0.09,0.04,-0.02,-0.03,-0.02,0.01,-0.02,976.64
0.237,-0.11,1.00,-0.09,0.04,-0.02,-0.03,-0.01,0.01,-0.02,976.64
0.238,-0.11,1.00,-0.09,0.06,-0.00,-0.04,-0.01,0.01,-0.02,976.64
0.242,-0.11,1.00,-0.09,0.06,-0.00,-0.04,-0.01,0.01,-0.02,976.64
0.256,-0.11,1.00,-0.09,0.06,-0.00,-0.04,-0.01,0.01,-0.02,976.64
0.273,-0.12,1.00,-0.09,0.06,-0.00,-0.04,-0.01,0.01,-0.02,976.64
0.274,-0.12,1.00,-0.09,0.06,-0.00,-0.04,-0.01,0.01,-0.02,976.64
0.276,-0.12,1.00,-0.09,-0.03,-0.00,0.00,-0.01,0.01,-0.02,976.64
0.295,-0.11,1.00,-0.10,-0.03,-0.00,0.00,-0.01,0.01,-0.02,976.64
0.302,-0.11,1.00,-0.10,-0.03,-0.00,0.00,-0.01,0.01,-0.02,976.65
0.311,-0.11,1.00,-0.09,-0.03,-0.00,0.00,-0.01,0.01,-0.02,976.65
0.312,-0.11,1.00,-0.09,-0.03,-0.00,0.00,-0.01,0.00,-0.01,976.65
0.312,-0.11,1.00,-0.09,-0.03,-0.00,-0.00,-0.01,0.00,-0.01,976.65
0.331,-0.11,1.00,-0.09,-0.03,-0.00,-0.00,-0.01,0.00,-0.01,976.65
0.371,-0.11,1.00,-0.10,-0.03,-0.00,-0.00,-0.01,0.00,-0.01,976.65
0.372,-0.11,1.00,-0.10,-0.03,-0.00,-0.00,-0.01,-0.00,-0.01,976.65
0.373,-0.11,1.00,-0.10,0.00,-0.01,-0.01,-0.01,-0.00,-0.01,976.65
0.373,-0.11,1.00,-0.10,0.00,-0.01,-0.01,-0.01,-0.00,-0.01,976.65
0.374,-0.11,1.00,-0.10,0.00,-0.01,-0.01,-0.01,-0.00,-0.01,976.65
0.39,-0.11,1.00,-0.10,0.00,-0.01,-0.01,-0.01,-0.00,-0.01,976.65
0.392,-0.11,1.00,-0.10,0.00,-0.01,-0.01,-0.00,-0.00,-0.01,976.65
0.392,-0.11,1.00,-0.10,0.02,-0.01,-0.04,-0.00,-0.00,-0.01,976.65
0.411,-0.10,1.00,-0.10,0.02,-0.01,-0.04,-0.00,-0.00,-0.01,976.65
0.452,-0.10,1.00,-0.10,0.02,-0.01,-0.04,-0.00,-0.00,-0.01,976.65
0.454,-0.11,1.00,-0.10,0.02,-0.01,-0.04,-0.00,-0.00,-0.01,976.65
0.456,-0.11,1.00,-0.10,0.02,-0.01,-0.04,-0.01,0.00,-0.01,976.65
0.458,-0.11,1.00,-0.10,0.02,-0.01,-0.04,-0.01,0.00,-0.01,976.65
0.459,-0.11,1.00,-0.10,0.02,-0.01,-0.04,-0.01,0.00,-0.01,976.65
0.471,-0.11,1.00,-0.10,0.02,-0.01,-0.04,-0.01,0.00,-0.01,976.65
0.472,-0.11,1.00,-0.10,0.02,-0.01,-0.04,-0.01,0.01,-0.01,976.65
0.473,-0.11,1.00,-0.10,0.04,-0.00,-0.03,-0.01,0.01,-0.01,976.65
0.482,-0.11,1.00,-0.10,0.04,-0.00,-0.03,-0.01,0.01,-0.01,976.65
0.489,-0.11,1.00,-0.10,0.04,-0.00,-0.03,-0.01,0.01,-0.01,976.65
0.508,-0.11,1.00,-0.10,0.04,-0.00,-0.03,-0.01,0.01,-0.01,976.65
0.509,-0.11,1.00,-0.10,0.04,-0.00,-0.03,-0.01,0.01,-0.01,976.65
0.51,-0.11,1.00,-0.10,0.02,0.00,-0.03,-0.01,0.01,-0.01,976.65
0.528,-0.12,1.00,-0.10,0.02,0.00,-0.03,-0.01,0.01,-0.01,976.65
0.542,-0.12,1.00,-0.10,0.02,0.00,-0.03,-0.01,0.01,-0.01,976.64
0.548,-0.12,1.00,-0.10,0.02,0.00,-0.03,-0.01,0.01,-0.01,976.64
0.549,-0.12,1.00,-0.10,0.02,0.00,-0.03,-0.01,0.00,-0.01,976.64
