time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.006,-0.02,1.00,-0.09,-0.00,-0.04,-0.04,0.00,0.01,-0.01,976.59
0.007,-0.02,1.00,-0.09,-0.00,-0.04,-0.04,0.00,-0.00,-0.01,976.59
0.007,-0.02,1.00,-0.09,0.00,-0.03,-0.04,0.00,-0.00,-0.01,976.59
0.011,-0.03,1.00,-0.08,0.00,-0.03,-0.04,0.00,-0.00,-0.01,976.59
0.028,-0.01,1.01,-0.09,0.00,-0.03,-0.04,0.00,-0.00,-0.01,976.59
0.029,-0.01,1.01,-0.09,0.00,-0.03,-0.04,-0.00,0.02,-0.02,976.59
0.029,-0.01,1.01,-0.09,0.02,-0.01,-0.04,-0.00,0.02,-0.02,976.59
0.044,-0.01,1.01,-0.09,0.02,-0.01,-0.04,-0.00,0.02,-0.02,976.59
0.048,0.00,1.00,-0.09,0.02,-0.01,-0.04,-0.00,0.02,-0.02,976.59
0.067,-0.04,1.00,-0.09,0.02,-0.01,-0.04,-0.00,0.02,-0.02,976.59
0.069,-0.04,1.00,-0.09,0.02,-0.01,-0.04,-0.02,0.08,-0.04,976.59
0.07,-0.04,1.00,-0.09,0.08,-0.02,-0.06,-0.02,0.08,-0.04,976.59
0.103,-0.06,1.00,-0.09,0.08,-0.02,-0.06,-0.02,0.08,-0.04,976.59
0.105,-0.06,1.00,-0.09,0.08,-0.02,-0.06,-0.02,0.08,-0.04,976.59
0.107,-0.04,1.01,-0.08,0.08,-0.02,-0.06,-0.02,0.08,-0.04,976.59
0.108,-0.04,1.01,-0.08,0.08,-0.02,-0.06,-0.03,0.10,-0.04,976.59
0.108,-0.04,1.01,-0.08,0.09,-0.02,-0.06,-0.03,0.10,-0.04,976.59
0.128,-0.02,1.00,-0.08,0.09,-0.02,-0.06,-0.03,0.10,-0.04,976.59
0.147,-0.02,1.00,-0.08,0.09,-0.02,-0.06,-0.03,0.10,-0.04,976.59
0.149,-0.02,1.00,-0.08,0.09,-0.02,-0.06,-0.02,-0.03,-0.02,976.59
0.15,-0.02,1.00,-0.08,-0.12,0.00,-0.02,-0.02,-0.03,-0.02,976.59
0.165,-0.02,1.00,-0.08,-0.12,0.00,-0.02,-0.02,-0.03,-0.02,976.59
0.168,-0.03,1.00,-0.08,-0.12,0.00,-0.02,-0.02,-0.03,-0.02,976.59
0.194,-0.03,1.00,-0.08,0.00,-0.03,0.03,-0.02,-0.03,-0.02,976.59
0.196,-0.03,1.00,-0.07,0.00,-0.03,0.03,-0.02,-0.03,-0.02,976.59
0.197,-0.03,1.00,-0.07,0.00,-0.03,0.03,-0.02,-0.01,-0.03,976.59
0.219,-0.03,1.00,-0.08,0.00,-0.03,0.03,-0.02,-0.01,-0.03,976.59
0.224,-0.03,1.00,-0.08,0.00,-0.03,0.03,-0.02,-0.01,-0.03,976.60
0.226,-0.03,1.00,-0.07,0.00,-0.03,0.03,-0.02,-0.01,-0.03,976.60
0.227,-0.03,1.00,-0.07,0.00,-0.03,0.03,-0.01,-0.01,-0.03,976.60
0.228,-0.03,1.00,-0.07,0.01,-0.03,0.02,-0.01,-0.01,-0.03,976.60
0.249,-0.04,0.99,-0.08,0.01,-0.03,0.02,-0.01,-0.01,-0.03,976.60
0.267,-0.04,0.99,-0.08,-0.04,-0.03,0.01,-0.01,-0.01,-0.03,976.60
0.268,-0.04,1.01,-0.08,-0.04,-0.03,0.01,-0.01,-0.01,-0.03,976.60
0.269,-0.04,1.01,-0.08,-0.04,-0.03,0.01,-0.01,-0.00,-0.02,976.60
0.297,-0.04,1.01,-0.08,-0.04,-0.03,0.01,-0.01,-0.00,-0.02,976.61
0.298,-0.03,1.00,-0.08,-0.04,-0.03,0.01,-0.01,-0.00,-0.02,976.61
0.317,-0.04,1.00,-0.08,-0.04,-0.03,0.01,-0.01,-0.00,-0.02,976.61
0.318,-0.04,1.00,-0.08,-0.04,-0.03,0.01,-0.01,-0.01,-0.02,976.61
0.318,-0.04,1.00,-0.08,-0.04,0.01,-0.01,-0.01,-0.01,-0.02,976.61
0.325,-0.05,1.00,-0.08,-0.04,0.01,-0.01,-0.01,-0.01,-0.02,976.61
0.347,-0.05,1.00,-0.08,-0.04,0.01,-0.01,-0.01,-0.01,-0.02,976.62
0.348,-0.05,1.00,-0.08,-0.03,0.01,-0.01,-0.01,-0.01,-0.02,976.62
0.348,-0.05,1.01,-0.08,-0.03,0.01,-0.01,-0.01,-0.01,-0.02,976.62
0.349,-0.05,1.01,-0.08,-0.03,0.01,-0.01,-0.00,-0.02,-0.02,976.62
0.367,-0.05,0.99,-0.08,-0.03,0.01,-0.01,-0.00,-0.02,-0.02,976.62
0.399,-0.03,1.00,-0.09,-0.03,0.01,-0.01,-0.00,-0.02,-0.02,976.62
0.401,-0.03,1.00,-0.09,-0.03,0.01,-0.01,0.00,-0.03,0.02,976.62
0.402,-0.03,1.00,-0.09,-0.13,-0.03,-0.04,0.00,-0.03,0.02,976.62
0.424,-0.03,1.00,-0.09,-0.13,-0.03,-0.04,0.00,-0.03,0.02,976.62
0.427,-0.02,1.00,-0.07,-0.13,-0.03,-0.04,0.00,-0.03,0.02,976.62
0.429,-0.05,1.00,-0.07,-0.13,-0.03,-0.04,0.00,-0.03,0.02,976.62
0.43,-0.05,1.00,-0.07,-0.13,-0.03,-0.04,-0.02,0.01,0.04,976.62
0.432,-0.05,1.00,-0.07,-0.01,-0.01,-0.01,-0.02,0.01,0.04,976.62
0.444,-0.06,1.01,-0.10,-0.01,-0.01,-0.01,-0.02,0.01,0.04,976.62
0.467,-0.06,1.01,-0.10,-0.03,-0.01,-0.02,-0.02,0.01,0.04,976.62
0.468,-0.05,0.99,-0.09,-0.03,-0.01,-0.02,-0.02,0.01,0.04,976.62
0.469,-0.05,0.99,-0.09,-0.03,-0.01,-0.02,-0.03,0.02,0.04,976.62
