time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.033,0.13,0.96,0.27,-0.13,-0.10,0.06,0.00,0.03,0.01,1006.35
0.035,0.13,0.96,0.27,-0.13,-0.10,0.06,0.03,0.00,0.00,1006.35
0.037,0.13,0.96,0.27,0.14,-0.00,0.04,0.03,0.00,0.00,1006.35
0.092,0.12,0.95,0.26,0.14,-0.00,0.04,0.03,0.00,0.00,1006.35
0.095,0.12,0.95,0.26,0.14,-0.00,0.04,0.03,-0.00,-0.01,1006.35
0.097,0.12,0.95,0.26,0.09,-0.07,-0.04,0.03,-0.00,-0.01,1006.35
0.187,0.12,0.95,0.27,0.09,-0.07,-0.04,0.03,-0.00,-0.01,1006.35
0.189,0.12,0.95,0.27,0.09,-0.07,-0.04,0.01,-0.00,0.00,1006.35
0.191,0.12,0.95,0.27,0.09,-0.07,-0.04,0.01,-0.00,0.00,1006.36
0.197,0.12,0.95,0.27,0.07,-0.07,0.00,0.01,-0.00,0.00,1006.36
0.232,0.12,0.95,0.27,0.07,-0.07,0.00,0.01,-0.00,0.00,1006.36
0.235,0.12,0.95,0.27,0.07,-0.07,0.00,0.01,0.01,-0.01,1006.36
0.241,0.12,0.95,0.27,0.04,-0.05,0.04,0.01,0.01,-0.01,1006.36
0.275,0.10,0.95,0.26,0.04,-0.05,0.04,0.01,0.01,-0.01,1006.36
0.284,0.10,0.95,0.26,0.04,-0.05,0.04,0.03,-0.07,-0.01,1006.36
0.287,0.10,0.95,0.26,-0.08,-0.09,-0.05,0.03,-0.07,-0.01,1006.36
0.36,0.13,0.96,0.25,-0.08,-0.09,-0.05,0.03,-0.07,-0.01,1006.36
0.363,0.13,0.96,0.25,-0.08,-0.09,-0.05,0.03,-0.23,-0.06,1006.36
0.365,0.13,0.96,0.25,-0.08,-0.09,-0.05,0.03,-0.23,-0.06,1006.35
0.366,0.13,0.96,0.25,0.12,0.01,-0.18,0.03,-0.23,-0.06,1006.35
0.402,0.14,0.94,0.27,0.12,0.01,-0.18,0.03,-0.23,-0.06,1006.35
0.417,0.14,0.94,0.27,0.12,0.01,-0.18,0.02,-0.25,-0.12,1006.35
0.418,0.14,0.94,0.27,0.23,-0.21,0.07,0.02,-0.25,-0.12,1006.35
0.454,0.13,0.92,0.31,0.23,-0.21,0.07,0.02,-0.25,-0.12,1006.35
0.456,0.13,0.92,0.31,0.23,-0.21,0.07,0.08,-0.11,-0.11,1006.35
0.458,0.13,0.92,0.31,0.19,-0.38,0.49,0.08,-0.11,-0.11,1006.35
0.514,0.05,0.92,0.26,0.19,-0.38,0.49,0.08,-0.11,-0.11,1006.35
0.517,0.05,0.92,0.26,0.19,-0.38,0.49,0.25,-0.18,-0.03,1006.35
0.519,0.05,0.92,0.26,0.19,-0.38,0.49,0.25,-0.18,-0.03,1006.35
0.52,0.05,0.92,0.26,-0.51,-0.43,0.12,0.25,-0.18,-0.03,1006.35
0.58,0.08,0.92,0.23,-0.51,-0.43,0.12,0.25,-0.18,-0.03,1006.35
0.585,0.08,0.92,0.23,-0.51,-0.43,0.12,0.25,-0.08,0.06,1006.35
0.587,0.08,0.92,0.23,-0.24,-0.41,-0.07,0.25,-0.08,0.06,1006.35
0.647,0.14,0.97,0.28,-0.24,-0.41,-0.07,0.25,-0.08,0.06,1006.35
