time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.013,-0.02,0.99,-0.04,0.79,-0.45,0.24,0.16,0.30,-0.10,1006.35
0.015,-0.02,0.99,-0.04,0.79,-0.45,0.24,0.04,0.04,0.00,1006.35
0.018,-0.02,0.99,-0.04,-0.67,-0.10,-0.20,0.04,0.04,0.00,1006.35
0.087,0.05,1.00,-0.02,-0.67,-0.10,-0.20,0.04,0.04,0.00,1006.35
0.089,0.05,1.00,-0.02,-0.67,-0.10,-0.20,0.04,-0.01,0.03,1006.35
0.091,0.05,1.00,-0.02,-0.67,-0.10,-0.20,0.04,-0.01,0.03,1006.35
0.095,0.05,1.00,-0.02,-0.00,0.03,0.07,0.04,-0.01,0.03,1006.35
0.109,0.05,1.00,-0.03,-0.00,0.03,0.07,0.04,-0.01,0.03,1006.35
0.114,0.05,1.00,-0.03,-0.00,0.03,0.07,0.02,0.00,0.02,1006.35
0.138,0.05,1.00,-0.03,-0.03,0.04,-0.08,0.02,0.00,0.02,1006.35
0.17,0.07,1.01,-0.02,-0.03,0.04,-0.08,0.02,0.00,0.02,1006.35
0.173,0.07,1.01,-0.02,-0.03,0.04,-0.08,0.02,0.01,0.00,1006.35
0.193,0.07,1.01,-0.02,0.12,0.08,0.01,0.02,0.01,0.00,1006.35
0.25,0.06,1.00,-0.03,0.12,0.08,0.01,0.02,0.01,0.00,1006.35
0.254,0.06,1.00,-0.03,0.12,0.08,0.01,0.02,0.02,-0.01,1006.35
0.262,0.06,1.00,-0.03,0.12,0.08,0.01,0.02,0.02,-0.01,1006.32
0.268,0.06,1.00,-0.03,0.07,0.02,-0.01,0.02,0.02,-0.01,1006.32
0.29,0.04,0.99,-0.01,0.07,0.02,-0.01,0.02,0.02,-0.01,1006.32
0.294,0.04,0.99,-0.01,0.07,0.02,-0.01,0.03,0.01,-0.03,1006.32
0.332,0.04,0.99,-0.01,-0.09,-0.04,0.18,0.03,0.01,-0.03,1006.32
0.354,0.04,1.00,-0.03,-0.09,-0.04,0.18,0.03,0.01,-0.03,1006.32
0.356,0.04,1.00,-0.03,-0.09,-0.04,0.18,0.04,0.00,0.03,1006.32
0.371,0.04,1.00,-0.03,-0.14,0.06,-0.01,0.04,0.00,0.03,1006.32
0.41,0.08,1.01,-0.02,-0.14,0.06,-0.01,0.04,0.00,0.03,1006.32
0.413,0.08,1.01,-0.02,-0.14,0.06,-0.01,0.03,0.02,0.01,1006.32
0.415,0.08,1.01,-0.02,-0.14,0.06,-0.01,0.03,0.02,0.01,1006.31
0.434,0.08,1.01,-0.02,0.24,0.09,0.04,0.03,0.02,0.01,1006.31
0.476,0.07,1.01,-0.03,0.24,0.09,0.04,0.03,0.02,0.01,1006.31
0.481,0.07,1.01,-0.03,0.24,0.09,0.04,0.00,-0.01,-0.08,1006.31
0.493,0.07,1.01,-0.03,0.22,0.08,-0.05,0.00,-0.01,-0.08,1006.31
0.532,0.03,0.99,-0.03,0.22,0.08,-0.05,0.00,-0.01,-0.08,1006.31
0.536,0.03,0.99,-0.03,0.22,0.08,-0.05,-0.02,0.01,-0.11,1006.31
0.566,0.03,0.99,-0.03,-0.15,-0.04,-0.06,-0.02,0.01,-0.11,1006.31
