time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.007,0.14,0.91,0.16,-0.21,0.37,-0.04,-0.01,-0.23,0.03,1006.32
0.009,0.14,0.91,0.16,-0.21,0.37,-0.04,-0.01,-0.03,-0.06,1006.32
0.031,0.14,0.91,0.16,0.34,-0.75,0.57,-0.01,-0.03,-0.06,1006.32
0.071,0.07,0.99,0.06,0.34,-0.75,0.57,-0.01,-0.03,-0.06,1006.32
0.074,0.07,0.99,0.06,0.34,-0.75,0.57,-0.01,-0.14,-0.01,1006.32
0.106,0.07,0.99,0.06,-0.36,0.03,-0.47,-0.01,-0.14,-0.01,1006.32
0.109,0.15,1.01,0.13,-0.36,0.03,-0.47,-0.01,-0.14,-0.01,1006.32
0.11,0.15,1.01,0.13,-0.36,0.03,-0.47,0.00,-0.04,-0.01,1006.32
0.112,0.15,1.01,0.13,-0.36,0.03,-0.47,0.00,-0.04,-0.01,1006.34
0.185,0.15,1.01,0.13,0.38,0.18,0.20,0.00,-0.04,-0.01,1006.34
0.188,0.14,0.99,0.12,0.38,0.18,0.20,0.00,-0.04,-0.01,1006.34
0.19,0.14,0.99,0.12,0.38,0.18,0.20,0.01,0.02,0.00,1006.34
0.223,0.14,0.99,0.12,0.35,-0.01,0.18,0.01,0.02,0.00,1006.34
0.26,0.12,0.98,0.09,0.35,-0.01,0.18,0.01,0.02,0.00,1006.34
0.262,0.12,0.98,0.09,0.35,-0.01,0.18,0.02,0.01,-0.03,1006.34
0.284,0.12,0.98,0.09,0.18,-0.09,-0.12,0.02,0.01,-0.03,1006.34
0.291,0.12,0.99,0.12,0.18,-0.09,-0.12,0.02,0.01,-0.03,1006.34
0.294,0.12,0.99,0.12,0.18,-0.09,-0.12,0.01,-0.07,-0.04,1006.34
0.296,0.12,0.99,0.12,0.18,-0.09,-0.12,0.01,-0.07,-0.04,1006.35
0.339,0.12,0.99,0.12,0.16,-0.03,0.14,0.01,-0.07,-0.04,1006.35
0.35,0.12,0.98,0.11,0.16,-0.03,0.14,0.01,-0.07,-0.04,1006.35
0.352,0.12,0.98,0.11,0.16,-0.03,0.14,0.00,-0.00,-0.06,1006.35
0.4,0.12,0.98,0.11,0.21,-0.05,0.04,0.00,-0.00,-0.06,1006.35
0.413,0.11,0.99,0.11,0.21,-0.05,0.04,0.00,-0.00,-0.06,1006.35
0.416,0.11,0.99,0.11,0.21,-0.05,0.04,-0.00,0.01,-0.05,1006.35
0.454,0.11,0.99,0.11,0.14,-0.03,0.03,-0.00,0.01,-0.05,1006.35
0.47,0.10,0.99,0.11,0.14,-0.03,0.03,-0.00,0.01,-0.05,1006.35
0.472,0.10,0.99,0.11,0.14,-0.03,0.03,-0.02,0.01,-0.00,1006.35
0.473,0.10,0.99,0.11,0.14,-0.03,0.03,-0.02,0.01,-0.00,1006.33
0.512,0.10,0.99,0.11,-0.01,-0.03,0.00,-0.02,0.01,-0.00,1006.33
0.546,0.09,0.98,0.11,-0.01,-0.03,0.00,-0.02,0.01,-0.00,1006.33
0.549,0.09,0.98,0.11,-0.01,-0.03,0.00,-0.02,-0.01,0.07,1006.33
0.572,0.09,0.98,0.11,-0.16,-0.12,0.01,-0.02,-0.01,0.07,1006.33
0.59,0.08,0.99,0.11,-0.16,-0.12,0.01,-0.02,-0.01,0.07,1006.33
0.593,0.08,0.99,0.11,-0.16,-0.12,0.01,0.00,0.06,0.14,1006.33
0.641,0.08,0.99,0.11,-0.27,-0.01,0.03,0.00,0.06,0.14,1006.33
0.653,0.12,1.01,0.10,-0.27,-0.01,0.03,0.00,0.06,0.14,1006.33
0.657,0.12,1.01,0.10,-0.27,-0.01,0.03,-0.04,-0.06,0.19,1006.33
0.662,0.12,1.01,0.10,-0.27,-0.01,0.03,-0.04,-0.06,0.19,1006.32
0.698,0.12,1.01,0.10,-0.09,0.19,-0.15,-0.04,-0.06,0.19,1006.32
0.714,0.27,1.01,0.17,-0.09,0.19,-0.15,-0.04,-0.06,0.19,1006.32
0.719,0.27,1.01,0.17,-0.09,0.19,-0.15,0.05,0.14,0.00,1006.32
0.752,0.27,1.01,0.17,1.43,0.20,0.60,0.05,0.14,0.00,1006.32
0.785,0.33,1.07,0.18,1.43,0.20,0.60,0.05,0.14,0.00,1006.32
0.789,0.33,1.07,0.18,1.43,0.20,0.60,0.17,0.43,-0.44,1006.32
0.82,0.33,1.07,0.18,2.24,0.78,0.72,0.17,0.43,-0.44,1006.32
0.83,0.15,0.94,0.11,2.24,0.78,0.72,0.17,0.43,-0.44,1006.32
0.832,0.15,0.94,0.11,2.24,0.78,0.72,0.29,0.37,-0.71,1006.32
0.833,0.15,0.94,0.11,2.24,0.78,0.72,0.29,0.37,-0.71,1006.29
0.872,0.15,0.94,0.11,0.82,-0.53,0.17,0.29,0.37,-0.71,1006.29
0.892,0.53,0.85,0.10,0.82,-0.53,0.17,0.29,0.37,-0.71,1006.29
0.895,0.53,0.85,0.10,0.82,-0.53,0.17,0.37,0.55,-0.20,1006.29
0.952,0.53,0.85,0.10,4.49,-1.40,0.21,0.37,0.55,-0.20,1006.29
0.96,0.37,0.94,0.18,4.49,-1.40,0.21,0.37,0.55,-0.20,1006.29
0.969,0.37,0.94,0.18,4.49,-1.40,0.21,0.33,1.57,0.31,1006.29
0.994,0.37,0.94,0.18,2.83,-0.50,1.09,0.33,1.57,0.31,1006.29
1.035,0.25,1.01,0.17,2.83,-0.50,1.09,0.33,1.57,0.31,1006.29
1.039,0.25,1.01,0.17,2.83,-0.50,1.09,0.19,1.74,0.47,1006.29
1.041,0.25,1.01,0.17,2.83,-0.50,1.09,0.19,1.74,0.47,1006.28
1.132,0.25,1.01,0.17,1.47,0.19,1.02,0.19,1.74,0.47,1006.28
1.137,0.29,1.00,0.07,1.47,0.19,1.02,0.19,1.74,0.47,1006.28
1.149,0.29,1.00,0.07,1.47,0.19,1.02,0.11,2.07,0.40,1006.28
1.151,0.29,1.00,0.07,1.62,0.11,-0.04,0.11,2.07,0.40,1006.28
1.154,0.25,1.00,-0.02,1.62,0.11,-0.04,0.11,2.07,0.40,1006.28
1.156,0.25,1.00,-0.02,1.62,0.11,-0.04,0.13,2.83,0.26,1006.28
1.197,0.25,1.00,-0.02,1.09,0.11,-1.11,0.13,2.83,0.26,1006.28
1.207,0.16,0.97,-0.12,1.09,0.11,-1.11,0.13,2.83,0.26,1006.28
1.222,0.16,0.97,-0.12,1.09,0.11,-1.11,0.19,3.30,0.21,1006.28
1.224,0.16,0.97,-0.12,1.09,0.11,-1.11,0.19,3.30,0.21,1006.28
1.26,0.16,0.97,-0.12,0.33,-0.16,-2.12,0.19,3.30,0.21,1006.28
1.262,0.07,0.93,-0.20,0.33,-0.16,-2.12,0.19,3.30,0.21,1006.28
1.264,0.07,0.93,-0.20,0.33,-0.16,-2.12,0.30,4.10,-0.11,1006.28
1.293,0.07,0.93,-0.20,-0.28,-0.57,-2.96,0.30,4.10,-0.11,1006.28
1.327,-0.08,0.94,-0.29,-0.28,-0.57,-2.96,0.30,4.10,-0.11,1006.28
1.33,-0.08,0.94,-0.29,-0.28,-0.57,-2.96,0.43,4.80,-0.46,1006.28
1.355,-0.08,0.94,-0.29,-1.26,-0.55,-3.62,0.43,4.80,-0.46,1006.28
1.377,-0.21,0.96,-0.34,-1.26,-0.55,-3.62,0.43,4.80,-0.46,1006.28
1.384,-0.21,0.96,-0.34,-1.26,-0.55,-3.62,0.55,4.24,-0.51,1006.28
1.394,-0.21,0.96,-0.34,-1.26,-0.55,-3.62,0.55,4.24,-0.51,1006.29
1.413,-0.21,0.96,-0.34,-1.99,-0.35,-3.77,0.55,4.24,-0.51,1006.29
1.453,-0.51,1.10,-0.38,-1.99,-0.35,-3.77,0.55,4.24,-0.51,1006.29
1.455,-0.51,1.10,-0.38,-1.99,-0.35,-3.77,0.38,3.51,-0.57,1006.29
1.493,-0.51,1.10,-0.38,-4.42,0.96,-3.68,0.38,3.51,-0.57,1006.29
1.496,-0.48,1.00,-0.33,-4.42,0.96,-3.68,0.38,3.51,-0.57,1006.29
1.498,-0.48,1.00,-0.33,-4.42,0.96,-3.68,0.55,-0.06,0.79,1006.29
1.545,-0.48,1.00,-0.33,-4.27,0.01,-2.77,0.55,-0.06,0.79,1006.29
1.55,0.34,0.90,0.23,-4.27,0.01,-2.77,0.55,-0.06,0.79,1006.29
1.557,0.34,0.90,0.23,-4.27,0.01,-2.77,0.55,-0.60,0.81,1006.29
1.56,0.34,0.90,0.23,-4.27,0.01,-2.77,0.55,-0.60,0.81,1006.28
1.596,0.34,0.90,0.23,2.84,-0.91,3.33,0.55,-0.60,0.81,1006.28
1.613,0.04,1.08,-0.35,2.84,-0.91,3.33,0.55,-0.60,0.81,1006.28
1.616,0.04,1.08,-0.35,2.84,-0.91,3.33,0.81,-0.08,0.57,1006.28
1.657,0.04,1.08,-0.35,-0.35,0.95,-1.93,0.81,-0.08,0.57,1006.28
1.67,0.25,1.05,-0.26,-0.35,0.95,-1.93,0.81,-0.08,0.57,1006.28
1.672,0.25,1.05,-0.26,-0.35,0.95,-1.93,0.60,0.39,0.31,1006.28
1.738,0.25,1.05,-0.26,1.43,0.65,-0.78,0.60,0.39,0.31,1006.28
1.741,0.07,0.95,-0.34,1.43,0.65,-0.78,0.60,0.39,0.31,1006.28
1.743,0.07,0.95,-0.34,1.43,0.65,-0.78,0.35,0.07,0.35,1006.28
1.749,0.07,0.95,-0.34,1.43,0.65,-0.78,0.35,0.07,0.35,1006.30
1.786,0.07,0.95,-0.34,-0.44,-0.21,-1.34,0.35,0.07,0.35,1006.30
1.793,0.10,0.97,-0.24,-0.44,-0.21,-1.34,0.35,0.07,0.35,1006.30
1.798,0.10,0.97,-0.24,-0.44,-0.21,-1.34,0.18,0.20,0.22,1006.30
1.835,0.10,0.97,-0.24,-0.26,-0.03,-0.33,0.18,0.20,0.22,1006.30
1.876,0.03,0.98,-0.25,-0.26,-0.03,-0.33,0.18,0.20,0.22,1006.30
1.879,0.03,0.98,-0.25,-0.26,-0.03,-0.33,0.19,0.08,0.38,1006.30
1.893,0.03,0.98,-0.25,-1.16,0.14,-0.28,0.19,0.08,0.38,1006.30
1.924,0.11,0.93,-0.30,-1.16,0.14,-0.28,0.19,0.08,0.38,1006.30
1.937,0.11,0.93,-0.30,-1.16,0.14,-0.28,0.15,0.10,0.58,1006.30
1.94,0.11,0.93,-0.30,-1.16,0.14,-0.28,0.15,0.10,0.58,1006.31
1.964,0.11,0.93,-0.30,-0.65,-0.24,-0.65,0.15,0.10,0.58,1006.31
1.973,0.15,0.96,-0.22,-0.65,-0.24,-0.65,0.15,0.10,0.58,1006.31
1.976,0.15,0.96,-0.22,-0.65,-0.24,-0.65,0.14,0.16,0.59,1006.31
2.031,0.15,0.96,-0.22,-0.52,0.05,0.15,0.14,0.16,0.59,1006.31
2.033,0.31,0.97,-0.21,-0.52,0.05,0.15,0.14,0.16,0.59,1006.31
2.038,0.31,0.97,-0.21,-0.52,0.05,0.15,0.17,0.19,0.55,1006.31
2.076,0.31,0.97,-0.21,0.36,0.39,0.32,0.17,0.19,0.55,1006.31
2.091,0.19,0.97,-0.25,0.36,0.39,0.32,0.17,0.19,0.55,1006.31
2.095,0.19,0.97,-0.25,0.36,0.39,0.32,0.21,0.53,0.64,1006.31
2.097,0.19,0.97,-0.25,0.36,0.39,0.32,0.21,0.53,0.64,1006.33
2.133,0.19,0.97,-0.25,-1.11,0.46,0.00,0.21,0.53,0.64,1006.33
2.172,0.27,0.93,-0.31,-1.11,0.46,0.00,0.21,0.53,0.64,1006.33
2.175,0.27,0.93,-0.31,-1.11,0.46,0.00,0.13,0.45,0.79,1006.33
2.195,0.27,0.93,-0.31,-0.83,0.24,-0.67,0.13,0.45,0.79,1006.33
2.214,0.33,0.99,-0.33,-0.83,0.24,-0.67,0.13,0.45,0.79,1006.33
2.217,0.33,0.99,-0.33,-0.83,0.24,-0.67,-0.04,0.38,0.97,1006.33
2.279,0.33,0.99,-0.33,-0.73,1.01,-0.95,-0.04,0.38,0.97,1006.33
2.283,0.40,1.05,-0.20,-0.73,1.01,-0.95,-0.04,0.38,0.97,1006.33
2.285,0.40,1.05,-0.20,-0.73,1.01,-0.95,-0.12,0.60,0.96,1006.33
2.287,0.40,1.05,-0.20,-0.73,1.01,-0.95,-0.12,0.60,0.96,1006.34
2.327,0.40,1.05,-0.20,-0.44,1.73,0.14,-0.12,0.60,0.96,1006.34
2.332,0.25,1.32,-0.19,-0.44,1.73,0.14,-0.12,0.60,0.96,1006.34
2.334,0.25,1.32,-0.19,-0.44,1.73,0.14,-0.38,0.49,1.56,1006.34
2.385,0.25,1.32,-0.19,-2.50,4.68,-0.08,-0.38,0.49,1.56,1006.34
2.395,0.15,1.30,-0.07,-2.50,4.68,-0.08,-0.38,0.49,1.56,1006.34
2.401,0.15,1.30,-0.07,-2.50,4.68,-0.08,-0.68,0.15,2.34,1006.34
2.464,0.15,1.30,-0.07,-4.25,4.87,0.75,-0.68,0.15,2.34,1006.34
2.471,0.20,1.02,-0.16,-4.25,4.87,0.75,-0.68,0.15,2.34,1006.34
2.477,0.20,1.02,-0.16,-4.25,4.87,0.75,-0.72,-1.59,2.77,1006.34
2.482,0.20,1.02,-0.16,-4.25,4.87,0.75,-0.72,-1.59,2.77,1006.34
2.515,0.20,1.02,-0.16,-4.59,2.84,-0.08,-0.72,-1.59,2.77,1006.34
2.518,0.38,0.84,-0.19,-4.59,2.84,-0.08,-0.72,-1.59,2.77,1006.34
2.521,0.38,0.84,-0.19,-4.59,2.84,-0.08,-0.61,-0.76,1.24,1006.34
2.566,0.38,0.84,-0.19,-3.65,2.02,-0.01,-0.61,-0.76,1.24,1006.34
2.571,0.23,0.79,-0.30,-3.65,2.02,-0.01,-0.61,-0.76,1.24,1006.34
2.573,0.23,0.79,-0.30,-3.65,2.02,-0.01,-0.69,-0.02,-0.64,1006.34
2.633,0.23,0.79,-0.30,-4.69,0.98,-1.26,-0.69,-0.02,-0.64,1006.34
2.637,0.29,0.73,-0.30,-4.69,0.98,-1.26,-0.69,-0.02,-0.64,1006.34
2.64,0.29,0.73,-0.30,-4.69,0.98,-1.26,-0.84,-0.50,-2.08,1006.34
2.643,0.29,0.73,-0.30,-4.69,0.98,-1.26,-0.84,-0.50,-2.08,1006.34
2.691,0.29,0.73,-0.30,-3.19,-0.43,-1.38,-0.84,-0.50,-2.08,1006.34
2.696,0.44,0.89,-0.39,-3.19,-0.43,-1.38,-0.84,-0.50,-2.08,1006.34
2.698,0.44,0.89,-0.39,-3.19,-0.43,-1.38,-0.86,-0.60,-3.25,1006.34
2.734,0.44,0.89,-0.39,-0.20,0.12,-2.41,-0.86,-0.60,-3.25,1006.34
2.776,0.53,1.00,-0.46,-0.20,0.12,-2.41,-0.86,-0.60,-3.25,1006.34
2.778,0.53,1.00,-0.46,-0.20,0.12,-2.41,-0.62,-0.75,-3.70,1006.34
2.796,0.53,1.00,-0.46,2.47,0.51,-3.13,-0.62,-0.75,-3.70,1006.34
2.812,0.66,0.97,-0.28,2.47,0.51,-3.13,-0.62,-0.75,-3.70,1006.34
2.815,0.66,0.97,-0.28,2.47,0.51,-3.13,-0.40,-0.82,-3.58,1006.34
2.817,0.66,0.97,-0.28,2.47,0.51,-3.13,-0.40,-0.82,-3.58,1006.32
2.855,0.66,0.97,-0.28,5.41,-0.18,-1.50,-0.40,-0.82,-3.58,1006.32
2.888,0.41,1.04,-0.25,5.41,-0.18,-1.50,-0.40,-0.82,-3.58,1006.32
2.892,0.41,1.04,-0.25,5.41,-0.18,-1.50,0.20,0.05,-3.45,1006.32
2.939,0.41,1.04,-0.25,4.78,0.46,-1.18,0.20,0.05,-3.45,1006.32
2.948,0.34,1.03,-0.12,4.78,0.46,-1.18,0.20,0.05,-3.45,1006.32
2.95,0.34,1.03,-0.12,4.78,0.46,-1.18,0.35,-0.84,-1.76,1006.32
2.977,0.34,1.03,-0.12,5.80,0.71,0.25,0.35,-0.84,-1.76,1006.32
2.992,0.39,0.90,-0.09,5.80,0.71,0.25,0.35,-0.84,-1.76,1006.32
2.995,0.39,0.90,-0.09,5.80,0.71,0.25,0.18,-1.36,0.50,1006.32
2.999,0.39,0.90,-0.09,5.80,0.71,0.25,0.18,-1.36,0.50,1006.29
3.036,0.39,0.90,-0.09,5.65,-0.68,0.58,0.18,-1.36,0.50,1006.29
3.081,0.77,1.69,-0.22,5.65,-0.68,0.58,0.18,-1.36,0.50,1006.29
3.083,0.77,1.69,-0.22,5.65,-0.68,0.58,-0.12,0.43,2.03,1006.29
3.095,0.77,1.69,-0.22,8.26,6.86,-0.60,-0.12,0.43,2.03,1006.29
3.113,-0.03,0.40,-0.24,8.26,6.86,-0.60,-0.12,0.43,2.03,1006.29
3.116,-0.03,0.40,-0.24,8.26,6.86,-0.60,0.67,0.63,0.74,1006.29
3.155,-0.03,0.40,-0.24,-0.24,-5.69,-0.46,0.67,0.63,0.74,1006.29
3.213,0.25,1.21,-0.33,-0.24,-5.69,-0.46,0.67,0.63,0.74,1006.29
3.219,0.25,1.21,-0.33,-0.24,-5.69,-0.46,0.39,0.04,0.84,1006.29
3.221,0.25,1.21,-0.33,-0.24,-5.69,-0.46,0.39,0.04,0.84,1006.28
3.225,0.25,1.21,-0.33,1.98,2.33,-1.12,0.39,0.04,0.84,1006.28
3.235,0.06,1.02,-0.25,1.98,2.33,-1.12,0.39,0.04,0.84,1006.28
3.237,0.06,1.02,-0.25,1.98,2.33,-1.12,0.31,0.22,0.64,1006.28
3.276,0.06,1.02,-0.25,-0.27,0.47,-0.16,0.31,0.22,0.64,1006.28
3.317,0.12,0.95,-0.26,-0.27,0.47,-0.16,0.31,0.22,0.64,1006.28
3.32,0.12,0.95,-0.26,-0.27,0.47,-0.16,0.18,0.55,0.55,1006.28
3.336,0.12,0.95,-0.26,0.01,-0.11,-0.12,0.18,0.55,0.55,1006.28
3.368,0.15,0.95,-0.33,0.01,-0.11,-0.12,0.18,0.55,0.55,1006.28
3.382,0.15,0.95,-0.33,0.01,-0.11,-0.12,0.05,0.39,0.54,1006.28
3.384,0.15,0.95,-0.33,0.01,-0.11,-0.12,0.05,0.39,0.54,1006.28
3.416,0.15,0.95,-0.33,-0.05,-0.04,-0.76,0.05,0.39,0.54,1006.28
3.421,0.24,0.98,-0.22,-0.05,-0.04,-0.76,0.05,0.39,0.54,1006.28
3.423,0.24,0.98,-0.22,-0.05,-0.04,-0.76,0.06,0.64,0.37,1006.28
3.471,0.24,0.98,-0.22,0.19,0.33,0.19,0.06,0.64,0.37,1006.28
3.474,0.10,0.96,-0.21,0.19,0.33,0.19,0.06,0.64,0.37,1006.28
3.476,0.10,0.96,-0.21,0.19,0.33,0.19,0.06,0.11,0.61,1006.28
3.52,0.10,0.96,-0.21,-1.45,0.24,0.30,0.06,0.11,0.61,1006.28
