time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.047,0.13,0.96,0.11,-0.55,-0.10,-0.31,0.05,0.05,-0.06,1006.34
0.049,0.19,0.98,0.14,-0.55,-0.10,-0.31,0.05,0.05,-0.06,1006.34
0.051,0.19,0.98,0.14,-0.55,-0.10,-0.31,0.03,-0.01,-0.01,1006.34
0.09,0.19,0.98,0.14,0.00,0.11,0.06,0.03,-0.01,-0.01,1006.34
0.093,0.17,0.98,0.13,0.00,0.11,0.06,0.03,-0.01,-0.01,1006.34
0.096,0.17,0.98,0.13,0.00,0.11,0.06,-0.00,-0.03,0.02,1006.34
0.098,0.17,0.98,0.13,0.00,0.11,0.06,-0.00,-0.03,0.02,1006.32
0.179,0.17,0.98,0.13,-0.17,0.02,-0.06,-0.00,-0.03,0.02,1006.32
0.181,0.20,0.96,0.14,-0.17,0.02,-0.06,-0.00,-0.03,0.02,1006.32
0.183,0.20,0.96,0.14,-0.17,0.02,-0.06,-0.01,0.04,0.01,1006.32
0.193,0.20,0.96,0.14,0.11,-0.11,0.00,-0.01,0.04,0.01,1006.32
0.235,0.22,0.98,0.12,0.11,-0.11,0.00,-0.01,0.04,0.01,1006.32
0.238,0.22,0.98,0.12,0.11,-0.11,0.00,0.01,0.04,-0.05,1006.32
0.291,0.22,0.98,0.12,0.29,0.07,-0.12,0.01,0.04,-0.05,1006.32
0.294,0.18,0.98,0.12,0.29,0.07,-0.12,0.01,0.04,-0.05,1006.32
0.297,0.18,0.98,0.12,0.29,0.07,-0.12,-0.04,0.02,-0.06,1006.32
0.299,0.18,0.98,0.12,0.29,0.07,-0.12,-0.04,0.02,-0.06,1006.31
0.324,0.18,0.98,0.12,-0.03,0.01,-0.23,-0.04,0.02,-0.06,1006.31
0.328,0.18,0.97,0.14,-0.03,0.01,-0.23,-0.04,0.02,-0.06,1006.31
0.33,0.18,0.97,0.14,-0.03,0.01,-0.23,-0.03,0.07,-0.08,1006.31
0.381,0.18,0.97,0.14,0.04,-0.05,-0.02,-0.03,0.07,-0.08,1006.31
0.394,0.18,0.99,0.15,0.04,-0.05,-0.02,-0.03,0.07,-0.08,1006.31
0.397,0.18,0.99,0.15,0.04,-0.05,-0.02,-0.01,0.14,-0.10,1006.31
