time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.059,0.21,0.99,0.03,0.23,-0.07,-0.01,0.02,0.04,-0.03,973.66
0.063,0.21,0.99,0.03,0.23,-0.07,-0.01,0.02,0.01,-0.03,973.66
0.069,0.21,0.99,0.03,0.23,-0.07,-0.01,0.02,0.01,-0.03,973.67
0.072,0.21,0.99,0.03,0.18,0.06,-0.08,0.02,0.01,-0.03,973.67
0.107,0.18,0.98,0.04,0.18,0.06,-0.08,0.02,0.01,-0.03,973.67
0.109,0.18,0.98,0.04,0.18,0.06,-0.08,0.01,0.03,-0.03,973.67
0.112,0.18,0.98,0.04,-0.15,0.01,-0.00,0.01,0.03,-0.03,973.67
0.219,0.16,0.96,0.05,-0.15,0.01,-0.00,0.01,0.03,-0.03,973.67
0.224,0.16,0.96,0.05,-0.15,0.01,-0.00,0.03,-0.01,-0.01,973.67
0.227,0.16,0.96,0.05,-0.29,-0.18,0.09,0.03,-0.01,-0.01,973.67
0.229,0.19,0.98,0.04,-0.29,-0.18,0.09,0.03,-0.01,-0.01,973.67
0.231,0.19,0.98,0.04,-0.29,-0.18,0.09,0.02,0.03,-0.05,973.67
0.233,0.19,0.98,0.04,-0.29,-0.18,0.09,0.02,0.03,-0.05,973.65
0.235,0.19,0.98,0.04,0.01,0.01,0.01,0.02,0.03,-0.05,973.65
0.28,0.19,0.99,0.02,0.01,0.01,0.01,0.02,0.03,-0.05,973.65
0.283,0.19,0.99,0.02,0.01,0.01,0.01,0.01,-0.00,-0.04,973.65
0.285,0.19,0.99,0.02,-0.00,0.11,-0.10,0.01,-0.00,-0.04,973.65
0.346,0.18,1.00,0.01,-0.00,0.11,-0.10,0.01,-0.00,-0.04,973.65
0.349,0.18,1.00,0.01,-0.00,0.11,-0.10,-0.03,-0.03,-0.09,973.65
0.351,0.18,1.00,0.01,-0.05,0.15,-0.25,-0.03,-0.03,-0.09,973.65
0.409,0.17,0.99,0.04,-0.05,0.15,-0.25,-0.03,-0.03,-0.09,973.65
0.415,0.17,0.99,0.04,-0.05,0.15,-0.25,-0.04,0.02,-0.08,973.65
0.418,0.17,0.99,0.04,-0.05,0.15,-0.25,-0.04,0.02,-0.08,973.64
0.422,0.17,0.99,0.04,-0.05,0.02,0.07,-0.04,0.02,-0.08,973.64
0.479,0.18,0.98,0.06,-0.05,0.02,0.07,-0.04,0.02,-0.08,973.64
0.485,0.18,0.98,0.06,-0.05,0.02,0.07,0.00,0.02,-0.10,973.64
0.488,0.18,0.98,0.06,0.05,-0.07,0.19,0.00,0.02,-0.10,973.64
0.538,0.20,1.00,0.04,0.05,-0.07,0.19,0.00,0.02,-0.10,973.64
0.541,0.20,1.00,0.04,0.05,-0.07,0.19,0.02,-0.03,-0.12,973.64
0.543,0.20,1.00,0.04,0.29,0.11,-0.04,0.02,-0.03,-0.12,973.64
0.587,0.20,0.99,0.06,0.29,0.11,-0.04,0.02,-0.03,-0.12,973.64
0.591,0.20,0.99,0.06,0.29,0.11,-0.04,0.00,-0.01,-0.17,973.64
0.594,0.20,0.99,0.06,0.29,0.11,-0.04,0.00,-0.01,-0.17,973.61
0.596,0.20,0.99,0.06,0.32,0.08,0.15,0.00,-0.01,-0.17,973.61
0.638,0.19,1.00,0.04,0.32,0.08,0.15,0.00,-0.01,-0.17,973.61
0.641,0.19,1.00,0.04,0.32,0.08,0.15,0.01,0.01,-0.31,973.61
0.643,0.19,1.00,0.04,0.29,0.18,-0.03,0.01,0.01,-0.31,973.61
0.729,0.16,1.00,-0.00,0.29,0.18,-0.03,0.01,0.01,-0.31,973.61
