time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.005,0.11,0.98,-0.14,-0.85,-0.41,-0.40,0.04,-0.39,-0.02,973.53
0.008,0.11,0.98,-0.14,-0.85,-0.41,-0.40,0.06,-0.00,0.03,973.53
0.009,0.11,0.98,-0.14,-0.85,-0.41,-0.40,0.06,-0.00,0.03,973.54
0.033,0.11,0.98,-0.14,-0.26,-0.00,-0.09,0.06,-0.00,0.03,973.54
0.037,0.15,0.99,-0.14,-0.26,-0.00,-0.09,0.06,-0.00,0.03,973.54
0.043,0.15,0.99,-0.14,-0.26,-0.00,-0.09,0.03,-0.04,0.03,973.54
0.102,0.15,0.99,-0.14,0.09,0.05,-0.08,0.03,-0.04,0.03,973.54
0.105,0.13,0.98,-0.14,0.09,0.05,-0.08,0.03,-0.04,0.03,973.54
0.107,0.13,0.98,-0.14,0.09,0.05,-0.08,0.03,-0.02,0.01,973.54
0.162,0.13,0.98,-0.14,-0.09,0.02,-0.13,0.03,-0.02,0.01,973.54
0.168,0.14,0.99,-0.14,-0.09,0.02,-0.13,0.03,-0.02,0.01,973.54
0.169,0.14,0.99,-0.14,-0.09,0.02,-0.13,0.04,-0.02,0.01,973.54
0.172,0.14,0.99,-0.14,-0.09,0.02,-0.13,0.04,-0.02,0.01,973.53
0.212,0.14,0.99,-0.14,-0.05,0.10,-0.04,0.04,-0.02,0.01,973.53
0.226,0.13,0.99,-0.14,-0.05,0.10,-0.04,0.04,-0.02,0.01,973.53
0.228,0.13,0.99,-0.14,-0.05,0.10,-0.04,0.05,-0.00,0.01,973.53
0.263,0.13,0.99,-0.14,-0.12,0.06,-0.02,0.05,-0.00,0.01,973.53
0.303,0.14,0.99,-0.13,-0.12,0.06,-0.02,0.05,-0.00,0.01,973.53
0.306,0.14,0.99,-0.13,-0.12,0.06,-0.02,0.06,-0.01,0.01,973.53
0.332,0.14,0.99,-0.13,0.01,0.04,0.04,0.06,-0.01,0.01,973.53
0.338,0.14,0.99,-0.14,0.01,0.04,0.04,0.06,-0.01,0.01,973.53
0.34,0.14,0.99,-0.14,0.01,0.04,0.04,0.06,-0.02,0.01,973.53
0.342,0.14,0.99,-0.14,0.01,0.04,0.04,0.06,-0.02,0.01,973.55
