time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.035,0.12,0.99,0.11,-0.10,-0.35,-0.18,-0.02,0.10,0.06,1006.32
0.037,0.12,0.99,0.11,-0.10,-0.35,-0.18,-0.01,-0.10,0.04,1006.32
0.039,0.12,0.99,0.11,0.24,0.03,0.11,-0.01,-0.10,0.04,1006.32
0.078,0.10,1.01,0.05,0.24,0.03,0.11,-0.01,-0.10,0.04,1006.32
0.088,0.10,1.01,0.05,0.24,0.03,0.11,0.03,-0.02,0.01,1006.32
0.093,0.10,1.01,0.05,0.05,0.20,-0.41,0.03,-0.02,0.01,1006.32
0.136,0.09,0.99,0.08,0.05,0.20,-0.41,0.03,-0.02,0.01,1006.32
0.138,0.09,0.99,0.08,0.05,0.20,-0.41,0.04,0.09,0.03,1006.32
0.139,0.09,0.99,0.08,0.05,0.20,-0.41,0.04,0.09,0.03,1006.32
0.164,0.09,0.99,0.08,-0.04,-0.05,-0.01,0.04,0.09,0.03,1006.32
0.193,0.08,0.99,0.09,-0.04,-0.05,-0.01,0.04,0.09,0.03,1006.32
0.196,0.08,0.99,0.09,-0.04,-0.05,-0.01,0.03,0.08,0.04,1006.32
0.239,0.08,0.99,0.09,-0.07,-0.05,0.10,0.03,0.08,0.04,1006.32
0.253,0.13,0.98,0.08,-0.07,-0.05,0.10,0.03,0.08,0.04,1006.32
0.255,0.13,0.98,0.08,-0.07,-0.05,0.10,0.04,-0.06,-0.04,1006.32
0.297,0.13,0.98,0.08,0.27,-0.09,-0.22,0.04,-0.06,-0.04,1006.32
0.345,0.31,1.04,0.13,0.27,-0.09,-0.22,0.04,-0.06,-0.04,1006.32
0.349,0.31,1.04,0.13,0.27,-0.09,-0.22,0.01,0.49,-0.20,1006.32
0.351,0.31,1.04,0.13,0.27,-0.09,-0.22,0.01,0.49,-0.20,1006.34
0.353,0.31,1.04,0.13,1.62,0.57,0.21,0.01,0.49,-0.20,1006.34
0.387,0.07,0.99,0.09,1.62,0.57,0.21,0.01,0.49,-0.20,1006.34
0.389,0.07,0.99,0.09,1.62,0.57,0.21,0.12,0.50,-0.14,1006.34
