time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.013,-0.10,0.95,0.22,-0.16,-0.14,0.06,0.03,-0.27,-0.01,1006.32
0.015,-0.10,0.95,0.22,-0.16,-0.14,0.06,-0.02,-0.04,0.02,1006.32
0.043,-0.10,0.95,0.22,-0.39,-0.18,-0.11,-0.02,-0.04,0.02,1006.32
0.075,-0.06,0.96,0.24,-0.39,-0.18,-0.11,-0.02,-0.04,0.02,1006.32
0.078,-0.06,0.96,0.24,-0.39,-0.18,-0.11,0.01,-0.07,-0.02,1006.32
0.079,-0.06,0.96,0.24,-0.39,-0.18,-0.11,0.01,-0.07,-0.02,1006.32
0.095,-0.06,0.96,0.24,0.05,-0.07,0.02,0.01,-0.07,-0.02,1006.32
0.132,-0.06,0.97,0.24,0.05,-0.07,0.02,0.01,-0.07,-0.02,1006.32
0.137,-0.06,0.97,0.24,0.05,-0.07,0.02,0.01,-0.02,0.00,1006.32
0.158,-0.06,0.97,0.24,-0.01,-0.05,0.06,0.01,-0.02,0.00,1006.32
0.192,-0.06,0.96,0.24,-0.01,-0.05,0.06,0.01,-0.02,0.00,1006.32
0.195,-0.06,0.96,0.24,-0.01,-0.05,0.06,0.01,0.02,-0.01,1006.32
0.215,-0.06,0.96,0.24,0.00,-0.13,-0.01,0.01,0.02,-0.01,1006.32
0.265,-0.08,0.95,0.25,0.00,-0.13,-0.01,0.01,0.02,-0.01,1006.32
0.27,-0.08,0.95,0.25,0.00,-0.13,-0.01,0.02,0.04,0.00,1006.32
0.272,-0.08,0.95,0.25,0.00,-0.13,-0.01,0.02,0.04,0.00,1006.34
0.275,-0.08,0.95,0.25,-0.15,-0.16,0.13,0.02,0.04,0.00,1006.34
0.317,-0.08,0.96,0.23,-0.15,-0.16,0.13,0.02,0.04,0.00,1006.34
0.319,-0.08,0.96,0.23,-0.15,-0.16,0.13,0.03,-0.02,0.03,1006.34
0.348,-0.08,0.96,0.23,-0.11,-0.11,-0.07,0.03,-0.02,0.03,1006.34
0.373,-0.06,0.96,0.25,-0.11,-0.11,-0.07,0.03,-0.02,0.03,1006.34
0.375,-0.06,0.96,0.25,-0.11,-0.11,-0.07,0.04,-0.06,0.02,1006.34
0.397,-0.06,0.96,0.25,0.01,-0.14,0.15,0.04,-0.06,0.02,1006.34
0.439,-0.07,0.94,0.25,0.01,-0.14,0.15,0.04,-0.06,0.02,1006.34
0.449,-0.07,0.94,0.25,0.01,-0.14,0.15,0.03,-0.02,-0.00,1006.34
0.451,-0.07,0.94,0.25,0.01,-0.14,0.15,0.03,-0.02,-0.00,1006.34
0.456,-0.07,0.94,0.25,-0.12,-0.30,0.15,0.03,-0.02,-0.00,1006.34
0.497,-0.06,0.96,0.22,-0.12,-0.30,0.15,0.03,-0.02,-0.00,1006.34
0.5,-0.06,0.96,0.22,-0.12,-0.30,0.15,0.05,-0.03,-0.04,1006.34
0.516,-0.06,0.96,0.22,-0.01,-0.13,-0.11,0.05,-0.03,-0.04,1006.34
0.552,-0.02,0.97,0.22,-0.01,-0.13,-0.11,0.05,-0.03,-0.04,1006.34
0.556,-0.02,0.97,0.22,-0.01,-0.13,-0.11,0.09,0.50,-0.17,1006.34
0.583,-0.02,0.97,0.22,0.45,0.01,-0.04,0.09,0.50,-0.17,1006.34
0.619,-0.03,0.99,0.13,0.45,0.01,-0.04,0.09,0.50,-0.17,1006.34
0.624,-0.03,0.99,0.13,0.45,0.01,-0.04,0.18,-0.34,-0.22,1006.34
0.626,-0.03,0.99,0.13,0.45,0.01,-0.04,0.18,-0.34,-0.22,1006.35
0.658,-0.03,0.99,0.13,0.49,0.20,-0.80,0.18,-0.34,-0.22,1006.35
0.673,-0.09,0.95,0.20,0.49,0.20,-0.80,0.18,-0.34,-0.22,1006.35
0.676,-0.09,0.95,0.20,0.49,0.20,-0.80,0.26,-0.28,-0.34,1006.35
0.695,-0.09,0.95,0.20,-0.02,-0.23,-0.03,0.26,-0.28,-0.34,1006.35
0.741,0.18,1.01,0.13,-0.02,-0.23,-0.03,0.26,-0.28,-0.34,1006.35
0.759,0.18,1.01,0.13,-0.02,-0.23,-0.03,0.36,-0.04,0.09,1006.35
0.762,0.18,1.01,0.13,2.69,0.32,-0.66,0.36,-0.04,0.09,1006.35
0.793,0.04,0.99,0.12,2.69,0.32,-0.66,0.36,-0.04,0.09,1006.35
0.797,0.04,0.99,0.12,2.69,0.32,-0.66,0.33,-0.01,0.35,1006.35
0.799,0.04,0.99,0.12,2.69,0.32,-0.66,0.33,-0.01,0.35,1006.33
0.818,0.04,0.99,0.12,0.99,-0.01,-0.38,0.33,-0.01,0.35,1006.33
0.854,0.11,0.98,0.16,0.99,-0.01,-0.38,0.33,-0.01,0.35,1006.33
0.857,0.11,0.98,0.16,0.99,-0.01,-0.38,0.29,-0.59,0.63,1006.33
0.876,0.11,0.98,0.16,1.28,-0.12,0.19,0.29,-0.59,0.63,1006.33
0.925,0.24,1.06,0.10,1.28,-0.12,0.19,0.29,-0.59,0.63,1006.33
0.929,0.24,1.06,0.10,1.28,-0.12,0.19,0.37,-0.31,0.68,1006.33
0.935,0.24,1.06,0.10,2.10,0.67,-0.22,0.37,-0.31,0.68,1006.33
0.973,0.29,1.02,0.10,2.10,0.67,-0.22,0.37,-0.31,0.68,1006.33
0.976,0.29,1.02,0.10,2.10,0.67,-0.22,0.35,0.32,0.71,1006.33
0.978,0.29,1.02,0.10,2.10,0.67,-0.22,0.35,0.32,0.71,1006.33
0.995,0.29,1.02,0.10,2.15,0.26,-0.08,0.35,0.32,0.71,1006.33
