time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,0.22,0.98,-0.09,-0.01,0.04,0.02,0.02,-0.04,0.04,976.62
0.006,0.22,0.98,-0.09,-0.01,0.04,0.02,0.03,-0.07,0.03,976.62
0.007,0.22,0.98,-0.09,-0.25,-0.09,0.01,0.03,-0.07,0.03,976.62
0.014,0.23,1.01,-0.08,-0.25,-0.09,0.01,0.03,-0.07,0.03,976.62
0.028,0.15,0.97,-0.08,-0.25,-0.09,0.01,0.03,-0.07,0.03,976.62
0.029,0.15,0.97,-0.08,-0.25,-0.09,0.01,0.02,0.05,0.01,976.62
0.029,0.15,0.97,-0.08,-0.26,-0.09,0.02,0.02,0.05,0.01,976.62
0.032,0.15,0.97,-0.08,-0.26,-0.09,0.02,0.02,0.05,0.01,976.63
0.048,0.16,0.95,-0.09,-0.26,-0.09,0.02,0.02,0.05,0.01,976.63
0.068,0.20,0.98,-0.07,-0.26,-0.09,0.02,0.02,0.05,0.01,976.63
0.069,0.20,0.98,-0.07,-0.26,-0.09,0.02,0.02,0.01,0.03,976.63
0.069,0.20,0.98,-0.07,-0.38,-0.02,0.05,0.02,0.01,0.03,976.63
0.088,0.22,0.99,-0.08,-0.38,-0.02,0.05,0.02,0.01,0.03,976.63
0.092,0.22,0.99,-0.08,-0.38,-0.02,0.05,0.02,0.01,0.03,976.64
0.108,0.23,0.98,-0.07,-0.38,-0.02,0.05,0.02,0.01,0.03,976.64
0.109,0.23,0.98,-0.07,-0.38,-0.02,0.05,0.02,-0.11,0.05,976.64
0.11,0.23,0.98,-0.07,-0.04,0.03,0.12,0.02,-0.11,0.05,976.64
0.128,0.21,0.96,-0.10,-0.04,0.03,0.12,0.02,-0.11,0.05,976.64
0.175,0.18,0.97,-0.11,-0.04,0.03,0.12,0.02,-0.11,0.05,976.64
0.176,0.18,0.97,-0.11,-0.04,0.03,0.12,0.03,-0.00,0.03,976.64
0.178,0.18,0.97,-0.11,-0.05,0.03,0.13,0.03,-0.00,0.03,976.64
0.18,0.18,0.97,-0.11,-0.05,0.03,0.13,0.03,-0.00,0.03,976.64
0.182,0.18,0.98,-0.09,-0.05,0.03,0.13,0.03,-0.00,0.03,976.64
0.214,0.22,0.97,-0.08,-0.05,0.03,0.13,0.03,-0.00,0.03,976.64
0.215,0.22,0.97,-0.08,-0.05,0.03,0.13,0.01,-0.03,0.03,976.64
0.217,0.22,0.97,-0.08,-0.32,-0.08,-0.07,0.01,-0.03,0.03,976.64
0.218,0.23,0.98,-0.08,-0.32,-0.08,-0.07,0.01,-0.03,0.03,976.64
0.219,0.23,0.98,-0.08,-0.32,-0.08,-0.07,0.01,-0.03,0.03,976.63
0.229,0.22,0.97,-0.06,-0.32,-0.08,-0.07,0.01,-0.03,0.03,976.63
0.232,0.22,0.97,-0.06,-0.32,-0.08,-0.07,0.02,-0.05,0.04,976.63
0.233,0.22,0.97,-0.06,-0.01,-0.01,0.18,0.02,-0.05,0.04,976.63
0.252,0.20,0.98,-0.08,-0.01,-0.01,0.18,0.02,-0.05,0.04,976.63
0.275,0.21,0.98,-0.10,-0.01,-0.01,0.18,0.02,-0.05,0.04,976.63
0.276,0.21,0.98,-0.10,-0.01,-0.01,0.18,0.04,0.01,0.01,976.63
0.277,0.21,0.98,-0.10,-0.01,-0.01,0.19,0.04,0.01,0.01,976.63
0.278,0.21,0.98,-0.10,-0.01,-0.01,0.19,0.04,0.01,0.01,976.62
0.286,0.23,0.94,-0.11,-0.01,-0.01,0.19,0.04,0.01,0.01,976.62
0.308,0.19,0.97,-0.13,-0.01,-0.01,0.19,0.04,0.01,0.01,976.62
0.311,0.19,0.97,-0.13,-0.01,-0.01,0.19,0.04,-0.01,0.00,976.62
0.313,0.19,0.97,-0.13,-0.11,-0.07,-0.04,0.04,-0.01,0.00,976.62
0.326,0.15,1.00,-0.12,-0.11,-0.07,-0.04,0.04,-0.01,0.00,976.62
0.334,0.15,1.00,-0.12,-0.11,-0.07,-0.04,0.04,-0.01,0.00,976.60
0.376,0.20,0.97,-0.09,-0.11,-0.07,-0.04,0.04,-0.01,0.00,976.60
0.379,0.20,0.97,-0.09,-0.11,-0.07,-0.04,-0.03,-0.04,0.02,976.60
0.381,0.20,0.97,-0.09,-0.44,0.04,-0.23,-0.03,-0.04,0.02,976.60
0.383,0.24,0.96,-0.09,-0.44,0.04,-0.23,-0.03,-0.04,0.02,976.60
0.385,0.22,0.99,-0.08,-0.44,0.04,-0.23,-0.03,-0.04,0.02,976.60
0.387,0.22,0.99,-0.08,-0.44,0.04,-0.23,-0.05,-0.10,0.04,976.60
0.389,0.22,0.99,-0.08,-0.45,0.04,-0.24,-0.05,-0.10,0.04,976.60
0.406,0.22,0.99,-0.08,-0.45,0.04,-0.24,-0.05,-0.10,0.04,976.60
0.407,0.20,0.96,-0.08,-0.45,0.04,-0.24,-0.05,-0.10,0.04,976.60
0.443,0.23,0.97,-0.08,-0.45,0.04,-0.24,-0.05,-0.10,0.04,976.60
0.445,0.23,0.97,-0.08,-0.45,0.04,-0.24,-0.03,-0.16,0.00,976.60
0.446,0.23,0.97,-0.08,0.01,-0.06,0.09,-0.03,-0.16,0.00,976.60
0.447,0.31,1.02,-0.05,0.01,-0.06,0.09,-0.03,-0.16,0.00,976.60
0.469,0.31,1.02,-0.05,0.01,-0.06,0.09,-0.03,-0.16,0.00,976.59
