time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.007,-0.31,1.00,0.01,0.19,0.10,0.26,-0.02,0.07,0.02,976.62
0.008,-0.31,1.00,0.01,0.19,0.10,0.26,0.05,-0.05,-0.09,976.62
0.009,-0.31,1.00,0.01,0.22,0.10,0.27,0.05,-0.05,-0.09,976.62
0.026,-0.26,0.98,-0.02,0.22,0.10,0.27,0.05,-0.05,-0.09,976.62
0.041,-0.26,0.98,-0.02,0.22,0.10,0.27,0.05,-0.05,-0.09,976.60
0.045,-0.21,0.97,-0.02,0.22,0.10,0.27,0.05,-0.05,-0.09,976.60
0.046,-0.21,0.97,-0.02,0.22,0.10,0.27,0.01,0.03,-0.02,976.60
0.046,-0.21,0.97,-0.02,-0.31,-0.02,-0.10,0.01,0.03,-0.02,976.60
0.065,-0.18,1.00,0.01,-0.31,-0.02,-0.10,0.01,0.03,-0.02,976.60
0.085,-0.17,1.00,-0.00,-0.31,-0.02,-0.10,0.01,0.03,-0.02,976.60
0.086,-0.17,1.00,-0.00,-0.31,-0.02,-0.10,-0.01,-0.07,0.05,976.60
0.086,-0.17,1.00,-0.00,0.15,0.05,-0.01,-0.01,-0.07,0.05,976.60
0.099,-0.17,1.00,-0.00,0.15,0.05,-0.01,-0.01,-0.07,0.05,976.59
0.105,-0.22,0.99,0.00,0.15,0.05,-0.01,-0.01,-0.07,0.05,976.59
0.138,-0.22,0.99,0.01,0.15,0.05,-0.01,-0.01,-0.07,0.05,976.59
0.141,-0.22,0.99,0.01,0.15,0.05,-0.01,-0.01,-0.01,0.00,976.59
0.143,-0.22,0.99,0.01,0.15,0.05,-0.01,-0.01,-0.01,0.00,976.59
0.161,-0.19,0.97,-0.01,0.15,0.05,-0.01,-0.01,-0.01,0.00,976.59
0.162,-0.19,0.97,-0.01,0.15,0.05,-0.01,-0.01,-0.01,0.00,976.59
0.17,-0.19,0.99,-0.01,0.15,0.05,-0.01,-0.01,-0.01,0.00,976.59
0.173,-0.19,0.99,-0.01,0.15,0.05,-0.01,-0.00,-0.02,0.00,976.59
0.174,-0.19,0.99,-0.01,-0.08,-0.03,0.02,-0.00,-0.02,0.00,976.59
0.184,-0.21,1.00,-0.01,-0.08,-0.03,0.02,-0.00,-0.02,0.00,976.59
0.213,-0.22,0.98,-0.00,-0.08,-0.03,0.02,-0.00,-0.02,0.00,976.59
0.214,-0.22,0.98,-0.00,-0.08,-0.03,0.02,-0.02,0.03,-0.00,976.59
0.215,-0.22,0.98,-0.00,-0.04,0.00,-0.06,-0.02,0.03,-0.00,976.59
0.222,-0.22,0.98,-0.00,-0.04,0.00,-0.06,-0.02,0.03,-0.00,976.60
0.225,-0.20,0.98,0.03,-0.04,0.00,-0.06,-0.02,0.03,-0.00,976.60
0.244,-0.19,0.99,0.02,-0.04,0.00,-0.06,-0.02,0.03,-0.00,976.60
0.245,-0.19,0.99,0.02,-0.04,0.00,-0.06,-0.02,0.02,0.00,976.60
0.246,-0.19,0.99,0.02,-0.04,0.00,-0.07,-0.02,0.02,0.00,976.60
0.263,-0.20,0.99,0.01,-0.04,0.00,-0.07,-0.02,0.02,0.00,976.60
0.28,-0.20,0.99,0.01,-0.04,0.00,-0.07,-0.02,0.02,0.00,976.61
0.283,-0.20,0.98,0.01,-0.04,0.00,-0.07,-0.02,0.02,0.00,976.61
0.285,-0.20,0.98,0.01,-0.04,0.00,-0.07,0.01,-0.02,0.00,976.61
0.287,-0.20,0.98,0.01,0.04,-0.01,0.22,0.01,-0.02,0.00,976.61
0.318,-0.21,0.99,-0.01,0.04,-0.01,0.22,0.01,-0.02,0.00,976.61
0.324,-0.21,0.99,-0.01,0.04,-0.01,0.22,0.01,-0.02,0.00,976.61
0.325,-0.21,0.99,-0.01,0.04,-0.01,0.22,0.03,-0.01,-0.00,976.61
0.326,-0.21,0.99,-0.01,-0.06,-0.04,0.01,0.03,-0.01,-0.00,976.61
0.344,-0.21,0.99,-0.01,-0.06,-0.04,0.01,0.03,-0.01,-0.00,976.61
0.346,-0.20,0.99,-0.00,-0.06,-0.04,0.01,0.03,-0.01,-0.00,976.61
0.362,-0.20,0.99,0.00,-0.06,-0.04,0.01,0.03,-0.01,-0.00,976.61
0.363,-0.20,0.99,0.00,-0.06,-0.04,0.01,0.02,-0.03,0.00,976.61
0.364,-0.20,0.99,0.00,-0.06,-0.04,0.01,0.02,-0.03,0.00,976.61
0.382,-0.20,0.99,-0.00,-0.06,-0.04,0.01,0.02,-0.03,0.00,976.61
0.4,-0.20,0.99,-0.00,-0.06,-0.04,0.01,0.02,-0.03,0.00,976.61
0.402,-0.19,1.00,-0.02,-0.06,-0.04,0.01,0.02,-0.03,0.00,976.61
0.403,-0.19,1.00,-0.02,-0.06,-0.04,0.01,0.01,-0.02,-0.00,976.61
0.405,-0.19,1.00,-0.02,0.02,0.01,0.01,0.01,-0.02,-0.00,976.61
0.431,-0.17,0.99,-0.00,0.02,0.01,0.01,0.01,-0.02,-0.00,976.61
0.451,-0.20,0.99,-0.01,0.02,0.01,0.01,0.01,-0.02,-0.00,976.61
0.452,-0.20,0.99,-0.01,0.02,0.01,0.01,0.00,0.00,-0.02,976.61
0.453,-0.20,0.99,-0.01,0.12,0.03,-0.06,0.00,0.00,-0.02,976.61
0.459,-0.20,0.99,-0.01,0.12,0.03,-0.06,0.00,0.00,-0.02,976.60
0.46,-0.23,0.99,0.01,0.12,0.03,-0.06,0.00,0.00,-0.02,976.60
0.482,-0.22,1.00,0.02,0.12,0.03,-0.06,0.00,0.00,-0.02,976.60
0.484,-0.22,1.00,0.02,0.12,0.03,-0.06,-0.02,0.11,-0.06,976.60
0.485,-0.22,1.00,0.02,0.13,0.03,-0.05,-0.02,0.11,-0.06,976.60
0.501,-0.23,0.99,0.03,0.13,0.03,-0.05,-0.02,0.11,-0.06,976.60
0.52,-0.23,0.99,0.03,0.13,0.03,-0.05,-0.02,0.11,-0.06,976.60
0.523,-0.26,0.97,0.03,0.13,0.03,-0.05,-0.02,0.11,-0.06,976.60
0.524,-0.26,0.97,0.03,0.13,0.03,-0.05,-0.01,0.15,-0.03,976.60
0.525,-0.26,0.97,0.03,-0.25,0.02,0.25,-0.01,0.15,-0.03,976.60
0.555,-0.25,0.95,0.06,-0.25,0.02,0.25,-0.01,0.15,-0.03,976.60
0.567,-0.25,0.95,0.06,-0.31,-0.21,0.59,-0.01,0.15,-0.03,976.60
0.569,-0.19,0.99,0.07,-0.31,-0.21,0.59,-0.01,0.15,-0.03,976.60
0.57,-0.19,0.99,0.07,-0.31,-0.21,0.59,0.03,0.13,0.06,976.60
0.58,-0.19,0.99,0.07,-0.31,-0.21,0.59,0.03,0.13,0.06,976.60
0.583,-0.18,1.00,0.01,-0.31,-0.21,0.59,0.03,0.13,0.06,976.60
0.6,-0.20,0.98,0.01,-0.31,-0.21,0.59,0.03,0.13,0.06,976.60
0.602,-0.20,0.98,0.01,-0.31,-0.21,0.59,0.11,0.34,0.11,976.60
0.603,-0.20,0.98,0.01,-0.34,-0.21,0.65,0.11,0.34,0.11,976.60
0.623,-0.24,0.86,-0.02,-0.34,-0.21,0.65,0.11,0.34,0.11,976.60
0.644,-0.24,0.86,-0.02,-0.34,-0.21,0.65,0.11,0.34,0.11,976.60
0.645,-0.15,1.04,-0.10,-0.34,-0.21,0.65,0.11,0.34,0.11,976.60
0.646,-0.15,1.04,-0.10,-0.34,-0.21,0.65,0.12,0.63,0.13,976.60
0.647,-0.15,1.04,-0.10,-0.15,-0.42,0.19,0.12,0.63,0.13,976.60
0.658,-0.18,1.12,-0.07,-0.15,-0.42,0.19,0.12,0.63,0.13,976.60
0.68,-0.22,1.00,-0.07,-0.15,-0.42,0.19,0.12,0.63,0.13,976.60
0.681,-0.22,1.00,-0.07,-0.15,-0.42,0.19,0.02,0.81,0.10,976.60
0.682,-0.22,1.00,-0.07,0.02,0.61,-0.49,0.02,0.81,0.10,976.60
0.699,-0.22,1.00,-0.07,0.02,0.61,-0.49,0.02,0.81,0.10,976.60
0.7,-0.27,0.98,-0.01,0.02,0.61,-0.49,0.02,0.81,0.10,976.60
0.718,-0.25,0.98,0.03,0.02,0.61,-0.49,0.02,0.81,0.10,976.60
0.72,-0.25,0.98,0.03,0.02,0.61,-0.49,-0.03,1.01,0.17,976.60
0.721,-0.25,0.98,0.03,-0.06,0.59,-0.42,-0.03,1.01,0.17,976.60
0.737,-0.14,0.99,0.07,-0.06,0.59,-0.42,-0.03,1.01,0.17,976.60
0.76,-0.14,0.99,0.07,-0.53,-0.13,0.72,-0.03,1.01,0.17,976.60
0.762,-0.15,0.98,0.05,-0.53,-0.13,0.72,-0.03,1.01,0.17,976.60
0.764,-0.15,0.98,0.05,-0.53,-0.13,0.72,0.12,0.70,0.28,976.60
0.765,-0.15,0.98,0.05,-0.53,-0.13,0.72,0.12,0.70,0.28,976.61
0.778,-0.19,0.97,0.07,-0.53,-0.13,0.72,0.12,0.70,0.28,976.61
0.798,-0.15,0.98,0.05,-0.53,-0.13,0.72,0.12,0.70,0.28,976.61
0.801,-0.15,0.98,0.05,-0.53,-0.13,0.72,0.36,0.45,0.26,976.61
0.803,-0.15,0.98,0.05,-0.07,-0.17,1.16,0.36,0.45,0.26,976.61
0.818,-0.11,0.98,-0.05,-0.07,-0.17,1.16,0.36,0.45,0.26,976.61
0.822,-0.11,0.98,-0.05,-0.07,-0.17,1.16,0.36,0.45,0.26,976.60
0.86,-0.10,0.98,-0.11,-0.07,-0.17,1.16,0.36,0.45,0.26,976.60
0.863,-0.10,0.98,-0.11,-0.07,-0.17,1.16,0.53,0.29,0.21,976.60
0.864,-0.10,0.98,-0.11,-0.15,-0.17,1.36,0.53,0.29,0.21,976.60
0.865,-0.16,0.99,-0.14,-0.15,-0.17,1.36,0.53,0.29,0.21,976.60
0.878,-0.16,0.96,-0.15,-0.15,-0.17,1.36,0.53,0.29,0.21,976.60
0.879,-0.16,0.96,-0.15,-0.15,-0.17,1.36,0.51,0.32,0.16,976.60
0.88,-0.16,0.96,-0.15,0.17,-0.09,0.01,0.51,0.32,0.16,976.60
0.88,-0.16,0.96,-0.15,0.17,-0.09,0.01,0.51,0.32,0.16,976.61
0.895,-0.10,0.99,-0.14,0.17,-0.09,0.01,0.51,0.32,0.16,976.61
0.915,-0.18,1.00,-0.06,0.17,-0.09,0.01,0.51,0.32,0.16,976.61
0.916,-0.18,1.00,-0.06,0.17,-0.09,0.01,0.45,0.24,0.15,976.61
0.917,-0.18,1.00,-0.06,-0.15,-0.10,0.02,0.45,0.24,0.15,976.61
0.938,-0.27,0.97,-0.10,-0.15,-0.10,0.02,0.45,0.24,0.15,976.61
0.941,-0.27,0.97,-0.10,-0.15,-0.10,0.02,0.45,0.24,0.15,976.60
0.955,-0.26,1.00,-0.02,-0.15,-0.10,0.02,0.45,0.24,0.15,976.60
0.958,-0.26,1.00,-0.02,-0.15,-0.10,0.02,0.51,-0.03,0.18,976.60
0.96,-0.26,1.00,-0.02,-0.21,-0.08,0.21,0.51,-0.03,0.18,976.60
0.976,-0.21,1.01,-0.02,-0.21,-0.08,0.21,0.51,-0.03,0.18,976.60
0.996,-0.06,0.97,-0.12,-0.21,-0.08,0.21,0.51,-0.03,0.18,976.60
1.0,-0.06,0.97,-0.12,-0.21,-0.08,0.21,0.62,-0.44,0.31,976.60
1.002,-0.06,0.97,-0.12,-1.27,0.06,1.13,0.62,-0.44,0.31,976.60
1.004,-0.06,0.97,-0.12,-1.27,0.06,1.13,0.62,-0.44,0.31,976.61
1.015,0.10,1.00,-0.35,-1.27,0.06,1.13,0.62,-0.44,0.31,976.61
1.037,0.07,1.01,-0.46,-1.27,0.06,1.13,0.62,-0.44,0.31,976.61
1.042,0.07,1.01,-0.46,-1.27,0.06,1.13,0.69,-0.48,0.22,976.61
1.043,0.07,1.01,-0.46,1.45,0.10,-1.20,0.69,-0.48,0.22,976.61
1.054,-0.04,0.97,-0.35,1.45,0.10,-1.20,0.69,-0.48,0.22,976.61
1.058,-0.04,0.97,-0.35,1.45,0.10,-1.20,0.69,-0.48,0.22,976.61
1.075,-0.07,0.97,-0.24,1.45,0.10,-1.20,0.69,-0.48,0.22,976.61
1.078,-0.07,0.97,-0.24,1.45,0.10,-1.20,0.43,-0.10,0.01,976.61
1.08,-0.07,0.97,-0.24,1.43,0.13,-1.02,0.43,-0.10,0.01,976.61
1.093,-0.04,1.00,-0.15,1.43,0.13,-1.02,0.43,-0.10,0.01,976.61
1.113,-0.06,0.99,-0.18,1.43,0.13,-1.02,0.43,-0.10,0.01,976.61
1.115,-0.06,0.99,-0.18,1.43,0.13,-1.02,0.26,0.28,-0.06,976.61
1.115,-0.06,0.99,-0.18,0.57,-0.01,-0.30,0.26,0.28,-0.06,976.61
1.117,-0.06,0.99,-0.18,0.57,-0.01,-0.30,0.26,0.28,-0.06,976.61
1.137,-0.24,0.97,-0.23,0.57,-0.01,-0.30,0.26,0.28,-0.06,976.61
1.153,-0.28,0.96,-0.28,0.57,-0.01,-0.30,0.26,0.28,-0.06,976.61
1.154,-0.28,0.96,-0.28,0.57,-0.01,-0.30,0.32,0.45,-0.12,976.61
1.155,-0.28,0.96,-0.28,-0.84,-0.01,-0.01,0.32,0.45,-0.12,976.61
1.173,-0.20,0.96,-0.17,-0.84,-0.01,-0.01,0.32,0.45,-0.12,976.61
1.178,-0.20,0.96,-0.17,-0.84,-0.01,-0.01,0.32,0.45,-0.12,976.61
1.194,-0.20,0.96,-0.17,-0.84,0.02,0.11,0.32,0.45,-0.12,976.61
1.197,-0.08,0.98,-0.18,-0.84,0.02,0.11,0.32,0.45,-0.12,976.61
1.198,-0.08,0.98,-0.18,-0.84,0.02,0.11,0.33,-0.01,0.03,976.61
1.213,-0.07,1.03,-0.29,-0.84,0.02,0.11,0.33,-0.01,0.03,976.61
1.244,-0.07,1.03,-0.29,-0.09,0.19,0.46,0.33,-0.01,0.03,976.61
1.247,-0.13,0.98,-0.33,-0.09,0.19,0.46,0.33,-0.01,0.03,976.61
1.249,-0.13,0.98,-0.33,-0.09,0.19,0.46,0.35,0.03,0.10,976.61
1.25,-0.13,0.98,-0.33,-0.09,0.19,0.46,0.35,0.03,0.10,976.61
1.252,-0.03,0.93,-0.27,-0.09,0.19,0.46,0.35,0.03,0.10,976.61
1.278,0.37,0.95,-0.24,-0.09,0.19,0.46,0.35,0.03,0.10,976.61
1.283,0.37,0.95,-0.24,-0.09,0.19,0.46,0.32,-0.07,-0.04,976.61
1.286,0.37,0.95,-0.24,1.74,-0.12,-0.09,0.32,-0.07,-0.04,976.61
1.293,0.63,1.02,-0.37,1.74,-0.12,-0.09,0.32,-0.07,-0.04,976.61
1.297,0.63,1.02,-0.37,1.74,-0.12,-0.09,0.32,-0.07,-0.04,976.61
1.311,0.28,1.05,-0.39,1.74,-0.12,-0.09,0.32,-0.07,-0.04,976.61
1.313,0.28,1.05,-0.39,1.74,-0.12,-0.09,0.42,-0.48,-0.59,976.61
1.313,0.28,1.05,-0.39,1.98,-0.04,0.05,0.42,-0.48,-0.59,976.61
1.335,-0.20,0.98,-0.36,1.98,-0.04,0.05,0.42,-0.48,-0.59,976.61
1.354,-0.21,1.05,-0.38,1.98,-0.04,0.05,0.42,-0.48,-0.59,976.61
1.357,-0.21,1.05,-0.38,1.98,-0.04,0.05,0.36,-0.32,-1.47,976.61
1.358,-0.21,1.05,-0.38,4.14,0.69,-0.76,0.36,-0.32,-1.47,976.61
1.359,-0.21,1.05,-0.38,4.14,0.69,-0.76,0.36,-0.32,-1.47,976.62
1.369,-0.05,1.14,-0.45,4.14,0.69,-0.76,0.36,-0.32,-1.47,976.62
1.39,-0.16,1.31,-0.34,4.14,0.69,-0.76,0.36,-0.32,-1.47,976.62
1.392,-0.16,1.31,-0.34,4.14,0.69,-0.76,0.28,-0.80,-1.67,976.62
1.394,-0.16,1.31,-0.34,1.07,2.27,-0.87,0.28,-0.80,-1.67,976.62
1.41,-0.21,1.28,-0.15,1.07,2.27,-0.87,0.28,-0.80,-1.67,976.62
1.417,-0.21,1.28,-0.15,1.07,2.27,-0.87,0.28,-0.80,-1.67,976.62
1.446,0.04,1.25,-0.11,1.07,2.27,-0.87,0.28,-0.80,-1.67,976.62
1.452,0.04,1.25,-0.11,1.07,2.27,-0.87,0.12,-1.05,-1.77,976.62
1.452,0.04,1.25,-0.11,1.79,2.44,-0.93,0.12,-1.05,-1.77,976.62
1.453,0.17,1.40,-0.21,1.79,2.44,-0.93,0.12,-1.05,-1.77,976.62
1.476,0.12,1.58,-0.17,1.79,2.44,-0.93,0.12,-1.05,-1.77,976.62
1.481,0.12,1.58,-0.17,1.79,2.44,-0.93,0.07,-1.14,-2.12,976.62
1.483,0.12,1.58,-0.17,3.98,4.11,1.21,0.07,-1.14,-2.12,976.62
1.484,0.12,1.58,-0.17,3.98,4.11,1.21,0.07,-1.14,-2.12,976.62
1.489,0.32,2.02,-0.31,3.98,4.11,1.21,0.07,-1.14,-2.12,976.62
1.522,0.82,1.88,-0.28,3.98,4.11,1.21,0.07,-1.14,-2.12,976.62
1.524,0.82,1.88,-0.28,3.98,4.11,1.21,0.00,-1.35,-2.55,976.62
1.526,0.82,1.88,-0.28,8.94,9.46,0.01,0.00,-1.35,-2.55,976.62
1.533,1.03,1.61,-0.30,8.94,9.46,0.01,0.00,-1.35,-2.55,976.62
1.542,1.03,1.61,-0.30,8.94,9.46,0.01,0.00,-1.35,-2.55,976.60
1.548,0.86,1.61,-0.72,8.94,9.46,0.01,0.00,-1.35,-2.55,976.60
1.549,0.86,1.61,-0.72,8.94,9.46,0.01,0.10,-1.49,-2.63,976.60
1.549,0.86,1.61,-0.72,9.75,9.85,-0.27,0.10,-1.49,-2.63,976.60
1.568,-0.21,1.52,-0.45,9.75,9.85,-0.27,0.10,-1.49,-2.63,976.60
1.588,-1.13,1.08,-0.16,9.75,9.85,-0.27,0.10,-1.49,-2.63,976.60
1.592,-1.13,1.08,-0.16,9.75,9.85,-0.27,0.25,0.46,-3.67,976.60
1.594,-1.13,1.08,-0.16,11.99,8.24,-2.35,0.25,0.46,-3.67,976.60
1.597,-1.13,1.08,-0.16,11.99,8.24,-2.35,0.25,0.46,-3.67,976.59
1.61,-0.97,0.99,-0.53,11.99,8.24,-2.35,0.25,0.46,-3.67,976.59
1.629,-0.66,0.95,-0.45,11.99,8.24,-2.35,0.25,0.46,-3.67,976.59
1.632,-0.66,0.95,-0.45,11.99,8.24,-2.35,0.45,0.72,-2.62,976.59
1.633,-0.66,0.95,-0.45,-1.83,3.29,-0.94,0.45,0.72,-2.62,976.59
1.65,-0.44,0.56,-0.11,-1.83,3.29,-0.94,0.45,0.72,-2.62,976.59
1.669,-0.44,0.56,-0.11,-1.83,3.29,-0.94,0.45,0.72,-2.62,976.60
1.671,-0.44,0.38,-0.57,-1.83,3.29,-0.94,0.45,0.72,-2.62,976.60
1.672,-0.44,0.38,-0.57,-1.83,3.29,-0.94,0.15,-1.13,-0.22,976.60
1.673,-0.44,0.38,-0.57,-1.63,3.31,-1.21,0.15,-1.13,-0.22,976.60
1.686,-0.19,0.26,0.03,-1.63,3.31,-1.21,0.15,-1.13,-0.22,976.60
1.705,0.12,0.14,0.25,-1.63,3.31,-1.21,0.15,-1.13,-0.22,976.60
1.706,0.12,0.14,0.25,-1.63,3.31,-1.21,-0.34,-1.97,1.25,976.60
1.707,0.12,0.14,0.25,3.66,-2.98,-0.26,-0.34,-1.97,1.25,976.60
1.723,0.12,0.14,0.25,3.66,-2.98,-0.26,-0.34,-1.97,1.25,976.60
1.729,0.21,0.13,-0.14,3.66,-2.98,-0.26,-0.34,-1.97,1.25,976.60
1.751,0.00,0.25,-0.10,3.66,-2.98,-0.26,-0.34,-1.97,1.25,976.60
1.753,0.00,0.25,-0.10,3.66,-2.98,-0.26,-0.30,-0.68,2.54,976.60
1.754,0.00,0.25,-0.10,7.43,-5.81,1.58,-0.30,-0.68,2.54,976.60
1.764,-0.32,0.38,-0.16,7.43,-5.81,1.58,-0.30,-0.68,2.54,976.60
1.776,-0.32,0.38,-0.16,7.43,-5.81,1.58,-0.30,-0.68,2.54,976.60
1.786,-0.49,0.43,-0.19,7.43,-5.81,1.58,-0.30,-0.68,2.54,976.60
1.788,-0.49,0.43,-0.19,7.43,-5.81,1.58,-0.31,1.87,3.22,976.60
1.789,-0.49,0.43,-0.19,6.20,-6.46,1.87,-0.31,1.87,3.22,976.60
1.806,-0.50,0.42,-0.17,6.20,-6.46,1.87,-0.31,1.87,3.22,976.60
1.83,-0.44,0.44,-0.14,6.20,-6.46,1.87,-0.31,1.87,3.22,976.60
1.832,-0.44,0.44,-0.14,6.20,-6.46,1.87,-0.61,2.31,4.31,976.60
1.833,-0.44,0.44,-0.14,-0.79,-4.79,0.33,-0.61,2.31,4.31,976.60
1.836,-0.44,0.44,-0.14,-0.79,-4.79,0.33,-0.61,2.31,4.31,976.58
1.86,-0.40,0.57,-0.14,-0.79,-4.79,0.33,-0.61,2.31,4.31,976.58
1.865,-0.51,0.85,-0.29,-0.79,-4.79,0.33,-0.61,2.31,4.31,976.58
1.866,-0.51,0.85,-0.29,-0.79,-4.79,0.33,-0.77,1.68,5.15,976.58
1.868,-0.51,0.85,-0.29,-2.82,-3.29,0.06,-0.77,1.68,5.15,976.58
1.883,-0.64,0.95,-0.44,-2.82,-3.29,0.06,-0.77,1.68,5.15,976.58
1.896,-0.64,0.95,-0.44,-2.82,-3.29,0.06,-0.77,1.68,5.15,976.56
