time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.006,-0.01,0.97,-0.29,-0.26,-0.11,-0.12,0.05,-0.28,0.06,1006.24
0.008,-0.01,0.97,-0.29,-0.26,-0.11,-0.12,-0.00,0.09,-0.01,1006.24
0.01,-0.01,0.97,-0.29,0.05,0.09,-0.04,-0.00,0.09,-0.01,1006.24
0.104,-0.00,0.97,-0.29,0.05,0.09,-0.04,-0.00,0.09,-0.01,1006.24
0.106,-0.00,0.97,-0.29,0.05,0.09,-0.04,0.01,-0.03,0.01,1006.24
0.108,-0.00,0.97,-0.29,0.05,0.09,-0.04,0.01,-0.03,0.01,1006.23
0.11,-0.00,0.97,-0.29,0.15,0.07,-0.05,0.01,-0.03,0.01,1006.23
0.139,-0.02,0.96,-0.30,0.15,0.07,-0.05,0.01,-0.03,0.01,1006.23
0.141,-0.02,0.96,-0.30,0.15,0.07,-0.05,0.01,0.00,0.01,1006.23
0.143,-0.02,0.96,-0.30,-0.03,0.04,-0.10,0.01,0.00,0.01,1006.23
0.204,-0.02,0.97,-0.29,-0.03,0.04,-0.10,0.01,0.00,0.01,1006.23
0.207,-0.02,0.97,-0.29,-0.03,0.04,-0.10,0.01,-0.01,0.00,1006.23
0.208,-0.02,0.97,-0.29,0.01,0.07,-0.06,0.01,-0.01,0.00,1006.23
0.256,-0.01,0.97,-0.29,0.01,0.07,-0.06,0.01,-0.01,0.00,1006.23
0.258,-0.01,0.97,-0.29,0.01,0.07,-0.06,0.01,-0.01,0.01,1006.23
0.264,-0.01,0.97,-0.29,0.01,0.07,-0.06,0.01,-0.01,0.01,1006.24
0.268,-0.01,0.97,-0.29,0.10,0.07,-0.05,0.01,-0.01,0.01,1006.24
0.307,-0.01,0.97,-0.30,0.10,0.07,-0.05,0.01,-0.01,0.01,1006.24
0.309,-0.01,0.97,-0.30,0.10,0.07,-0.05,0.01,-0.01,0.00,1006.24
0.312,-0.01,0.97,-0.30,0.08,0.07,-0.13,0.01,-0.01,0.00,1006.24
0.369,-0.03,0.96,-0.29,0.08,0.07,-0.13,0.01,-0.01,0.00,1006.24
0.371,-0.03,0.96,-0.29,0.08,0.07,-0.13,0.01,-0.08,0.03,1006.24
0.373,-0.03,0.96,-0.29,-0.10,-0.02,-0.01,0.01,-0.08,0.03,1006.24
0.423,-0.01,0.96,-0.30,-0.10,-0.02,-0.01,0.01,-0.08,0.03,1006.24
0.426,-0.01,0.96,-0.30,-0.10,-0.02,-0.01,0.02,-0.03,0.05,1006.24
0.427,-0.01,0.96,-0.30,-0.10,-0.02,-0.01,0.02,-0.03,0.05,1006.23
0.429,-0.01,0.96,-0.30,0.10,0.02,-0.10,0.02,-0.03,0.05,1006.23
0.485,-0.00,0.96,-0.29,0.10,0.02,-0.10,0.02,-0.03,0.05,1006.23
0.488,-0.00,0.96,-0.29,0.10,0.02,-0.10,0.01,0.01,0.00,1006.23
0.489,-0.00,0.96,-0.29,0.09,0.04,-0.02,0.01,0.01,0.00,1006.23
0.575,-0.01,0.96,-0.29,0.09,0.04,-0.02,0.01,0.01,0.00,1006.23
0.578,-0.01,0.96,-0.29,0.09,0.04,-0.02,0.02,0.02,-0.00,1006.23
0.58,-0.01,0.96,-0.29,-0.01,0.01,0.01,0.02,0.02,-0.00,1006.23
0.609,-0.01,0.96,-0.30,-0.01,0.01,0.01,0.02,0.02,-0.00,1006.23
0.611,-0.01,0.96,-0.30,-0.01,0.01,0.01,0.03,0.01,0.01,1006.23
0.613,-0.01,0.96,-0.30,-0.01,0.01,0.01,0.03,0.01,0.01,1006.23
0.615,-0.01,0.96,-0.30,0.04,0.04,-0.12,0.03,0.01,0.01,1006.23
