time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,-0.02,1.00,-0.26,-0.00,0.12,-0.11,0.07,-0.44,-0.02,1006.35
0.006,-0.02,1.00,-0.26,-0.00,0.12,-0.11,0.01,0.09,0.01,1006.35
0.008,-0.02,1.00,-0.26,-0.00,0.12,-0.11,0.01,0.09,0.01,1006.33
0.009,-0.02,1.00,-0.26,-0.09,0.19,-0.40,0.01,0.09,0.01,1006.33
0.066,0.00,0.97,-0.22,-0.09,0.19,-0.40,0.01,0.09,0.01,1006.33
0.068,0.00,0.97,-0.22,-0.09,0.19,-0.40,0.02,-0.04,0.01,1006.33
0.07,0.00,0.97,-0.22,0.13,-0.04,-0.00,0.02,-0.04,0.01,1006.33
0.136,-0.01,0.98,-0.23,0.13,-0.04,-0.00,0.02,-0.04,0.01,1006.33
0.139,-0.01,0.98,-0.23,0.13,-0.04,-0.00,0.01,0.00,0.04,1006.33
0.14,-0.01,0.98,-0.23,-0.02,0.03,-0.11,0.01,0.00,0.04,1006.33
0.187,-0.00,0.98,-0.22,-0.02,0.03,-0.11,0.01,0.00,0.04,1006.33
0.19,-0.00,0.98,-0.22,-0.02,0.03,-0.11,0.02,0.03,0.01,1006.33
0.192,-0.00,0.98,-0.22,-0.02,0.03,-0.11,0.02,0.03,0.01,1006.33
0.194,-0.00,0.98,-0.22,0.06,0.01,-0.07,0.02,0.03,0.01,1006.33
0.262,-0.01,0.97,-0.23,0.06,0.01,-0.07,0.02,0.03,0.01,1006.33
0.266,-0.01,0.97,-0.23,0.06,0.01,-0.07,0.02,0.01,0.01,1006.33
0.269,-0.01,0.97,-0.23,-0.05,-0.02,-0.13,0.02,0.01,0.01,1006.33
0.311,-0.01,0.97,-0.23,-0.05,-0.02,-0.13,0.02,0.01,0.01,1006.33
0.316,-0.01,0.97,-0.23,-0.05,-0.02,-0.13,0.02,0.03,0.01,1006.33
0.318,-0.01,0.97,-0.23,0.01,-0.02,-0.14,0.02,0.03,0.01,1006.33
0.36,-0.00,0.99,-0.23,0.01,-0.02,-0.14,0.02,0.03,0.01,1006.33
0.362,-0.00,0.99,-0.23,0.01,-0.02,-0.14,0.02,0.02,-0.01,1006.33
0.364,-0.00,0.99,-0.23,0.01,-0.02,-0.14,0.02,0.02,-0.01,1006.33
0.366,-0.00,0.99,-0.23,0.05,0.09,-0.12,0.02,0.02,-0.01,1006.33
0.427,-0.00,0.98,-0.23,0.05,0.09,-0.12,0.02,0.02,-0.01,1006.33
0.43,-0.00,0.98,-0.23,0.05,0.09,-0.12,0.03,0.02,0.00,1006.33
0.432,-0.00,0.98,-0.23,0.04,0.02,-0.10,0.03,0.02,0.00,1006.33
0.482,0.00,0.98,-0.23,0.04,0.02,-0.10,0.03,0.02,0.00,1006.33
0.484,0.00,0.98,-0.23,0.04,0.02,-0.10,0.02,0.00,-0.01,1006.33
0.486,0.00,0.98,-0.23,0.10,0.04,-0.11,0.02,0.00,-0.01,1006.33
0.54,-0.01,0.98,-0.24,0.10,0.04,-0.11,0.02,0.00,-0.01,1006.33
0.542,-0.01,0.98,-0.24,0.10,0.04,-0.11,0.03,-0.02,-0.01,1006.33
0.544,-0.01,0.98,-0.24,0.10,0.04,-0.11,0.03,-0.02,-0.01,1006.33
0.546,-0.01,0.98,-0.24,-0.08,0.05,-0.13,0.03,-0.02,-0.01,1006.33
0.619,0.00,0.98,-0.23,-0.08,0.05,-0.13,0.03,-0.02,-0.01,1006.33
0.623,0.00,0.98,-0.23,-0.08,0.05,-0.13,0.03,0.02,-0.00,1006.33
0.626,0.00,0.98,-0.23,0.08,0.03,-0.09,0.03,0.02,-0.00,1006.33
0.701,-0.01,0.98,-0.24,0.08,0.03,-0.09,0.03,0.02,-0.00,1006.33
0.705,-0.01,0.98,-0.24,0.08,0.03,-0.09,0.03,-0.02,-0.00,1006.33
0.707,-0.01,0.98,-0.24,-0.05,0.03,-0.14,0.03,-0.02,-0.00,1006.33
0.728,0.01,0.98,-0.23,-0.05,0.03,-0.14,0.03,-0.02,-0.00,1006.33
0.732,0.01,0.98,-0.23,-0.05,0.03,-0.14,0.01,0.00,-0.01,1006.33
0.736,0.01,0.98,-0.23,-0.05,0.03,-0.14,0.01,0.00,-0.01,1006.33
0.738,0.01,0.98,-0.23,0.19,0.07,-0.10,0.01,0.00,-0.01,1006.33
0.78,-0.00,0.98,-0.24,0.19,0.07,-0.10,0.01,0.00,-0.01,1006.33
0.783,-0.00,0.98,-0.24,0.19,0.07,-0.10,0.02,0.01,-0.02,1006.33
0.784,-0.00,0.98,-0.24,0.04,0.01,-0.18,0.02,0.01,-0.02,1006.33
0.844,-0.01,0.98,-0.23,0.04,0.01,-0.18,0.02,0.01,-0.02,1006.33
0.85,-0.01,0.98,-0.23,0.04,0.01,-0.18,0.02,0.01,-0.02,1006.33
0.852,-0.01,0.98,-0.23,-0.02,0.04,-0.08,0.02,0.01,-0.02,1006.33
0.901,-0.01,0.98,-0.24,-0.02,0.04,-0.08,0.02,0.01,-0.02,1006.33
0.903,-0.01,0.98,-0.24,-0.02,0.04,-0.08,0.01,0.01,-0.03,1006.33
0.905,-0.01,0.98,-0.24,-0.02,0.04,-0.08,0.01,0.01,-0.03,1006.33
0.906,-0.01,0.98,-0.24,0.03,0.08,-0.15,0.01,0.01,-0.03,1006.33
0.961,-0.02,0.97,-0.24,0.03,0.08,-0.15,0.01,0.01,-0.03,1006.33
0.966,-0.02,0.97,-0.24,0.03,0.08,-0.15,0.02,-0.01,-0.01,1006.33
0.969,-0.02,0.97,-0.24,-0.04,-0.00,-0.10,0.02,-0.01,-0.01,1006.33
1.03,-0.01,0.98,-0.23,-0.04,-0.00,-0.10,0.02,-0.01,-0.01,1006.33
