time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,-0.06,1.00,-0.11,-0.76,0.06,-0.28,-0.02,0.03,-0.07,1007.49
0.015,0.03,0.99,-0.07,-0.76,0.06,-0.28,-0.02,0.03,-0.07,1007.49
0.018,0.03,0.99,-0.07,-0.76,0.06,-0.28,-0.02,0.03,0.02,1007.49
0.019,0.03,0.99,-0.07,-0.76,0.06,-0.28,-0.02,0.03,0.02,1007.49
0.067,0.03,0.99,-0.07,0.12,-0.10,0.06,-0.02,0.03,0.02,1007.49
0.096,0.06,1.02,-0.07,0.12,-0.10,0.06,-0.02,0.03,0.02,1007.49
0.099,0.06,1.02,-0.07,0.12,-0.10,0.06,0.01,0.08,-0.01,1007.49
0.138,0.06,1.02,-0.07,0.47,0.18,0.09,0.01,0.08,-0.01,1007.49
0.145,0.02,0.99,-0.06,0.47,0.18,0.09,0.01,0.08,-0.01,1007.49
0.147,0.02,0.99,-0.06,0.47,0.18,0.09,0.01,0.08,-0.07,1007.49
0.176,0.02,0.99,-0.06,0.04,-0.03,0.18,0.01,0.08,-0.07,1007.49
0.193,0.02,1.01,-0.08,0.04,-0.03,0.18,0.01,0.08,-0.07,1007.49
0.196,0.02,1.01,-0.08,0.04,-0.03,0.18,0.04,0.14,-0.03,1007.49
0.199,0.02,1.01,-0.08,0.04,-0.03,0.18,0.04,0.14,-0.03,1007.48
0.256,0.02,1.01,-0.08,0.05,0.12,0.03,0.04,0.14,-0.03,1007.48
0.259,-0.00,0.97,-0.04,0.05,0.12,0.03,0.04,0.14,-0.03,1007.48
0.261,-0.00,0.97,-0.04,0.05,0.12,0.03,0.01,0.03,-0.04,1007.48
0.295,-0.00,0.97,-0.04,-0.13,-0.27,0.39,0.01,0.03,-0.04,1007.48
0.331,0.03,0.98,-0.08,-0.13,-0.27,0.39,0.01,0.03,-0.04,1007.48
0.337,0.03,0.98,-0.08,-0.13,-0.27,0.39,0.08,-0.09,0.04,1007.48
0.358,0.03,0.98,-0.08,0.22,-0.13,0.09,0.08,-0.09,0.04,1007.48
0.372,-0.05,1.04,-0.08,0.22,-0.13,0.09,0.08,-0.09,0.04,1007.48
0.374,-0.05,1.04,-0.08,0.22,-0.13,0.09,0.15,0.22,0.00,1007.48
0.378,-0.05,1.04,-0.08,0.22,-0.13,0.09,0.15,0.22,0.00,1007.48
0.432,-0.05,1.04,-0.08,-0.56,0.43,0.08,0.15,0.22,0.00,1007.48
0.437,0.07,1.04,-0.11,-0.56,0.43,0.08,0.15,0.22,0.00,1007.48
0.446,0.07,1.04,-0.11,-0.56,0.43,0.08,0.15,-0.03,0.07,1007.48
0.49,0.07,1.04,-0.11,0.53,0.48,-0.12,0.15,-0.03,0.07,1007.48
0.493,-0.01,0.99,-0.09,0.53,0.48,-0.12,0.15,-0.03,0.07,1007.48
0.496,-0.01,0.99,-0.09,0.53,0.48,-0.12,0.19,0.09,0.08,1007.48
0.541,-0.01,0.99,-0.09,-0.29,-0.04,0.24,0.19,0.09,0.08,1007.48
0.565,0.02,0.98,-0.18,-0.29,-0.04,0.24,0.19,0.09,0.08,1007.48
0.569,0.02,0.98,-0.18,-0.29,-0.04,0.24,0.16,-0.01,0.04,1007.48
0.571,0.02,0.98,-0.18,-0.29,-0.04,0.24,0.16,-0.01,0.04,1007.47
0.595,0.02,0.98,-0.18,-0.04,-0.15,-0.60,0.16,-0.01,0.04,1007.47
0.616,0.03,0.98,-0.16,-0.04,-0.15,-0.60,0.16,-0.01,0.04,1007.47
0.624,0.03,0.98,-0.16,-0.04,-0.15,-0.60,0.17,0.15,-0.05,1007.47
0.68,0.03,0.98,-0.16,0.06,-0.08,-0.33,0.17,0.15,-0.05,1007.47
0.683,-0.03,0.98,-0.17,0.06,-0.08,-0.33,0.17,0.15,-0.05,1007.47
0.685,-0.03,0.98,-0.17,0.06,-0.08,-0.33,0.17,0.18,-0.02,1007.47
0.742,-0.03,0.98,-0.17,-0.51,-0.12,-0.26,0.17,0.18,-0.02,1007.47
0.746,-0.06,0.97,-0.17,-0.51,-0.12,-0.26,0.17,0.18,-0.02,1007.47
0.748,-0.06,0.97,-0.17,-0.51,-0.12,-0.26,0.17,-0.02,0.12,1007.47
0.75,-0.06,0.97,-0.17,-0.51,-0.12,-0.26,0.17,-0.02,0.12,1007.46
0.776,-0.06,0.97,-0.17,-0.85,-0.14,-0.15,0.17,-0.02,0.12,1007.46
0.813,0.07,1.00,-0.09,-0.85,-0.14,-0.15,0.17,-0.02,0.12,1007.46
0.815,0.07,1.00,-0.09,-0.85,-0.14,-0.15,0.18,-0.20,0.22,1007.46
0.835,0.07,1.00,-0.09,0.37,0.12,0.67,0.18,-0.20,0.22,1007.46
0.861,0.03,0.99,-0.23,0.37,0.12,0.67,0.18,-0.20,0.22,1007.46
0.867,0.03,0.99,-0.23,0.37,0.12,0.67,0.16,-0.34,0.29,1007.46
0.897,0.03,0.99,-0.23,-0.20,0.05,-0.60,0.16,-0.34,0.29,1007.46
0.916,0.10,0.96,-0.25,-0.20,0.05,-0.60,0.16,-0.34,0.29,1007.46
0.918,0.10,0.96,-0.25,-0.20,0.05,-0.60,0.09,-0.23,0.17,1007.46
0.92,0.10,0.96,-0.25,-0.20,0.05,-0.60,0.09,-0.23,0.17,1007.44
0.957,0.10,0.96,-0.25,0.43,-0.23,-0.77,0.09,-0.23,0.17,1007.44
0.974,0.08,0.97,-0.20,0.43,-0.23,-0.77,0.09,-0.23,0.17,1007.44
0.977,0.08,0.97,-0.20,0.43,-0.23,-0.77,0.09,0.07,-0.04,1007.44
1.017,0.08,0.97,-0.20,0.18,-0.08,-0.25,0.09,0.07,-0.04,1007.44
1.062,0.02,0.98,-0.25,0.18,-0.08,-0.25,0.09,0.07,-0.04,1007.44
1.065,0.02,0.98,-0.25,0.18,-0.08,-0.25,0.11,0.03,0.06,1007.44
1.114,0.02,0.98,-0.25,-0.41,-0.00,-0.59,0.11,0.03,0.06,1007.44
1.118,0.08,0.97,-0.18,-0.41,-0.00,-0.59,0.11,0.03,0.06,1007.44
1.121,0.08,0.97,-0.18,-0.41,-0.00,-0.59,0.06,-0.01,0.04,1007.44
1.124,0.08,0.97,-0.18,-0.41,-0.00,-0.59,0.06,-0.01,0.04,1007.44
1.135,0.08,0.97,-0.18,0.17,-0.09,0.06,0.06,-0.01,0.04,1007.44
1.167,0.07,0.98,-0.18,0.17,-0.09,0.06,0.06,-0.01,0.04,1007.44
1.171,0.07,0.98,-0.18,0.17,-0.09,0.06,0.06,-0.15,0.08,1007.44
1.213,0.07,0.98,-0.18,0.02,0.00,0.13,0.06,-0.15,0.08,1007.44
1.219,0.05,0.97,-0.17,0.02,0.00,0.13,0.06,-0.15,0.08,1007.44
1.222,0.05,0.97,-0.17,0.02,0.00,0.13,0.11,-0.03,0.14,1007.44
