time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.004,0.06,1.00,-0.09,0.02,0.01,-0.03,0.01,-0.06,0.02,1007.50
0.043,0.06,0.99,-0.08,0.02,0.01,-0.03,0.01,-0.06,0.02,1007.50
0.046,0.06,0.99,-0.08,0.02,0.01,-0.03,0.01,-0.00,0.02,1007.50
0.093,0.06,0.99,-0.08,-0.05,-0.01,0.05,0.01,-0.00,0.02,1007.50
0.097,0.07,1.00,-0.06,-0.05,-0.01,0.05,0.01,-0.00,0.02,1007.50
0.101,0.07,1.00,-0.06,-0.05,-0.01,0.05,0.04,-0.04,0.03,1007.50
0.103,0.07,1.00,-0.06,-0.05,-0.01,0.05,0.04,-0.04,0.03,1007.52
0.144,0.07,1.00,-0.06,0.10,0.02,0.34,0.04,-0.04,0.03,1007.52
0.148,0.12,0.97,-0.08,0.10,0.02,0.34,0.04,-0.04,0.03,1007.52
0.151,0.12,0.97,-0.08,0.10,0.02,0.34,0.07,-0.03,-0.01,1007.52
0.198,0.12,0.97,-0.08,0.49,-0.21,0.14,0.07,-0.03,-0.01,1007.52
0.2,0.11,0.99,-0.11,0.49,-0.21,0.14,0.07,-0.03,-0.01,1007.52
0.203,0.11,0.99,-0.11,0.49,-0.21,0.14,0.06,-0.01,-0.03,1007.52
0.28,0.11,0.99,-0.11,0.45,-0.01,-0.11,0.06,-0.01,-0.03,1007.52
0.284,0.02,0.99,-0.08,0.45,-0.01,-0.11,0.06,-0.01,-0.03,1007.52
0.286,0.02,0.99,-0.08,0.45,-0.01,-0.11,0.07,-0.09,0.05,1007.52
0.288,0.02,0.99,-0.08,0.45,-0.01,-0.11,0.07,-0.09,0.05,1007.51
0.297,0.02,0.99,-0.08,-0.46,-0.00,0.23,0.07,-0.09,0.05,1007.51
0.33,0.08,1.00,-0.11,-0.46,-0.00,0.23,0.07,-0.09,0.05,1007.51
0.334,0.08,1.00,-0.11,-0.46,-0.00,0.23,0.11,-0.06,0.06,1007.51
0.383,0.08,1.00,-0.11,0.07,0.10,-0.02,0.11,-0.06,0.06,1007.51
0.387,0.17,0.99,-0.12,0.07,0.10,-0.02,0.11,-0.06,0.06,1007.51
0.389,0.17,0.99,-0.12,0.07,0.10,-0.02,0.11,0.12,-0.00,1007.51
0.419,0.17,0.99,-0.12,0.92,-0.01,-0.09,0.11,0.12,-0.00,1007.51
0.467,-0.01,1.04,-0.05,0.92,-0.01,-0.09,0.11,0.12,-0.00,1007.51
0.469,-0.01,1.04,-0.05,0.92,-0.01,-0.09,0.02,0.38,-0.18,1007.51
0.471,-0.01,1.04,-0.05,0.92,-0.01,-0.09,0.02,0.38,-0.18,1007.50
0.479,-0.01,1.04,-0.05,-0.75,0.45,0.61,0.02,0.38,-0.18,1007.50
0.516,0.13,1.00,-0.14,-0.75,0.45,0.61,0.02,0.38,-0.18,1007.50
0.519,0.13,1.00,-0.14,-0.75,0.45,0.61,0.15,-0.28,-0.07,1007.50
0.577,0.13,1.00,-0.14,0.72,0.08,-0.24,0.15,-0.28,-0.07,1007.50
0.581,-0.05,0.97,-0.17,0.72,0.08,-0.24,0.15,-0.28,-0.07,1007.50
0.582,-0.05,0.97,-0.17,0.72,0.08,-0.24,0.07,-0.31,-0.02,1007.50
0.612,-0.05,0.97,-0.17,-1.01,-0.17,-0.47,0.07,-0.31,-0.02,1007.50
0.625,0.12,0.99,-0.13,-1.01,-0.17,-0.47,0.07,-0.31,-0.02,1007.50
0.631,0.12,0.99,-0.13,-1.01,-0.17,-0.47,0.14,0.38,-0.33,1007.50
0.633,0.12,0.99,-0.13,-1.01,-0.17,-0.47,0.14,0.38,-0.33,1007.49
