time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.004,0.04,0.95,-0.09,0.14,-0.49,-0.78,-0.01,-0.25,-0.05,1006.34
0.021,0.07,1.01,0.01,0.14,-0.49,-0.78,-0.01,-0.25,-0.05,1006.34
0.023,0.07,1.01,0.01,0.14,-0.49,-0.78,-0.01,-0.01,-0.04,1006.34
0.066,0.07,1.01,0.01,0.51,0.12,0.13,-0.01,-0.01,-0.04,1006.34
0.094,0.03,1.00,0.01,0.51,0.12,0.13,-0.01,-0.01,-0.04,1006.34
0.097,0.03,1.00,0.01,0.51,0.12,0.13,0.04,-0.05,-0.05,1006.34
0.099,0.03,1.00,0.01,0.51,0.12,0.13,0.04,-0.05,-0.05,1006.32
0.124,0.03,1.00,0.01,0.11,-0.02,0.12,0.04,-0.05,-0.05,1006.32
0.141,0.01,0.99,0.00,0.11,-0.02,0.12,0.04,-0.05,-0.05,1006.32
0.144,0.01,0.99,0.00,0.11,-0.02,0.12,0.03,-0.09,-0.03,1006.32
0.184,0.01,0.99,0.00,-0.10,-0.15,0.07,0.03,-0.09,-0.03,1006.32
0.202,0.03,1.00,-0.00,-0.10,-0.15,0.07,0.03,-0.09,-0.03,1006.32
0.204,0.03,1.00,-0.00,-0.10,-0.15,0.07,0.04,-0.09,-0.01,1006.32
0.248,0.03,1.00,-0.00,0.10,0.01,0.05,0.04,-0.09,-0.01,1006.32
0.265,0.01,1.00,0.00,0.10,0.01,0.05,0.04,-0.09,-0.01,1006.32
0.269,0.01,1.00,0.00,0.10,0.01,0.05,0.02,-0.08,-0.02,1006.32
0.271,0.01,1.00,0.00,0.10,0.01,0.05,0.02,-0.08,-0.02,1006.32
0.315,0.01,1.00,0.00,-0.01,-0.05,0.12,0.02,-0.08,-0.02,1006.32
0.322,0.01,1.00,-0.01,-0.01,-0.05,0.12,0.02,-0.08,-0.02,1006.32
0.324,0.01,1.00,-0.01,-0.01,-0.05,0.12,0.02,-0.06,-0.02,1006.32
