time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.013,-0.07,0.88,0.50,0.44,0.21,-0.04,-0.04,-0.02,-0.05,974.62
0.052,-0.09,0.84,0.48,0.44,0.21,-0.04,-0.04,-0.02,-0.05,974.62
0.054,-0.09,0.84,0.48,0.44,0.21,-0.04,-0.02,-0.03,-0.00,974.62
0.077,-0.09,0.84,0.48,0.44,0.21,-0.04,-0.02,-0.03,-0.00,974.62
0.079,-0.09,0.84,0.48,0.20,-0.22,-0.17,-0.02,-0.03,-0.00,974.62
0.094,-0.16,0.85,0.50,0.20,-0.22,-0.17,-0.02,-0.03,-0.00,974.62
0.096,-0.16,0.85,0.50,0.20,-0.22,-0.17,-0.02,-0.07,-0.09,974.62
0.136,-0.16,0.85,0.50,-0.46,-0.10,-0.07,-0.02,-0.07,-0.09,974.62
0.172,-0.08,0.85,0.48,-0.46,-0.10,-0.07,-0.02,-0.07,-0.09,974.62
0.176,-0.08,0.85,0.48,-0.46,-0.10,-0.07,0.01,-0.04,-0.05,974.62
0.2,-0.08,0.85,0.48,0.32,-0.02,-0.31,0.01,-0.04,-0.05,974.62
0.225,-0.10,0.86,0.49,0.32,-0.02,-0.31,0.01,-0.04,-0.05,974.62
0.227,-0.10,0.86,0.49,0.32,-0.02,-0.31,0.02,-0.09,-0.04,974.62
0.279,-0.10,0.86,0.49,0.32,-0.02,-0.31,0.02,-0.09,-0.04,974.61
0.282,-0.10,0.86,0.49,0.13,0.01,-0.14,0.02,-0.09,-0.04,974.61
0.285,-0.06,0.83,0.48,0.13,0.01,-0.14,0.02,-0.09,-0.04,974.61
0.288,-0.06,0.83,0.48,0.13,0.01,-0.14,0.07,-0.01,-0.05,974.61
0.323,-0.06,0.83,0.48,0.53,-0.23,-0.28,0.07,-0.01,-0.05,974.61
0.358,-0.11,0.87,0.47,0.53,-0.23,-0.28,0.07,-0.01,-0.05,974.61
0.362,-0.11,0.87,0.47,0.53,-0.23,-0.28,0.10,0.09,-0.07,974.61
0.428,-0.11,0.87,0.47,0.14,0.08,-0.28,0.10,0.09,-0.07,974.61
0.431,-0.11,0.85,0.47,0.14,0.08,-0.28,0.10,0.09,-0.07,974.61
0.433,-0.11,0.85,0.47,0.14,0.08,-0.28,0.06,-0.01,-0.04,974.61
0.435,-0.11,0.85,0.47,0.14,0.08,-0.28,0.06,-0.01,-0.04,974.61
0.438,-0.11,0.85,0.47,0.18,-0.07,-0.26,0.06,-0.01,-0.04,974.61
0.449,-0.06,0.81,0.48,0.18,-0.07,-0.26,0.06,-0.01,-0.04,974.61
0.451,-0.06,0.81,0.48,0.18,-0.07,-0.26,0.11,-0.09,-0.12,974.61
0.538,-0.06,0.81,0.48,0.60,-0.48,-0.20,0.11,-0.09,-0.12,974.61
0.543,-0.02,0.78,0.43,0.60,-0.48,-0.20,0.11,-0.09,-0.12,974.61
0.545,-0.02,0.78,0.43,0.60,-0.48,-0.20,0.32,-0.07,-0.30,974.61
0.552,-0.02,0.78,0.43,1.06,-0.77,-0.59,0.32,-0.07,-0.30,974.61
0.598,-0.15,0.87,0.40,1.06,-0.77,-0.59,0.32,-0.07,-0.30,974.61
0.603,-0.15,0.87,0.40,1.06,-0.77,-0.59,0.61,0.41,-0.52,974.61
0.613,-0.15,0.87,0.40,1.06,-0.77,-0.59,0.61,0.41,-0.52,974.63
0.616,-0.15,0.87,0.40,-0.01,-0.05,-0.68,0.61,0.41,-0.52,974.63
0.647,-0.10,0.95,0.35,-0.01,-0.05,-0.68,0.61,0.41,-0.52,974.63
0.661,-0.10,0.95,0.35,-0.01,-0.05,-0.68,0.74,0.97,-0.83,974.63
0.691,-0.10,0.95,0.35,1.53,0.57,-0.34,0.74,0.97,-0.83,974.63
0.694,-0.36,1.00,0.22,1.53,0.57,-0.34,0.74,0.97,-0.83,974.63
0.695,-0.36,1.00,0.22,1.53,0.57,-0.34,0.54,0.77,-0.91,974.63
0.75,-0.36,1.00,0.22,-0.50,1.14,-1.24,0.54,0.77,-0.91,974.63
0.755,-0.25,0.86,0.31,-0.50,1.14,-1.24,0.54,0.77,-0.91,974.63
0.757,-0.25,0.86,0.31,-0.50,1.14,-1.24,0.24,0.45,-0.82,974.63
0.793,-0.25,0.86,0.31,-0.50,1.14,-1.24,0.24,0.45,-0.82,974.64
0.797,-0.25,0.86,0.31,1.05,-0.11,-0.23,0.24,0.45,-0.82,974.64
0.831,-0.33,1.05,0.28,1.05,-0.11,-0.23,0.24,0.45,-0.82,974.64
0.835,-0.33,1.05,0.28,1.05,-0.11,-0.23,0.40,0.92,-0.91,974.64
0.908,-0.33,1.05,0.28,0.78,1.83,-0.17,0.40,0.92,-0.91,974.64
0.917,-0.27,0.96,0.26,0.78,1.83,-0.17,0.40,0.92,-0.91,974.64
0.923,-0.27,0.96,0.26,0.78,1.83,-0.17,0.20,0.33,-0.37,974.64
