time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.006,-0.10,0.99,0.15,0.11,-0.21,-0.12,0.04,0.05,-0.04,974.64
0.007,-0.10,0.99,0.15,0.20,0.04,-0.10,0.04,0.05,-0.04,974.64
0.009,-0.08,1.00,0.14,0.20,0.04,-0.10,0.04,0.05,-0.04,974.64
0.011,-0.08,1.00,0.14,0.20,0.04,-0.10,-0.00,0.06,-0.02,974.64
0.101,-0.08,1.00,0.14,0.35,0.20,-0.18,-0.00,0.06,-0.02,974.64
0.108,-0.08,0.97,0.13,0.35,0.20,-0.18,-0.00,0.06,-0.02,974.64
0.115,-0.08,0.97,0.13,0.35,0.20,-0.18,-0.04,0.01,-0.03,974.64
0.12,-0.08,0.97,0.13,0.32,-0.11,-0.41,-0.04,0.01,-0.03,974.64
0.122,-0.12,0.98,0.17,0.32,-0.11,-0.41,-0.04,0.01,-0.03,974.64
0.124,-0.12,0.98,0.17,0.32,-0.11,-0.41,0.02,0.06,-0.07,974.64
0.159,-0.12,0.98,0.17,0.32,-0.11,-0.41,0.02,0.06,-0.07,974.64
0.161,-0.12,0.98,0.17,0.00,0.00,0.05,0.02,0.06,-0.07,974.64
0.199,-0.09,0.98,0.14,0.00,0.00,0.05,0.02,0.06,-0.07,974.64
0.201,-0.09,0.98,0.14,0.00,0.00,0.05,0.08,0.05,-0.08,974.64
0.237,-0.09,0.98,0.14,0.35,0.04,-0.17,0.08,0.05,-0.08,974.64
0.243,-0.09,0.99,0.13,0.35,0.04,-0.17,0.08,0.05,-0.08,974.64
0.249,-0.09,0.99,0.13,0.35,0.04,-0.17,0.07,0.03,-0.08,974.64
0.307,-0.09,0.99,0.13,0.42,0.14,-0.23,0.07,0.03,-0.08,974.64
0.312,-0.10,0.99,0.13,0.42,0.14,-0.23,0.07,0.03,-0.08,974.64
0.315,-0.10,0.99,0.13,0.42,0.14,-0.23,0.01,-0.02,-0.08,974.64
0.352,-0.10,0.99,0.13,0.42,0.14,-0.23,0.01,-0.02,-0.08,974.63
0.354,-0.10,0.99,0.13,0.32,0.09,-0.24,0.01,-0.02,-0.08,974.63
0.356,-0.12,0.97,0.13,0.32,0.09,-0.24,0.01,-0.02,-0.08,974.63
0.358,-0.12,0.97,0.13,0.32,0.09,-0.24,-0.02,-0.02,-0.06,974.63
0.399,-0.12,0.97,0.13,0.22,-0.08,-0.26,-0.02,-0.02,-0.06,974.63
0.422,-0.11,0.97,0.14,0.22,-0.08,-0.26,-0.02,-0.02,-0.06,974.63
0.426,-0.11,0.97,0.14,0.22,-0.08,-0.26,-0.01,-0.01,-0.03,974.63
0.474,-0.11,0.97,0.14,0.30,-0.06,-0.17,-0.01,-0.01,-0.03,974.63
0.484,-0.12,0.98,0.13,0.30,-0.06,-0.17,-0.01,-0.01,-0.03,974.63
0.486,-0.12,0.98,0.13,0.30,-0.06,-0.17,-0.02,-0.02,-0.02,974.63
0.551,-0.12,0.98,0.13,0.30,-0.06,-0.17,-0.02,-0.02,-0.02,974.63
0.556,-0.12,0.98,0.13,0.20,0.04,-0.30,-0.02,-0.02,-0.02,974.63
0.559,-0.11,0.99,0.15,0.20,0.04,-0.30,-0.02,-0.02,-0.02,974.63
0.561,-0.11,0.99,0.15,0.20,0.04,-0.30,-0.04,0.02,-0.05,974.63
0.616,-0.11,0.99,0.15,0.35,0.11,-0.19,-0.04,0.02,-0.05,974.63
0.624,-0.13,0.97,0.14,0.35,0.11,-0.19,-0.04,0.02,-0.05,974.63
0.626,-0.13,0.97,0.14,0.35,0.11,-0.19,-0.01,0.02,-0.02,974.63
0.64,-0.13,0.97,0.14,0.10,-0.09,-0.23,-0.01,0.02,-0.02,974.63
0.672,-0.11,0.97,0.16,0.10,-0.09,-0.23,-0.01,0.02,-0.02,974.63
0.675,-0.11,0.97,0.16,0.10,-0.09,-0.23,-0.03,0.01,-0.03,974.63
0.734,-0.11,0.97,0.16,0.10,-0.09,-0.23,-0.03,0.01,-0.03,974.63
