time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.013,0.04,0.99,-0.22,0.34,0.07,0.16,0.11,-0.32,0.08,1006.35
0.015,0.04,0.99,-0.22,0.34,0.07,0.16,-0.02,-0.01,0.01,1006.35
0.018,0.04,0.99,-0.22,0.34,0.07,0.16,-0.02,-0.01,0.01,1006.36
0.026,0.04,0.99,-0.22,0.22,0.06,-0.15,-0.02,-0.01,0.01,1006.36
0.103,0.01,0.99,-0.21,0.22,0.06,-0.15,-0.02,-0.01,0.01,1006.36
0.106,0.01,0.99,-0.21,0.22,0.06,-0.15,-0.00,-0.01,-0.05,1006.36
0.109,0.01,0.99,-0.21,-0.09,0.06,-0.06,-0.00,-0.01,-0.05,1006.36
0.134,0.00,0.99,-0.20,-0.09,0.06,-0.06,-0.00,-0.01,-0.05,1006.36
0.137,0.00,0.99,-0.20,-0.09,0.06,-0.06,0.01,0.01,-0.07,1006.36
0.138,0.00,0.99,-0.20,-0.12,0.06,0.02,0.01,0.01,-0.07,1006.36
0.228,0.01,0.98,-0.20,-0.12,0.06,0.02,0.01,0.01,-0.07,1006.36
0.231,0.01,0.98,-0.20,-0.12,0.06,0.02,0.02,0.00,-0.02,1006.36
0.233,0.01,0.98,-0.20,-0.12,0.06,0.02,0.02,0.00,-0.02,1006.34
0.234,0.01,0.98,-0.20,0.04,0.01,0.03,0.02,0.00,-0.02,1006.34
0.266,0.03,1.00,-0.20,0.04,0.01,0.03,0.02,0.00,-0.02,1006.34
0.269,0.03,1.00,-0.20,0.04,0.01,0.03,-0.00,0.02,-0.01,1006.34
0.271,0.03,1.00,-0.20,0.23,0.19,-0.01,-0.00,0.02,-0.01,1006.34
0.328,0.01,0.99,-0.20,0.23,0.19,-0.01,-0.00,0.02,-0.01,1006.34
0.33,0.01,0.99,-0.20,0.23,0.19,-0.01,0.01,-0.01,0.05,1006.34
0.332,0.01,0.99,-0.20,0.09,0.06,-0.04,0.01,-0.01,0.05,1006.34
0.393,0.01,0.96,-0.21,0.09,0.06,-0.04,0.01,-0.01,0.05,1006.34
0.395,0.01,0.96,-0.21,0.09,0.06,-0.04,0.00,0.04,0.03,1006.34
0.396,0.01,0.96,-0.21,0.09,0.06,-0.04,0.00,0.04,0.03,1006.32
0.4,0.01,0.96,-0.21,-0.01,-0.23,-0.06,0.00,0.04,0.03,1006.32
0.433,0.03,0.99,-0.19,-0.01,-0.23,-0.06,0.00,0.04,0.03,1006.32
0.437,0.03,0.99,-0.19,-0.01,-0.23,-0.06,0.03,-0.01,0.05,1006.32
0.439,0.03,0.99,-0.19,0.13,0.10,0.09,0.03,-0.01,0.05,1006.32
0.497,0.03,0.98,-0.20,0.13,0.10,0.09,0.03,-0.01,0.05,1006.32
0.5,0.03,0.98,-0.20,0.13,0.10,0.09,0.03,0.02,0.01,1006.32
0.502,0.03,0.98,-0.20,0.17,0.00,-0.02,0.03,0.02,0.01,1006.32
0.562,0.03,0.97,-0.18,0.17,0.00,-0.02,0.03,0.02,0.01,1006.32
0.565,0.03,0.97,-0.18,0.17,0.00,-0.02,0.03,-0.01,0.02,1006.32
0.567,0.03,0.97,-0.18,0.17,0.00,-0.02,0.03,-0.01,0.02,1006.31
0.569,0.03,0.97,-0.18,0.16,-0.06,0.19,0.03,-0.01,0.02,1006.31
0.623,0.10,0.98,-0.20,0.16,-0.06,0.19,0.03,-0.01,0.02,1006.31
0.632,0.10,0.98,-0.20,0.16,-0.06,0.19,0.01,-0.01,-0.04,1006.31
0.635,0.10,0.98,-0.20,0.80,-0.04,0.04,0.01,-0.01,-0.04,1006.31
0.689,0.04,0.98,-0.19,0.80,-0.04,0.04,0.01,-0.01,-0.04,1006.31
0.693,0.04,0.98,-0.19,0.80,-0.04,0.04,0.04,-0.04,-0.00,1006.31
0.695,0.04,0.98,-0.19,0.19,0.03,0.10,0.04,-0.04,-0.00,1006.31
0.734,0.03,0.99,-0.21,0.19,0.03,0.10,0.04,-0.04,-0.00,1006.31
0.736,0.03,0.99,-0.21,0.19,0.03,0.10,0.04,0.02,-0.06,1006.31
0.74,0.03,0.99,-0.21,0.19,0.03,0.10,0.04,0.02,-0.06,1006.30
0.742,0.03,0.99,-0.21,0.17,0.13,-0.09,0.04,0.02,-0.06,1006.30
0.794,0.02,0.98,-0.20,0.17,0.13,-0.09,0.04,0.02,-0.06,1006.30
0.796,0.02,0.98,-0.20,0.17,0.13,-0.09,0.02,-0.02,-0.01,1006.30
0.798,0.02,0.98,-0.20,0.03,0.04,0.04,0.02,-0.02,-0.01,1006.30
0.885,0.02,0.99,-0.21,0.03,0.04,0.04,0.02,-0.02,-0.01,1006.30
0.888,0.02,0.99,-0.21,0.03,0.04,0.04,0.03,0.01,-0.02,1006.30
0.89,0.02,0.99,-0.21,0.04,0.09,-0.04,0.03,0.01,-0.02,1006.30
0.931,0.02,0.99,-0.21,0.04,0.09,-0.04,0.03,0.01,-0.02,1006.30
0.936,0.02,0.99,-0.21,0.04,0.09,-0.04,0.03,0.00,-0.01,1006.30
0.938,0.02,0.99,-0.21,0.04,0.09,-0.04,0.03,0.00,-0.01,1006.30
0.941,0.02,0.99,-0.21,0.06,0.06,-0.05,0.03,0.00,-0.01,1006.30
0.988,0.02,0.99,-0.21,0.06,0.06,-0.05,0.03,0.00,-0.01,1006.30
0.992,0.02,0.99,-0.21,0.06,0.06,-0.05,0.03,0.01,-0.01,1006.30
0.994,0.02,0.99,-0.21,0.10,0.07,0.01,0.03,0.01,-0.01,1006.30
1.034,0.02,0.99,-0.21,0.10,0.07,0.01,0.03,0.01,-0.01,1006.30
1.038,0.02,0.99,-0.21,0.10,0.07,0.01,0.03,-0.01,-0.01,1006.30
1.043,0.02,0.99,-0.21,0.04,0.08,0.02,0.03,-0.01,-0.01,1006.30
1.101,0.02,0.98,-0.21,0.04,0.08,0.02,0.03,-0.01,-0.01,1006.30
1.105,0.02,0.98,-0.21,0.04,0.08,0.02,0.03,0.00,-0.00,1006.30
