time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.006,-0.15,0.98,-0.16,0.02,0.06,0.06,-0.08,-0.17,0.15,1006.27
0.008,-0.17,0.95,-0.17,0.02,0.06,0.06,-0.08,-0.17,0.15,1006.27
0.01,-0.17,0.95,-0.17,0.02,0.06,0.06,-0.07,-0.05,-0.03,1006.27
0.06,-0.17,0.95,-0.17,-0.17,-0.21,-0.06,-0.07,-0.05,-0.03,1006.27
0.068,-0.15,0.97,-0.15,-0.17,-0.21,-0.06,-0.07,-0.05,-0.03,1006.27
0.07,-0.15,0.97,-0.15,-0.17,-0.21,-0.06,-0.10,-0.04,0.03,1006.27
0.107,-0.15,0.97,-0.15,-0.03,-0.11,0.03,-0.10,-0.04,0.03,1006.27
0.135,-0.18,0.94,-0.11,-0.03,-0.11,0.03,-0.10,-0.04,0.03,1006.27
0.137,-0.18,0.94,-0.11,-0.03,-0.11,0.03,-0.06,-0.04,0.00,1006.27
0.139,-0.18,0.94,-0.11,-0.03,-0.11,0.03,-0.06,-0.04,0.00,1006.26
0.224,-0.18,0.94,-0.11,-0.29,-0.34,0.41,-0.06,-0.04,0.00,1006.26
0.227,-0.12,0.99,-0.16,-0.29,-0.34,0.41,-0.06,-0.04,0.00,1006.26
0.233,-0.12,0.99,-0.16,-0.29,-0.34,0.41,-0.05,-0.03,-0.01,1006.26
0.235,-0.12,0.99,-0.16,0.22,0.07,-0.12,-0.05,-0.03,-0.01,1006.26
0.245,-0.15,0.98,-0.11,0.22,0.07,-0.12,-0.05,-0.03,-0.01,1006.26
0.25,-0.15,0.98,-0.11,0.22,0.07,-0.12,-0.04,-0.02,0.02,1006.26
0.321,-0.15,0.98,-0.11,-0.07,-0.03,0.28,-0.04,-0.02,0.02,1006.26
0.323,-0.14,0.98,-0.13,-0.07,-0.03,0.28,-0.04,-0.02,0.02,1006.26
0.325,-0.14,0.98,-0.13,-0.07,-0.03,0.28,-0.02,-0.02,0.01,1006.26
0.334,-0.14,0.98,-0.13,-0.07,-0.03,0.28,-0.02,-0.02,0.01,1006.26
0.368,-0.14,0.98,-0.13,0.02,-0.00,0.12,-0.02,-0.02,0.01,1006.26
0.37,-0.14,0.99,-0.12,0.02,-0.00,0.12,-0.02,-0.02,0.01,1006.26
0.374,-0.14,0.99,-0.12,0.02,-0.00,0.12,-0.01,-0.02,0.02,1006.26
0.413,-0.14,0.99,-0.12,0.06,0.04,0.09,-0.01,-0.02,0.02,1006.26
0.426,-0.15,0.98,-0.12,0.06,0.04,0.09,-0.01,-0.02,0.02,1006.26
0.429,-0.15,0.98,-0.12,0.06,0.04,0.09,0.01,-0.01,0.04,1006.26
0.469,-0.15,0.98,-0.12,-0.08,-0.03,0.09,0.01,-0.01,0.04,1006.26
0.508,-0.13,0.98,-0.13,-0.08,-0.03,0.09,0.01,-0.01,0.04,1006.26
0.511,-0.13,0.98,-0.13,-0.08,-0.03,0.09,0.02,0.00,0.01,1006.26
0.514,-0.13,0.98,-0.13,-0.08,-0.03,0.09,0.02,0.00,0.01,1006.26
0.528,-0.13,0.98,-0.13,0.11,-0.02,0.01,0.02,0.00,0.01,1006.26
0.554,-0.13,0.99,-0.13,0.11,-0.02,0.01,0.02,0.00,0.01,1006.26
0.558,-0.13,0.99,-0.13,0.11,-0.02,0.01,0.02,0.01,-0.01,1006.26
0.59,-0.13,0.99,-0.13,0.12,0.04,0.03,0.02,0.01,-0.01,1006.26
0.606,-0.14,0.99,-0.13,0.12,0.04,0.03,0.02,0.01,-0.01,1006.26
0.608,-0.14,0.99,-0.13,0.12,0.04,0.03,0.02,-0.00,-0.02,1006.26
0.651,-0.14,0.99,-0.13,0.06,0.06,0.07,0.02,-0.00,-0.02,1006.26
0.701,-0.14,0.98,-0.13,0.06,0.06,0.07,0.02,-0.00,-0.02,1006.26
0.705,-0.14,0.98,-0.13,0.06,0.06,0.07,0.02,0.01,-0.02,1006.26
0.707,-0.14,0.98,-0.13,0.06,0.06,0.07,0.02,0.01,-0.02,1006.26
0.709,-0.14,0.98,-0.13,0.02,0.02,0.06,0.02,0.01,-0.02,1006.26
0.726,-0.15,0.98,-0.13,0.02,0.02,0.06,0.02,0.01,-0.02,1006.26
0.728,-0.15,0.98,-0.13,0.02,0.02,0.06,0.03,0.01,-0.01,1006.26
0.768,-0.15,0.98,-0.13,-0.07,0.03,0.07,0.03,0.01,-0.01,1006.26
0.829,-0.14,0.99,-0.13,-0.07,0.03,0.07,0.03,0.01,-0.01,1006.26
0.836,-0.14,0.99,-0.13,-0.07,0.03,0.07,0.03,0.02,-0.02,1006.26
0.838,-0.14,0.99,-0.13,0.09,0.04,0.06,0.03,0.02,-0.02,1006.26
0.847,-0.15,0.98,-0.12,0.09,0.04,0.06,0.03,0.02,-0.02,1006.26
0.851,-0.15,0.98,-0.12,0.09,0.04,0.06,0.03,0.01,-0.01,1006.26
0.853,-0.15,0.98,-0.12,0.09,0.04,0.06,0.03,0.01,-0.01,1006.27
0.901,-0.15,0.98,-0.12,0.01,-0.02,0.14,0.03,0.01,-0.01,1006.27
0.905,-0.14,0.98,-0.14,0.01,-0.02,0.14,0.03,0.01,-0.01,1006.27
0.908,-0.14,0.98,-0.14,0.01,-0.02,0.14,0.02,0.01,-0.01,1006.27
0.966,-0.14,0.98,-0.14,0.04,0.02,-0.07,0.02,0.01,-0.01,1006.27
0.969,-0.16,0.98,-0.14,0.04,0.02,-0.07,0.02,0.01,-0.01,1006.27
0.971,-0.16,0.98,-0.14,0.04,0.02,-0.07,0.00,0.00,0.01,1006.27
1.019,-0.16,0.98,-0.14,-0.12,0.00,-0.08,0.00,0.00,0.01,1006.27
1.025,-0.14,0.98,-0.14,-0.12,0.00,-0.08,0.00,0.00,0.01,1006.27
1.027,-0.14,0.98,-0.14,-0.12,0.00,-0.08,0.00,0.00,0.04,1006.27
1.029,-0.14,0.98,-0.14,-0.12,0.00,-0.08,0.00,0.00,0.04,1006.28
1.087,-0.14,0.98,-0.14,0.06,-0.02,-0.02,0.00,0.00,0.04,1006.28
1.09,-0.14,0.98,-0.14,0.06,-0.02,-0.02,0.00,0.00,0.04,1006.28
1.091,-0.14,0.98,-0.14,0.06,-0.02,-0.02,0.00,-0.00,0.02,1006.28
1.133,-0.14,0.98,-0.14,0.01,0.03,-0.02,0.00,-0.00,0.02,1006.28
1.146,-0.14,0.99,-0.13,0.01,0.03,-0.02,0.00,-0.00,0.02,1006.28
1.148,-0.14,0.99,-0.13,0.01,0.03,-0.02,-0.00,-0.02,0.02,1006.28
1.19,-0.14,0.99,-0.13,0.08,0.08,0.03,-0.00,-0.02,0.02,1006.28
1.23,-0.14,0.98,-0.12,0.08,0.08,0.03,-0.00,-0.02,0.02,1006.28
1.236,-0.14,0.98,-0.12,0.08,0.08,0.03,-0.01,-0.00,0.00,1006.28
1.239,-0.14,0.98,-0.12,0.08,0.08,0.03,-0.01,-0.00,0.00,1006.29
1.248,-0.14,0.98,-0.12,0.04,-0.00,0.11,-0.01,-0.00,0.00,1006.29
1.272,-0.15,0.98,-0.13,0.04,-0.00,0.11,-0.01,-0.00,0.00,1006.29
1.275,-0.15,0.98,-0.13,0.04,-0.00,0.11,-0.00,0.00,0.01,1006.29
1.324,-0.15,0.98,-0.13,-0.04,-0.02,0.04,-0.00,0.00,0.01,1006.29
1.327,-0.10,1.01,-0.15,-0.04,-0.02,0.04,-0.00,0.00,0.01,1006.29
1.329,-0.10,1.01,-0.15,-0.04,-0.02,0.04,-0.03,0.02,0.00,1006.29
1.388,-0.10,1.01,-0.15,0.41,0.23,-0.22,-0.03,0.02,0.00,1006.29
1.391,-0.14,0.99,-0.12,0.41,0.23,-0.22,-0.03,0.02,0.00,1006.29
1.394,-0.14,0.99,-0.12,0.41,0.23,-0.22,-0.08,-0.00,-0.05,1006.29
1.396,-0.14,0.99,-0.12,0.41,0.23,-0.22,-0.08,-0.00,-0.05,1006.30
1.474,-0.14,0.99,-0.12,0.05,0.09,-0.01,-0.08,-0.00,-0.05,1006.30
1.477,-0.21,0.97,-0.10,0.05,0.09,-0.01,-0.08,-0.00,-0.05,1006.30
1.479,-0.21,0.97,-0.10,0.05,0.09,-0.01,-0.09,-0.01,-0.01,1006.30
1.489,-0.21,0.97,-0.10,-0.58,-0.13,0.12,-0.09,-0.01,-0.01,1006.30
1.529,-0.21,0.99,-0.09,-0.58,-0.13,0.12,-0.09,-0.01,-0.01,1006.30
1.532,-0.21,0.99,-0.09,-0.58,-0.13,0.12,-0.05,-0.02,0.27,1006.30
1.596,-0.21,0.99,-0.09,-0.66,-0.00,0.19,-0.05,-0.02,0.27,1006.30
1.604,-0.29,0.96,-0.05,-0.66,-0.00,0.19,-0.05,-0.02,0.27,1006.30
1.606,-0.29,0.96,-0.05,-0.66,-0.00,0.19,0.04,0.05,0.85,1006.30
1.61,-0.29,0.96,-0.05,-0.66,-0.00,0.19,0.04,0.05,0.85,1006.31
1.612,-0.29,0.96,-0.05,-1.82,-0.27,0.45,0.04,0.05,0.85,1006.31
1.643,-0.11,1.00,-0.11,-1.82,-0.27,0.45,0.04,0.05,0.85,1006.31
1.647,-0.11,1.00,-0.11,-1.82,-0.27,0.45,0.08,-0.29,0.87,1006.31
1.719,-0.11,1.00,-0.11,-0.38,0.06,-0.14,0.08,-0.29,0.87,1006.31
1.725,-0.22,1.57,0.12,-0.38,0.06,-0.14,0.08,-0.29,0.87,1006.31
1.73,-0.22,1.57,0.12,-0.38,0.06,-0.14,-0.14,-2.37,0.45,1006.31
1.735,-0.22,1.57,0.12,-1.70,5.65,1.85,-0.14,-2.37,0.45,1006.31
1.768,0.13,1.03,0.20,-1.70,5.65,1.85,-0.14,-2.37,0.45,1006.31
1.771,0.13,1.03,0.20,-1.70,5.65,1.85,-0.41,-3.43,0.39,1006.31
1.773,0.13,1.03,0.20,-1.70,5.65,1.85,-0.41,-3.43,0.39,1006.30
1.831,0.13,1.03,0.20,1.36,0.34,2.37,-0.41,-3.43,0.39,1006.30
1.837,0.17,0.90,0.09,1.36,0.34,2.37,-0.41,-3.43,0.39,1006.30
1.839,0.17,0.90,0.09,1.36,0.34,2.37,-0.55,-2.94,0.13,1006.30
1.856,0.17,0.90,0.09,1.51,-1.01,0.75,-0.55,-2.94,0.13,1006.30
1.871,0.11,0.87,-0.15,1.51,-1.01,0.75,-0.55,-2.94,0.13,1006.30
1.874,0.11,0.87,-0.15,1.51,-1.01,0.75,-0.43,-2.47,0.41,1006.30
1.923,0.11,0.87,-0.15,0.66,-1.25,-1.70,-0.43,-2.47,0.41,1006.30
1.927,0.05,0.89,-0.32,0.66,-1.25,-1.70,-0.43,-2.47,0.41,1006.30
1.929,0.05,0.89,-0.32,0.66,-1.25,-1.70,-0.16,-1.82,0.22,1006.30
1.931,0.05,0.89,-0.32,0.66,-1.25,-1.70,-0.16,-1.82,0.22,1006.30
1.974,0.05,0.89,-0.32,-0.02,-1.10,-3.27,-0.16,-1.82,0.22,1006.30
2.002,-0.24,0.81,-0.51,-0.02,-1.10,-3.27,-0.16,-1.82,0.22,1006.30
2.008,-0.24,0.81,-0.51,-0.02,-1.10,-3.27,0.30,-1.32,-0.43,1006.30
