time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.006,0.08,0.99,0.07,-0.07,0.00,0.02,0.04,-0.06,-0.00,1012.82
0.025,0.08,0.99,0.07,-0.07,0.00,0.02,0.02,-0.08,0.01,1012.82
0.025,0.09,0.99,0.06,-0.07,0.00,0.02,0.02,-0.08,0.01,1012.82
0.026,0.09,0.99,0.06,0.08,0.01,-0.12,0.02,-0.08,0.01,1012.82
0.064,0.09,0.99,0.06,0.08,0.01,-0.12,-0.01,0.01,0.01,1012.82
0.065,0.09,0.99,0.06,0.08,0.00,-0.00,-0.01,0.01,0.01,1012.82
0.065,0.09,0.99,0.06,0.08,0.00,-0.00,-0.01,0.01,0.01,1012.82
0.065,0.09,0.99,0.07,0.08,0.00,-0.00,-0.01,0.01,0.01,1012.82
0.105,0.09,0.99,0.07,0.08,0.00,-0.00,-0.00,0.02,0.00,1012.82
0.106,0.07,0.99,0.07,0.08,0.00,-0.00,-0.00,0.02,0.00,1012.82
0.107,0.07,0.99,0.07,-0.16,-0.01,0.04,-0.00,0.02,0.00,1012.82
0.126,0.07,0.99,0.07,-0.16,-0.01,0.04,-0.00,0.02,0.00,1012.83
0.147,0.07,0.99,0.07,-0.16,-0.01,0.04,0.01,-0.04,0.01,1012.83
0.148,0.07,0.99,0.07,0.01,0.00,-0.02,0.01,-0.04,0.01,1012.83
0.148,0.08,0.99,0.07,0.01,0.00,-0.02,0.01,-0.04,0.01,1012.83
0.184,0.08,0.99,0.07,0.01,0.00,-0.02,0.01,-0.02,0.01,1012.83
0.185,0.08,0.99,0.07,0.06,0.00,-0.04,0.01,-0.02,0.01,1012.83
0.186,0.08,0.99,0.07,0.06,0.00,-0.04,0.01,-0.02,0.01,1012.83
0.187,0.09,0.99,0.06,0.06,0.00,-0.04,0.01,-0.02,0.01,1012.83
0.231,0.09,0.99,0.06,0.06,0.00,-0.04,0.00,0.01,0.01,1012.83
0.232,0.09,0.99,0.06,-0.02,-0.00,0.01,0.00,0.01,0.01,1012.83
0.233,0.08,0.99,0.07,-0.02,-0.00,0.01,0.00,0.01,0.01,1012.83
0.246,0.08,0.99,0.07,-0.02,-0.00,0.01,0.00,0.01,0.01,1012.84
0.263,0.08,0.99,0.07,-0.02,-0.00,0.01,0.00,-0.01,0.01,1012.84
0.264,0.08,0.99,0.07,-0.02,-0.00,0.01,0.00,-0.01,0.01,1012.84
0.265,0.08,0.99,0.07,-0.03,-0.01,0.02,0.00,-0.01,0.01,1012.84
0.303,0.08,0.99,0.07,-0.03,-0.01,0.02,0.01,-0.02,0.01,1012.84
0.307,0.08,0.99,0.07,0.02,-0.02,-0.02,0.01,-0.02,0.01,1012.84
0.309,0.08,0.99,0.07,0.02,-0.02,-0.02,0.01,-0.02,0.01,1012.83
0.311,0.09,0.99,0.06,0.02,-0.02,-0.02,0.01,-0.02,0.01,1012.83
0.351,0.09,0.99,0.06,0.02,-0.02,-0.02,0.01,-0.01,0.01,1012.83
0.354,0.09,0.99,0.07,0.02,-0.02,-0.02,0.01,-0.01,0.01,1012.83
0.356,0.09,0.99,0.07,0.04,0.01,0.00,0.01,-0.01,0.01,1012.83
0.376,0.09,0.99,0.07,0.04,0.01,0.00,0.01,-0.01,0.01,1012.83
0.384,0.09,0.99,0.07,0.04,0.01,0.00,0.01,0.01,0.01,1012.83
0.385,0.09,0.99,0.07,0.04,0.01,0.00,0.01,0.01,0.01,1012.83
0.386,0.09,0.99,0.07,0.02,0.01,0.01,0.01,0.01,0.01,1012.83
0.43,0.09,0.99,0.07,0.02,0.01,0.01,0.01,0.00,0.01,1012.83
0.431,0.09,0.99,0.07,0.05,0.01,-0.03,0.01,0.00,0.01,1012.83
0.432,0.09,0.99,0.06,0.05,0.01,-0.03,0.01,0.00,0.01,1012.83
0.433,0.09,0.99,0.06,0.05,0.01,-0.03,0.01,0.00,0.01,1012.82
0.476,0.09,0.99,0.06,0.08,-0.01,-0.02,0.01,0.00,0.01,1012.82
0.478,0.09,0.99,0.06,0.08,-0.01,-0.02,0.00,0.02,-0.00,1012.82
0.48,0.10,0.99,0.06,0.08,-0.01,-0.02,0.00,0.02,-0.00,1012.82
0.486,0.10,0.99,0.06,0.08,-0.01,-0.02,0.00,0.02,-0.00,1012.82
0.501,0.10,0.99,0.06,0.08,-0.01,-0.02,-0.00,0.04,-0.01,1012.82
0.502,0.08,0.99,0.07,0.08,-0.01,-0.02,-0.00,0.04,-0.01,1012.82
0.503,0.08,0.99,0.07,-0.03,-0.03,0.01,-0.00,0.04,-0.01,1012.82
0.575,0.08,0.99,0.07,-0.03,-0.03,0.01,-0.00,0.03,-0.01,1012.82
0.577,0.08,0.99,0.06,-0.03,-0.03,0.01,-0.00,0.03,-0.01,1012.82
0.578,0.08,0.99,0.06,-0.07,0.00,-0.04,-0.00,0.03,-0.01,1012.82
0.58,0.08,0.99,0.06,-0.07,0.00,-0.04,-0.00,0.03,-0.01,1012.83
0.582,0.08,0.99,0.06,-0.07,0.00,-0.04,-0.00,0.03,-0.01,1012.83
0.584,0.10,1.00,0.06,-0.07,0.00,-0.04,-0.00,0.03,-0.01,1012.83
0.585,0.10,1.00,0.06,0.15,0.04,-0.03,-0.00,0.03,-0.01,1012.83
0.606,0.10,1.00,0.06,0.15,0.04,-0.03,-0.00,0.03,-0.01,1012.84
0.62,0.10,1.00,0.06,0.15,0.04,-0.03,-0.01,0.06,-0.03,1012.84
0.623,0.11,1.00,0.06,0.15,0.04,-0.03,-0.01,0.06,-0.03,1012.84
0.626,0.11,1.00,0.06,0.19,0.08,-0.04,-0.01,0.06,-0.03,1012.84
0.677,0.11,1.00,0.06,0.19,0.08,-0.04,-0.02,0.09,-0.04,1012.84
0.679,0.08,1.00,0.06,0.19,0.08,-0.04,-0.02,0.09,-0.04,1012.84
0.68,0.08,1.00,0.06,-0.11,0.08,-0.05,-0.02,0.09,-0.04,1012.84
0.681,0.08,1.00,0.06,-0.11,0.08,-0.05,-0.02,0.09,-0.04,1012.83
0.714,0.08,1.00,0.06,-0.27,0.07,-0.04,-0.02,0.09,-0.04,1012.83
0.719,0.08,1.00,0.06,-0.27,0.07,-0.04,-0.02,0.09,-0.02,1012.83
0.725,0.06,1.00,0.06,-0.27,0.07,-0.04,-0.02,0.09,-0.02,1012.83
