time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.008,0.07,0.98,-0.23,0.18,-0.13,0.22,-0.04,0.04,-0.01,1012.86
0.009,0.07,0.98,-0.23,0.18,-0.13,0.22,0.02,0.05,-0.02,1012.86
0.01,0.07,0.98,-0.23,-0.29,0.03,-0.11,0.02,0.05,-0.02,1012.86
0.035,0.07,0.98,-0.23,-0.29,0.03,-0.11,0.02,0.05,-0.02,1012.86
0.045,0.08,0.97,-0.23,-0.29,0.03,-0.11,0.02,0.05,-0.02,1012.86
0.046,0.08,0.97,-0.23,-0.29,0.03,-0.11,-0.00,-0.07,0.04,1012.86
0.047,0.08,0.97,-0.23,-0.22,-0.01,-0.09,-0.00,-0.07,0.04,1012.86
0.085,0.16,0.97,-0.21,-0.22,-0.01,-0.09,-0.00,-0.07,0.04,1012.86
0.086,0.16,0.97,-0.21,-0.22,-0.01,-0.09,-0.02,-0.09,0.04,1012.86
0.087,0.16,0.97,-0.21,0.51,0.01,0.10,-0.02,-0.09,0.04,1012.86
0.095,0.16,0.97,-0.21,0.51,0.01,0.10,-0.02,-0.09,0.04,1012.86
0.126,0.10,0.97,-0.22,0.51,0.01,0.10,-0.02,-0.09,0.04,1012.86
0.128,0.10,0.97,-0.22,0.51,0.01,0.10,-0.00,0.06,-0.01,1012.86
0.13,0.10,0.97,-0.22,-0.05,-0.01,0.04,-0.00,0.06,-0.01,1012.86
0.168,0.10,0.97,-0.22,-0.05,-0.01,0.04,-0.00,0.06,-0.01,1012.87
0.17,0.08,0.97,-0.23,-0.05,-0.01,0.04,-0.00,0.06,-0.01,1012.87
0.17,0.08,0.97,-0.23,-0.05,-0.01,0.04,-0.00,0.02,0.00,1012.87
0.171,0.08,0.97,-0.23,-0.19,-0.01,-0.09,-0.00,0.02,0.00,1012.87
0.239,0.13,0.97,-0.22,-0.19,-0.01,-0.09,-0.00,0.02,0.00,1012.87
0.242,0.13,0.97,-0.22,-0.19,-0.01,-0.09,-0.01,-0.05,0.02,1012.87
0.245,0.13,0.97,-0.22,0.22,0.01,-0.01,-0.01,-0.05,0.02,1012.87
0.247,0.13,0.97,-0.22,0.22,0.01,-0.01,-0.01,-0.05,0.02,1012.87
0.249,0.11,0.97,-0.22,0.22,0.01,-0.01,-0.01,-0.05,0.02,1012.87
0.25,0.11,0.97,-0.22,0.22,0.01,-0.01,-0.01,0.01,-0.00,1012.87
0.252,0.11,0.97,-0.22,0.04,-0.00,0.05,-0.01,0.01,-0.00,1012.87
0.288,0.11,0.97,-0.22,0.04,-0.00,0.05,-0.01,0.01,-0.00,1012.86
0.291,0.09,0.97,-0.22,0.04,-0.00,0.05,-0.01,0.01,-0.00,1012.86
0.294,0.09,0.97,-0.22,0.04,-0.00,0.05,-0.00,0.01,-0.00,1012.86
0.295,0.09,0.97,-0.22,-0.09,-0.01,0.01,-0.00,0.01,-0.00,1012.86
0.324,0.11,0.97,-0.22,-0.09,-0.01,0.01,-0.00,0.01,-0.00,1012.86
0.325,0.11,0.97,-0.22,-0.09,-0.01,0.01,-0.00,-0.02,0.01,1012.86
0.328,0.11,0.97,-0.22,0.11,-0.00,0.01,-0.00,-0.02,0.01,1012.86
0.335,0.11,0.97,-0.22,0.11,-0.00,0.01,-0.00,-0.02,0.01,1012.86
0.374,0.12,0.97,-0.23,0.11,-0.00,0.01,-0.00,-0.02,0.01,1012.86
0.378,0.12,0.97,-0.23,0.11,-0.00,0.01,-0.00,0.01,-0.00,1012.86
0.38,0.12,0.97,-0.23,0.12,0.01,-0.03,-0.00,0.01,-0.00,1012.86
0.404,0.12,0.97,-0.23,0.12,0.01,-0.03,-0.00,0.01,-0.00,1012.86
0.409,0.12,0.97,-0.23,0.12,0.01,-0.03,-0.00,0.01,-0.00,1012.86
0.411,0.12,0.97,-0.23,0.12,0.01,-0.03,-0.01,0.02,-0.02,1012.86
0.413,0.12,0.97,-0.23,0.10,-0.01,-0.03,-0.01,0.02,-0.02,1012.86
0.443,0.13,0.97,-0.23,0.10,-0.01,-0.03,-0.01,0.02,-0.02,1012.86
0.445,0.13,0.97,-0.23,0.10,-0.01,-0.03,-0.02,0.03,-0.03,1012.86
0.446,0.13,0.97,-0.23,0.24,-0.01,-0.05,-0.02,0.03,-0.03,1012.86
0.456,0.13,0.97,-0.23,0.24,-0.01,-0.05,-0.02,0.03,-0.03,1012.85
0.488,0.11,0.97,-0.22,0.24,-0.01,-0.05,-0.02,0.03,-0.03,1012.85
0.49,0.11,0.97,-0.22,0.24,-0.01,-0.05,-0.03,0.08,-0.07,1012.85
0.491,0.11,0.97,-0.22,0.07,-0.01,-0.01,-0.03,0.08,-0.07,1012.85
0.531,0.11,0.97,-0.22,0.07,-0.01,-0.01,-0.03,0.08,-0.07,1012.84
0.535,0.08,0.98,-0.21,0.07,-0.01,-0.01,-0.03,0.08,-0.07,1012.84
0.537,0.08,0.98,-0.21,0.07,-0.01,-0.01,-0.03,0.09,-0.08,1012.84
0.539,0.08,0.98,-0.21,-0.25,0.01,0.05,-0.03,0.09,-0.08,1012.84
0.57,0.08,0.98,-0.20,-0.25,0.01,0.05,-0.03,0.09,-0.08,1012.84
0.571,0.08,0.98,-0.20,-0.25,0.01,0.05,-0.02,0.04,-0.05,1012.84
0.572,0.08,0.98,-0.20,-0.27,0.02,0.16,-0.02,0.04,-0.05,1012.84
0.575,0.08,0.98,-0.20,-0.27,0.02,0.16,-0.02,0.04,-0.05,1012.84
0.599,0.09,0.97,-0.20,-0.27,0.02,0.16,-0.02,0.04,-0.05,1012.84
0.6,0.09,0.97,-0.20,-0.27,0.02,0.16,0.01,0.02,-0.03,1012.84
0.601,0.09,0.97,-0.20,-0.07,0.00,0.14,0.01,0.02,-0.03,1012.84
0.635,0.09,0.97,-0.20,-0.07,0.00,0.14,0.01,0.02,-0.03,1012.86
0.639,0.09,0.97,-0.22,-0.07,0.00,0.14,0.01,0.02,-0.03,1012.86
0.641,0.09,0.97,-0.22,-0.07,0.00,0.14,0.03,0.04,-0.02,1012.86
0.643,0.09,0.97,-0.22,-0.10,-0.02,0.01,0.03,0.04,-0.02,1012.86
0.703,0.09,0.98,-0.22,-0.10,-0.02,0.01,0.03,0.04,-0.02,1012.86
0.705,0.09,0.98,-0.22,-0.10,-0.02,0.01,0.02,0.02,-0.02,1012.86
0.706,0.09,0.98,-0.22,-0.06,0.01,-0.04,0.02,0.02,-0.02,1012.86
0.706,0.09,0.98,-0.22,-0.06,0.01,-0.04,0.02,0.02,-0.02,1012.86
0.72,0.10,0.97,-0.22,-0.06,0.01,-0.04,0.02,0.02,-0.02,1012.86
0.721,0.10,0.97,-0.22,-0.06,0.01,-0.04,0.02,-0.01,-0.02,1012.86
0.722,0.10,0.97,-0.22,0.04,-0.01,0.00,0.02,-0.01,-0.02,1012.86
0.755,0.10,0.97,-0.22,0.04,-0.01,0.00,0.02,-0.01,-0.02,1012.88
0.756,0.10,0.98,-0.23,0.04,-0.01,0.00,0.02,-0.01,-0.02,1012.88
0.756,0.10,0.98,-0.23,0.04,-0.01,0.00,0.01,0.01,-0.03,1012.88
0.757,0.10,0.98,-0.23,0.04,0.01,-0.03,0.01,0.01,-0.03,1012.88
0.797,0.12,0.98,-0.23,0.04,0.01,-0.03,0.01,0.01,-0.03,1012.88
0.799,0.12,0.98,-0.23,0.04,0.01,-0.03,0.00,0.02,-0.04,1012.88
0.8,0.12,0.98,-0.23,0.21,0.05,-0.10,0.00,0.02,-0.04,1012.88
0.815,0.12,0.98,-0.23,0.21,0.05,-0.10,0.00,0.02,-0.04,1012.87
0.837,0.16,0.99,-0.24,0.21,0.05,-0.10,0.00,0.02,-0.04,1012.87
0.839,0.16,0.99,-0.24,0.21,0.05,-0.10,-0.02,0.07,-0.09,1012.87
0.84,0.16,0.99,-0.24,0.59,0.12,-0.21,-0.02,0.07,-0.09,1012.87
0.876,0.24,0.99,-0.25,0.59,0.12,-0.21,-0.02,0.07,-0.09,1012.87
0.878,0.24,0.99,-0.25,0.59,0.12,-0.21,-0.07,0.21,-0.18,1012.87
0.88,0.24,0.99,-0.25,1.45,0.13,-0.34,-0.07,0.21,-0.18,1012.87
0.881,0.24,0.99,-0.25,1.45,0.13,-0.34,-0.07,0.21,-0.18,1012.86
0.916,0.28,1.01,-0.25,1.45,0.13,-0.34,-0.07,0.21,-0.18,1012.86
0.92,0.28,1.01,-0.25,1.45,0.13,-0.34,-0.15,0.56,-0.39,1012.86
0.922,0.28,1.01,-0.25,1.87,0.31,-0.39,-0.15,0.56,-0.39,1012.86
0.941,0.28,1.01,-0.25,1.87,0.31,-0.39,-0.15,0.56,-0.39,1012.85
0.956,0.31,1.07,-0.30,1.87,0.31,-0.39,-0.15,0.56,-0.39,1012.85
0.957,0.31,1.07,-0.30,1.87,0.31,-0.39,-0.32,1.10,-0.64,1012.85
