time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.002,-0.21,0.97,-0.07,0.07,0.06,-0.03,0.02,-0.04,0.00,978.09
0.003,-0.28,0.97,-0.06,0.07,0.06,-0.03,0.02,-0.04,0.00,978.09
0.004,-0.28,0.97,-0.06,0.07,0.06,-0.03,0.00,0.05,-0.04,978.09
0.004,-0.28,0.97,-0.06,0.07,0.06,-0.02,0.00,0.05,-0.04,978.09
0.02,-0.35,0.97,-0.08,0.07,0.06,-0.02,0.00,0.05,-0.04,978.09
0.035,-0.35,0.97,-0.08,0.07,0.06,-0.02,0.00,0.05,-0.04,978.09
0.04,-0.30,0.97,-0.07,0.07,0.06,-0.02,0.00,0.05,-0.04,978.09
0.04,-0.30,0.97,-0.07,0.07,0.06,-0.02,0.01,0.14,-0.08,978.09
0.04,-0.30,0.97,-0.07,-0.01,-0.04,0.04,0.01,0.14,-0.08,978.09
0.06,-0.24,0.96,-0.06,-0.01,-0.04,0.04,0.01,0.14,-0.08,978.09
0.079,-0.25,0.97,-0.08,-0.01,-0.04,0.04,0.01,0.14,-0.08,978.09
0.08,-0.25,0.97,-0.08,-0.01,-0.04,0.04,0.03,-0.14,-0.08,978.09
0.081,-0.25,0.97,-0.08,0.16,-0.07,0.04,0.03,-0.14,-0.08,978.09
0.095,-0.25,0.97,-0.08,0.16,-0.07,0.04,0.03,-0.14,-0.08,978.09
0.1,-0.38,0.99,-0.09,0.16,-0.07,0.04,0.03,-0.14,-0.08,978.09
0.119,-0.25,0.96,-0.07,0.16,-0.07,0.04,0.03,-0.14,-0.08,978.09
0.121,-0.25,0.96,-0.07,0.16,-0.07,0.04,0.00,0.10,-0.09,978.09
0.121,-0.25,0.96,-0.07,0.17,-0.05,0.04,0.00,0.10,-0.09,978.09
0.14,-0.39,0.98,-0.10,0.17,-0.05,0.04,0.00,0.10,-0.09,978.09
0.158,-0.39,0.98,-0.10,0.17,-0.05,0.04,0.00,0.10,-0.09,978.08
0.161,-0.29,0.97,-0.06,0.17,-0.05,0.04,0.00,0.10,-0.09,978.08
0.162,-0.29,0.97,-0.06,0.17,-0.05,0.04,-0.01,0.11,0.01,978.08
0.164,-0.29,0.97,-0.06,-0.55,0.07,-0.12,-0.01,0.11,0.01,978.08
0.179,-0.18,0.97,-0.04,-0.55,0.07,-0.12,-0.01,0.11,0.01,978.08
0.202,-0.29,0.98,-0.09,-0.55,0.07,-0.12,-0.01,0.11,0.01,978.08
0.206,-0.29,0.98,-0.09,-0.55,0.07,-0.12,-0.01,-0.02,0.07,978.08
0.207,-0.29,0.98,-0.09,0.27,0.01,0.10,-0.01,-0.02,0.07,978.08
