time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,0.23,0.97,-0.13,-0.16,0.02,0.05,-0.03,-0.00,0.01,978.08
0.004,0.23,0.97,-0.13,-0.16,0.02,0.05,0.01,-0.15,0.01,978.08
0.004,0.23,0.97,-0.13,0.19,-0.04,-0.14,0.01,-0.15,0.01,978.08
0.012,0.17,0.98,-0.12,0.19,-0.04,-0.14,0.01,-0.15,0.01,978.08
0.014,0.17,0.98,-0.12,0.19,-0.04,-0.14,0.01,-0.15,0.01,978.08
0.035,0.16,0.99,-0.12,0.19,-0.04,-0.14,0.01,-0.15,0.01,978.08
0.036,0.16,0.99,-0.12,0.19,-0.04,-0.14,-0.03,-0.03,-0.01,978.08
0.037,0.16,0.99,-0.12,0.19,-0.04,-0.15,-0.03,-0.03,-0.01,978.08
0.051,0.20,0.97,-0.12,0.19,-0.04,-0.15,-0.03,-0.03,-0.01,978.08
0.071,0.21,0.95,-0.14,0.19,-0.04,-0.15,-0.03,-0.03,-0.01,978.08
0.072,0.21,0.95,-0.14,0.19,-0.04,-0.15,-0.01,-0.15,0.05,978.08
0.072,0.21,0.95,-0.14,-0.33,0.10,0.08,-0.01,-0.15,0.05,978.08
0.074,0.21,0.95,-0.14,-0.33,0.10,0.08,-0.01,-0.15,0.05,978.08
0.092,0.22,0.95,-0.14,-0.33,0.10,0.08,-0.01,-0.15,0.05,978.08
0.111,0.22,0.97,-0.14,-0.33,0.10,0.08,-0.01,-0.15,0.05,978.08
0.114,0.22,0.97,-0.14,-0.33,0.10,0.08,-0.01,-0.15,0.07,978.08
0.115,0.22,0.97,-0.14,0.04,-0.10,-0.11,-0.01,-0.15,0.07,978.08
0.146,0.19,0.97,-0.11,0.04,-0.10,-0.11,-0.01,-0.15,0.07,978.08
0.147,0.19,0.97,-0.11,0.04,-0.10,-0.11,-0.01,-0.15,0.07,978.06
0.178,0.24,0.96,-0.11,0.04,-0.10,-0.11,-0.01,-0.15,0.07,978.06
0.181,0.24,0.96,-0.11,0.04,-0.10,-0.11,-0.03,0.03,0.06,978.06
0.183,0.24,0.96,-0.11,0.02,-0.09,-0.12,-0.03,0.03,0.06,978.06
0.185,0.25,0.97,-0.15,0.02,-0.09,-0.12,-0.03,0.03,0.06,978.06
0.191,0.25,0.99,-0.14,0.02,-0.09,-0.12,-0.03,0.03,0.06,978.06
0.192,0.25,0.99,-0.14,0.02,-0.09,-0.12,-0.01,0.07,0.06,978.06
0.193,0.25,0.99,-0.14,0.10,-0.03,0.01,-0.01,0.07,0.06,978.06
0.208,0.25,0.99,-0.14,0.10,-0.03,0.01,-0.01,0.07,0.06,978.06
0.212,0.22,0.97,-0.13,0.10,-0.03,0.01,-0.01,0.07,0.06,978.06
0.247,0.24,0.96,-0.11,0.10,-0.03,0.01,-0.01,0.07,0.06,978.06
0.249,0.24,0.96,-0.11,0.10,-0.03,0.01,-0.03,0.03,0.00,978.06
0.251,0.24,0.96,-0.11,0.19,0.06,-0.02,-0.03,0.03,0.00,978.06
0.252,0.21,0.97,-0.12,0.19,0.06,-0.02,-0.03,0.03,0.00,978.06
0.257,0.21,0.97,-0.12,0.19,0.06,-0.02,-0.03,0.03,0.00,978.07
0.27,0.19,0.97,-0.12,0.19,0.06,-0.02,-0.03,0.03,0.00,978.07
0.272,0.19,0.97,-0.12,0.19,0.06,-0.02,-0.03,0.17,-0.03,978.07
0.273,0.19,0.97,-0.12,0.19,0.06,-0.04,-0.03,0.17,-0.03,978.07
0.297,0.22,0.97,-0.11,0.19,0.06,-0.04,-0.03,0.17,-0.03,978.07
0.313,0.24,0.97,-0.12,0.19,0.06,-0.04,-0.03,0.17,-0.03,978.07
0.316,0.24,0.97,-0.12,0.19,0.06,-0.04,-0.02,0.21,-0.02,978.07
0.318,0.24,0.97,-0.12,-0.08,0.00,0.03,-0.02,0.21,-0.02,978.07
0.32,0.24,0.97,-0.12,-0.08,0.00,0.03,-0.02,0.21,-0.02,978.08
0.335,0.21,0.97,-0.14,-0.08,0.00,0.03,-0.02,0.21,-0.02,978.08
0.354,0.21,0.97,-0.14,0.03,0.02,-0.11,-0.02,0.21,-0.02,978.08
0.355,0.21,0.98,-0.14,0.03,0.02,-0.11,-0.02,0.21,-0.02,978.08
0.356,0.21,0.98,-0.14,0.03,0.02,-0.11,-0.02,0.17,-0.03,978.08
0.37,0.20,0.97,-0.09,0.03,0.02,-0.11,-0.02,0.17,-0.03,978.08
0.374,0.20,0.97,-0.09,0.03,0.02,-0.11,-0.02,0.17,-0.03,978.08
0.388,0.20,0.96,-0.09,0.03,0.02,-0.11,-0.02,0.17,-0.03,978.08
0.389,0.20,0.96,-0.09,0.03,0.02,-0.11,-0.04,-0.02,-0.06,978.08
0.39,0.20,0.96,-0.09,0.05,0.01,-0.11,-0.04,-0.02,-0.06,978.08
0.408,0.21,0.97,-0.11,0.05,0.01,-0.11,-0.04,-0.02,-0.06,978.08
0.435,0.20,0.97,-0.12,0.05,0.01,-0.11,-0.04,-0.02,-0.06,978.08
0.436,0.20,0.97,-0.12,0.05,0.01,-0.11,-0.01,0.07,-0.03,978.08
0.437,0.20,0.97,-0.12,-0.12,-0.04,0.19,-0.01,0.07,-0.03,978.08
0.438,0.20,0.97,-0.12,-0.12,-0.04,0.19,-0.01,0.07,-0.03,978.07
0.447,0.20,0.97,-0.13,-0.12,-0.04,0.19,-0.01,0.07,-0.03,978.07
0.468,0.21,0.97,-0.12,-0.12,-0.04,0.19,-0.01,0.07,-0.03,978.07
0.469,0.21,0.97,-0.12,-0.12,-0.04,0.19,-0.01,0.06,-0.00,978.07
0.47,0.21,0.97,-0.12,-0.14,-0.02,-0.09,-0.01,0.06,-0.00,978.07
0.487,0.22,0.97,-0.11,-0.14,-0.02,-0.09,-0.01,0.06,-0.00,978.07
0.495,0.22,0.97,-0.11,-0.14,-0.02,-0.09,-0.01,0.06,-0.00,978.06
0.507,0.23,0.98,-0.11,-0.14,-0.02,-0.09,-0.01,0.06,-0.00,978.06
0.508,0.23,0.98,-0.11,-0.14,-0.02,-0.09,-0.03,-0.06,0.00,978.06
0.508,0.23,0.98,-0.11,-0.13,-0.02,-0.09,-0.03,-0.06,0.00,978.06
0.529,0.23,0.98,-0.11,-0.13,-0.02,-0.09,-0.03,-0.06,0.00,978.06
0.554,0.22,0.97,-0.12,-0.13,-0.02,-0.09,-0.03,-0.06,0.00,978.06
0.555,0.22,0.97,-0.12,-0.13,-0.02,-0.09,-0.03,-0.00,-0.02,978.06
0.556,0.22,0.97,-0.12,0.15,0.03,0.07,-0.03,-0.00,-0.02,978.06
0.557,0.22,0.97,-0.12,0.15,0.03,0.07,-0.03,-0.00,-0.02,978.06
0.565,0.21,0.97,-0.13,0.15,0.03,0.07,-0.03,-0.00,-0.02,978.06
0.587,0.20,0.98,-0.13,0.15,0.03,0.07,-0.03,-0.00,-0.02,978.06
0.588,0.20,0.98,-0.13,0.15,0.03,0.07,-0.03,0.06,-0.05,978.06
0.589,0.20,0.98,-0.13,-0.01,0.00,-0.10,-0.03,0.06,-0.05,978.06
0.607,0.21,0.98,-0.12,-0.01,0.00,-0.10,-0.03,0.06,-0.05,978.06
0.63,0.21,0.98,-0.12,-0.01,0.00,-0.10,-0.03,0.06,-0.05,978.08
0.631,0.21,0.98,-0.11,-0.01,0.00,-0.10,-0.03,0.06,-0.05,978.08
0.632,0.21,0.98,-0.11,-0.01,0.00,-0.10,-0.06,-0.02,-0.06,978.08
0.632,0.21,0.98,-0.11,0.01,-0.01,-0.12,-0.06,-0.02,-0.06,978.08
0.657,0.20,0.97,-0.10,0.01,-0.01,-0.12,-0.06,-0.02,-0.06,978.08
0.668,0.19,0.97,-0.10,0.01,-0.01,-0.12,-0.06,-0.02,-0.06,978.08
0.67,0.19,0.97,-0.10,0.01,-0.01,-0.12,-0.07,-0.02,-0.06,978.08
0.671,0.19,0.97,-0.10,-0.00,-0.00,0.01,-0.07,-0.02,-0.06,978.08
0.673,0.19,0.97,-0.10,-0.00,-0.00,0.01,-0.07,-0.02,-0.06,978.08
0.684,0.18,0.97,-0.10,-0.00,-0.00,0.01,-0.07,-0.02,-0.06,978.08
0.704,0.18,0.97,-0.10,-0.00,-0.00,0.01,-0.07,-0.02,-0.06,978.08
0.705,0.18,0.97,-0.10,-0.00,-0.00,0.01,-0.05,0.05,-0.03,978.08
0.706,0.18,0.97,-0.10,-0.22,-0.05,0.08,-0.05,0.05,-0.03,978.08
0.724,0.19,0.97,-0.09,-0.22,-0.05,0.08,-0.05,0.05,-0.03,978.08
0.735,0.19,0.97,-0.09,-0.22,-0.05,0.08,-0.05,0.05,-0.03,978.09
0.744,0.19,0.98,-0.09,-0.22,-0.05,0.08,-0.05,0.05,-0.03,978.09
0.745,0.19,0.98,-0.09,-0.22,-0.05,0.08,-0.04,0.01,0.01,978.09
0.745,0.19,0.98,-0.09,-0.22,-0.05,0.06,-0.04,0.01,0.01,978.09
0.764,0.19,0.97,-0.09,-0.22,-0.05,0.06,-0.04,0.01,0.01,978.09
0.783,0.20,0.97,-0.10,-0.22,-0.05,0.06,-0.04,0.01,0.01,978.09
0.785,0.20,0.97,-0.10,-0.22,-0.05,0.06,-0.02,0.03,0.04,978.09
0.786,0.20,0.97,-0.10,-0.15,-0.00,0.14,-0.02,0.03,0.04,978.09
0.794,0.20,0.97,-0.10,-0.15,-0.00,0.14,-0.02,0.03,0.04,978.10
0.804,0.22,0.98,-0.09,-0.15,-0.00,0.14,-0.02,0.03,0.04,978.10
0.827,0.22,0.97,-0.10,-0.15,-0.00,0.14,-0.02,0.03,0.04,978.10
0.829,0.22,0.97,-0.10,-0.15,-0.00,0.14,-0.01,0.02,0.05,978.10
0.831,0.22,0.97,-0.10,0.02,-0.02,0.07,-0.01,0.02,0.05,978.10
0.843,0.21,0.97,-0.10,0.02,-0.02,0.07,-0.01,0.02,0.05,978.10
0.877,0.21,0.97,-0.10,0.02,-0.02,0.07,-0.01,0.02,0.05,978.11
0.879,0.21,0.98,-0.11,0.02,-0.02,0.07,-0.01,0.02,0.05,978.11
0.88,0.21,0.98,-0.11,0.02,-0.02,0.07,-0.00,0.05,0.04,978.11
0.881,0.21,0.98,-0.11,-0.00,-0.02,0.06,-0.00,0.05,0.04,978.11
0.882,0.22,0.97,-0.11,-0.00,-0.02,0.06,-0.00,0.05,0.04,978.11
0.901,0.22,0.97,-0.10,-0.00,-0.02,0.06,-0.00,0.05,0.04,978.11
0.902,0.22,0.97,-0.10,-0.00,-0.02,0.06,-0.01,-0.00,0.03,978.11
0.903,0.22,0.97,-0.10,-0.02,-0.01,-0.04,-0.01,-0.00,0.03,978.11
0.92,0.22,0.97,-0.10,-0.02,-0.01,-0.04,-0.01,-0.00,0.03,978.09
0.927,0.21,0.97,-0.10,-0.02,-0.01,-0.04,-0.01,-0.00,0.03,978.09
0.943,0.21,0.97,-0.11,-0.02,-0.01,-0.04,-0.01,-0.00,0.03,978.09
0.945,0.21,0.97,-0.11,-0.02,-0.01,-0.04,-0.01,-0.03,0.02,978.09
0.946,0.21,0.97,-0.11,-0.00,-0.01,0.02,-0.01,-0.03,0.02,978.09
0.961,0.22,0.97,-0.11,-0.00,-0.01,0.02,-0.01,-0.03,0.02,978.09
0.973,0.22,0.97,-0.11,-0.00,-0.01,0.02,-0.01,-0.03,0.02,978.08
0.981,0.22,0.98,-0.09,-0.00,-0.01,0.02,-0.01,-0.03,0.02,978.08
0.982,0.22,0.98,-0.09,-0.00,-0.01,0.02,-0.02,-0.03,0.02,978.08
0.983,0.22,0.98,-0.09,-0.01,-0.01,0.01,-0.02,-0.03,0.02,978.08
1.001,0.22,0.97,-0.08,-0.01,-0.01,0.01,-0.02,-0.03,0.02,978.08
1.035,0.22,0.97,-0.09,-0.01,-0.01,0.01,-0.02,-0.03,0.02,978.08
1.039,0.22,0.97,-0.09,-0.01,-0.01,0.01,-0.01,-0.04,0.01,978.08
1.041,0.22,0.97,-0.09,0.05,-0.01,0.10,-0.01,-0.04,0.01,978.08
1.043,0.22,0.97,-0.09,0.05,-0.01,0.10,-0.01,-0.04,0.01,978.08
1.046,0.21,0.97,-0.10,0.05,-0.01,0.10,-0.01,-0.04,0.01,978.08
1.071,0.20,0.97,-0.11,0.05,-0.01,0.10,-0.01,-0.04,0.01,978.08
1.076,0.20,0.97,-0.11,0.05,-0.01,0.10,0.01,0.05,-0.01,978.08
1.076,0.20,0.97,-0.11,-0.02,-0.01,0.02,0.01,0.05,-0.01,978.08
1.081,0.20,0.97,-0.11,-0.02,-0.01,0.02,0.01,0.05,-0.01,978.08
1.092,0.20,0.97,-0.11,-0.02,-0.01,0.02,0.01,0.05,-0.01,978.08
1.099,0.20,0.97,-0.10,-0.02,-0.01,0.02,0.01,0.05,-0.01,978.08
1.1,0.20,0.97,-0.10,-0.02,-0.01,0.02,0.00,0.02,-0.01,978.08
1.101,0.20,0.97,-0.10,-0.01,-0.01,0.01,0.00,0.02,-0.01,978.08
1.12,0.22,0.97,-0.10,-0.01,-0.01,0.01,0.00,0.02,-0.01,978.08
1.153,0.22,0.98,-0.10,-0.01,-0.01,0.01,0.00,0.02,-0.01,978.08
1.154,0.22,0.98,-0.10,-0.01,-0.01,0.01,-0.01,-0.06,0.00,978.08
1.155,0.22,0.98,-0.10,-0.05,0.01,-0.03,-0.01,-0.06,0.00,978.08
1.155,0.22,0.98,-0.10,-0.05,0.01,-0.03,-0.01,-0.06,0.00,978.08
1.16,0.23,0.97,-0.10,-0.05,0.01,-0.03,-0.01,-0.06,0.00,978.08
1.179,0.22,0.97,-0.09,-0.05,0.01,-0.03,-0.01,-0.06,0.00,978.08
1.181,0.22,0.97,-0.09,0.11,-0.00,0.04,-0.01,-0.06,0.00,978.08
1.182,0.22,0.97,-0.09,0.11,-0.00,0.04,-0.01,-0.05,-0.01,978.08
1.2,0.21,0.97,-0.09,0.11,-0.00,0.04,-0.01,-0.05,-0.01,978.08
1.214,0.21,0.97,-0.09,0.11,-0.00,0.04,-0.01,-0.05,-0.01,978.09
1.222,0.21,0.97,-0.10,0.11,-0.00,0.04,-0.01,-0.05,-0.01,978.09
