time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.008,0.10,0.99,-0.08,0.01,0.00,-0.04,-0.01,0.02,-0.01,978.10
0.009,0.08,1.00,-0.07,0.01,0.00,-0.04,-0.01,0.02,-0.01,978.10
0.01,0.08,1.00,-0.07,0.06,0.01,0.04,-0.01,0.02,-0.01,978.10
0.011,0.08,1.00,-0.07,0.06,0.01,0.04,0.00,-0.02,-0.01,978.10
0.022,0.08,1.00,-0.08,0.06,0.01,0.04,0.00,-0.02,-0.01,978.10
0.042,0.07,0.99,-0.07,0.06,0.01,0.04,0.00,-0.02,-0.01,978.10
0.044,0.07,0.99,-0.07,0.06,0.01,0.04,0.00,0.03,-0.02,978.10
0.044,0.07,0.99,-0.07,-0.10,-0.00,0.04,0.00,0.03,-0.02,978.10
0.063,0.07,0.99,-0.07,-0.10,-0.00,0.04,0.00,0.03,-0.02,978.09
0.064,0.09,1.00,-0.07,-0.10,-0.00,0.04,0.00,0.03,-0.02,978.09
0.082,0.10,0.99,-0.08,-0.10,-0.00,0.04,0.00,0.03,-0.02,978.09
0.084,0.10,0.99,-0.08,-0.10,-0.00,0.04,0.02,0.02,0.00,978.09
0.084,0.10,0.99,-0.08,-0.09,-0.00,0.04,0.02,0.02,0.00,978.09
0.105,0.08,1.00,-0.10,-0.09,-0.00,0.04,0.02,0.02,0.00,978.09
0.126,0.09,1.00,-0.06,-0.09,-0.00,0.04,0.02,0.02,0.00,978.09
0.128,0.09,1.00,-0.06,-0.09,-0.00,0.04,0.01,0.02,0.01,978.09
0.129,0.09,1.00,-0.06,0.04,0.00,-0.06,0.01,0.02,0.01,978.09
0.131,0.09,1.00,-0.06,0.04,0.00,-0.06,0.01,0.02,0.01,978.08
0.156,0.10,1.00,-0.08,0.04,0.00,-0.06,0.01,0.02,0.01,978.08
0.186,0.09,1.00,-0.07,0.04,0.00,-0.06,0.01,0.02,0.01,978.08
0.19,0.09,1.00,-0.07,0.04,0.00,-0.06,-0.00,-0.01,-0.00,978.08
0.192,0.09,1.00,-0.07,0.04,0.00,0.05,-0.00,-0.01,-0.00,978.08
0.194,0.08,1.00,-0.08,0.04,0.00,0.05,-0.00,-0.01,-0.00,978.08
0.194,0.08,1.00,-0.08,0.04,0.00,0.05,-0.00,-0.01,-0.00,978.08
0.202,0.09,1.00,-0.08,0.04,0.00,0.05,-0.00,-0.01,-0.00,978.08
0.205,0.09,1.00,-0.08,0.04,0.00,0.05,0.01,0.00,-0.01,978.08
0.207,0.09,1.00,-0.08,0.04,0.00,0.05,0.01,0.00,-0.01,978.08
0.23,0.09,1.00,-0.08,0.04,0.00,0.05,0.01,0.00,-0.01,978.08
0.242,0.09,1.00,-0.08,0.04,0.00,0.05,0.01,0.00,-0.01,978.08
0.244,0.09,1.00,-0.08,0.04,0.00,0.05,0.01,0.00,-0.00,978.08
0.245,0.09,1.00,-0.08,-0.00,0.00,-0.00,0.01,0.00,-0.00,978.08
0.246,0.09,1.00,-0.08,-0.00,0.00,-0.00,0.01,0.00,-0.00,978.09
0.262,0.09,1.00,-0.08,-0.00,0.00,-0.00,0.01,0.00,-0.00,978.09
0.281,0.09,1.00,-0.08,-0.00,0.00,-0.00,0.01,0.00,-0.00,978.09
0.283,0.09,1.00,-0.08,-0.00,0.00,-0.00,0.01,0.00,-0.00,978.09
0.286,0.09,1.00,-0.08,0.00,-0.00,-0.01,0.01,0.00,-0.00,978.09
0.299,0.09,1.00,-0.08,0.00,-0.00,-0.01,0.01,0.00,-0.00,978.09
0.302,0.09,1.00,-0.08,0.00,-0.00,-0.01,0.01,0.00,-0.00,978.08
0.321,0.09,1.00,-0.07,0.00,-0.00,-0.01,0.01,0.00,-0.00,978.08
0.323,0.09,1.00,-0.07,0.00,-0.00,-0.01,0.01,0.01,-0.00,978.08
0.325,0.09,1.00,-0.07,0.01,-0.00,-0.00,0.01,0.01,-0.00,978.08
0.339,0.08,1.00,-0.08,0.01,-0.00,-0.00,0.01,0.01,-0.00,978.08
0.363,0.08,1.00,-0.08,0.01,-0.00,-0.00,0.01,0.01,-0.00,978.08
0.364,0.08,1.00,-0.08,0.01,-0.00,-0.00,0.01,0.00,-0.00,978.08
0.365,0.08,1.00,-0.08,0.01,-0.00,-0.00,0.01,0.00,-0.00,978.08
0.365,0.08,1.00,-0.08,-0.00,-0.00,0.01,0.01,0.00,-0.00,978.08
0.379,0.09,1.00,-0.08,-0.00,-0.00,0.01,0.01,0.00,-0.00,978.08
0.398,0.09,1.00,-0.08,-0.00,-0.00,0.01,0.01,0.00,-0.00,978.08
0.401,0.09,1.00,-0.08,-0.00,-0.00,0.01,0.00,-0.00,0.01,978.08
0.402,0.09,1.00,-0.08,0.01,0.01,-0.02,0.00,-0.00,0.01,978.08
0.418,0.08,1.00,-0.08,0.01,0.01,-0.02,0.00,-0.00,0.01,978.08
0.442,0.08,1.00,-0.08,0.01,0.01,-0.02,0.00,-0.00,0.01,978.09
0.444,0.08,1.00,-0.08,0.01,0.01,-0.02,0.00,-0.00,0.01,978.09
0.445,0.09,1.00,-0.08,0.01,0.01,-0.02,0.00,-0.00,0.01,978.09
0.446,0.09,1.00,-0.08,0.01,0.01,-0.02,0.00,0.00,0.00,978.09
0.462,0.09,1.00,-0.08,0.01,0.01,-0.02,0.00,0.00,0.00,978.09
0.481,0.08,1.00,-0.08,0.01,0.01,-0.02,0.00,0.00,0.00,978.09
0.485,0.08,1.00,-0.08,0.01,0.01,-0.02,0.00,0.00,-0.00,978.09
0.488,0.08,1.00,-0.08,-0.00,-0.00,-0.01,0.00,0.00,-0.00,978.09
0.491,0.08,1.00,-0.08,-0.00,-0.00,-0.01,0.00,0.00,-0.00,978.09
0.503,0.09,1.00,-0.08,-0.00,-0.00,-0.01,0.00,0.00,-0.00,978.09
