time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.006,0.01,0.99,-0.19,-0.01,-0.00,0.00,0.00,0.00,0.00,978.12
0.006,0.01,0.99,-0.19,-0.01,-0.00,0.00,0.01,-0.03,0.00,978.12
0.006,0.01,0.99,-0.19,0.04,0.01,-0.00,0.01,-0.03,0.00,978.12
0.007,0.02,0.99,-0.19,0.04,0.01,-0.00,0.01,-0.03,0.00,978.12
0.007,0.02,0.99,-0.19,0.04,0.01,-0.00,0.01,-0.03,0.00,978.11
0.01,0.00,0.99,-0.18,0.04,0.01,-0.00,0.01,-0.03,0.00,978.11
0.011,0.00,0.99,-0.18,0.04,0.01,-0.00,-0.01,0.04,-0.01,978.11
0.012,0.00,0.99,-0.18,-0.01,-0.01,0.01,-0.01,0.04,-0.01,978.11
0.03,0.02,0.99,-0.19,-0.01,-0.01,0.01,-0.01,0.04,-0.01,978.11
0.049,0.01,0.99,-0.20,-0.01,-0.01,0.01,-0.01,0.04,-0.01,978.11
0.05,0.01,0.99,-0.20,-0.01,-0.01,0.01,0.00,0.02,-0.01,978.11
0.05,0.01,0.99,-0.20,-0.01,-0.01,0.01,0.00,0.02,-0.01,978.11
0.067,0.01,0.99,-0.20,-0.01,-0.01,0.01,0.00,0.02,-0.01,978.11
0.076,0.00,0.99,-0.18,-0.01,-0.01,0.01,0.00,0.02,-0.01,978.11
0.107,0.01,0.99,-0.19,-0.01,-0.01,0.01,0.00,0.02,-0.01,978.11
0.108,0.01,0.99,-0.19,-0.01,-0.01,0.01,-0.01,0.05,-0.01,978.11
0.109,0.01,0.99,-0.19,-0.03,0.00,-0.03,-0.01,0.05,-0.01,978.11
0.109,0.01,0.99,-0.19,-0.03,0.00,-0.03,-0.01,0.05,-0.01,978.11
0.128,0.01,0.99,-0.19,-0.03,0.00,-0.03,-0.01,0.05,-0.01,978.11
0.129,0.01,0.99,-0.18,-0.03,0.00,-0.03,-0.01,0.05,-0.01,978.11
0.13,0.01,0.99,-0.18,-0.03,0.00,-0.03,-0.01,0.04,0.01,978.11
0.131,0.01,0.99,-0.18,-0.03,-0.01,-0.00,-0.01,0.04,0.01,978.11
0.15,0.01,0.99,-0.19,-0.03,-0.01,-0.00,-0.01,0.04,0.01,978.11
0.169,0.01,0.98,-0.21,-0.03,-0.01,-0.00,-0.01,0.04,0.01,978.11
0.17,0.01,0.98,-0.21,-0.03,-0.01,-0.00,-0.00,-0.04,0.01,978.11
0.171,0.01,0.98,-0.21,-0.03,-0.00,-0.00,-0.00,-0.04,0.01,978.11
0.188,0.01,0.98,-0.21,-0.03,-0.00,-0.00,-0.00,-0.04,0.01,978.11
0.192,0.02,1.00,-0.15,-0.03,-0.00,-0.00,-0.00,-0.04,0.01,978.11
0.209,0.02,0.99,-0.19,-0.03,-0.00,-0.00,-0.00,-0.04,0.01,978.11
0.21,0.02,0.99,-0.19,-0.03,-0.00,-0.00,-0.00,-0.08,0.02,978.11
0.211,0.02,0.99,-0.19,0.01,0.00,0.04,-0.00,-0.08,0.02,978.11
0.228,0.01,0.99,-0.19,0.01,0.00,0.04,-0.00,-0.08,0.02,978.11
0.248,0.01,0.99,-0.19,0.01,0.00,0.04,-0.00,-0.08,0.02,978.11
0.25,0.02,0.99,-0.19,0.01,0.00,0.04,-0.00,-0.08,0.02,978.11
0.251,0.02,0.99,-0.19,0.01,0.00,0.04,0.01,0.00,0.02,978.11
0.252,0.02,0.99,-0.19,-0.00,-0.01,-0.03,0.01,0.00,0.02,978.11
0.269,0.02,0.99,-0.19,-0.00,-0.01,-0.03,0.01,0.00,0.02,978.11
0.316,0.02,0.99,-0.19,-0.00,-0.01,-0.03,0.01,0.00,0.02,978.11
0.318,0.02,0.99,-0.19,-0.00,-0.01,-0.03,0.00,-0.00,0.01,978.11
0.32,0.02,0.99,-0.19,-0.01,-0.01,-0.03,0.00,-0.00,0.01,978.11
0.322,0.02,0.99,-0.19,-0.01,-0.01,-0.03,0.00,-0.00,0.01,978.10
0.324,0.02,0.99,-0.18,-0.01,-0.01,-0.03,0.00,-0.00,0.01,978.10
0.33,0.02,0.99,-0.19,-0.01,-0.01,-0.03,0.00,-0.00,0.01,978.10
0.333,0.02,0.99,-0.19,-0.01,-0.01,-0.03,0.00,-0.01,0.00,978.10
0.334,0.02,0.99,-0.19,0.06,0.01,0.03,0.00,-0.01,0.00,978.10
0.347,0.01,0.99,-0.20,0.06,0.01,0.03,0.00,-0.01,0.00,978.10
0.368,0.01,0.99,-0.20,0.06,0.01,0.03,0.00,-0.01,0.00,978.10
0.369,0.01,0.99,-0.20,0.01,0.01,-0.02,0.00,-0.01,0.00,978.10
0.37,0.02,0.99,-0.19,0.01,0.01,-0.02,0.00,-0.01,0.00,978.10
0.371,0.02,0.99,-0.19,0.01,0.01,-0.02,0.00,-0.00,-0.00,978.10
0.387,0.02,0.99,-0.18,0.01,0.01,-0.02,0.00,-0.00,-0.00,978.10
0.407,0.02,0.99,-0.18,0.01,0.01,-0.02,0.00,-0.00,-0.00,978.10
0.409,0.02,0.99,-0.19,0.01,0.01,-0.02,0.00,-0.00,-0.00,978.10
0.409,0.02,0.99,-0.19,0.01,0.01,-0.02,0.00,-0.00,-0.00,978.10
0.426,0.02,0.99,-0.19,0.01,0.01,-0.02,0.00,-0.00,-0.00,978.10
0.428,0.02,0.99,-0.19,0.01,0.01,-0.02,0.00,-0.00,-0.00,978.10
0.447,0.01,0.99,-0.19,0.01,0.01,-0.02,0.00,-0.00,-0.00,978.10
0.449,0.01,0.99,-0.19,0.01,0.01,-0.02,0.01,-0.00,-0.01,978.10
0.45,0.01,0.99,-0.19,0.05,0.01,0.03,0.01,-0.00,-0.01,978.10
0.466,0.02,0.99,-0.18,0.05,0.01,0.03,0.01,-0.00,-0.01,978.10
0.49,0.03,0.99,-0.19,0.05,0.01,0.03,0.01,-0.00,-0.01,978.10
0.493,0.03,0.99,-0.19,0.05,0.01,0.03,0.01,-0.00,-0.01,978.10
0.494,0.03,0.99,-0.19,0.01,0.00,0.02,0.01,-0.00,-0.01,978.10
0.496,0.03,0.99,-0.19,0.01,0.00,0.02,0.01,-0.00,-0.01,978.10
0.509,0.01,0.99,-0.19,0.01,0.00,0.02,0.01,-0.00,-0.01,978.10
0.526,0.01,0.99,-0.19,0.01,0.00,0.02,0.01,-0.00,-0.01,978.10
0.528,0.01,0.99,-0.19,0.01,0.00,0.02,0.01,-0.00,-0.02,978.10
0.529,0.01,0.99,-0.19,0.02,0.00,0.02,0.01,-0.00,-0.02,978.10
0.545,0.02,0.99,-0.19,0.02,0.00,0.02,0.01,-0.00,-0.02,978.10
0.547,0.02,0.99,-0.19,0.02,0.00,0.02,0.01,-0.00,-0.02,978.09
0.565,0.01,0.99,-0.19,0.02,0.00,0.02,0.01,-0.00,-0.02,978.09
0.567,0.01,0.99,-0.19,0.02,0.00,0.02,0.02,-0.01,-0.01,978.09
0.569,0.01,0.99,-0.19,-0.03,0.00,-0.00,0.02,-0.01,-0.01,978.09
0.613,0.01,0.99,-0.19,-0.03,0.00,-0.00,0.02,-0.01,-0.01,978.09
0.616,0.01,0.99,-0.19,-0.01,0.01,0.04,0.02,-0.01,-0.01,978.09
0.617,0.01,0.99,-0.19,-0.01,0.01,0.04,0.02,-0.01,-0.01,978.09
0.619,0.01,0.99,-0.19,-0.01,0.01,0.04,0.02,-0.01,-0.00,978.09
0.621,0.01,0.99,-0.19,-0.01,0.01,0.04,0.02,-0.01,-0.00,978.10
0.627,0.01,0.99,-0.18,-0.01,0.01,0.04,0.02,-0.01,-0.00,978.10
0.644,0.02,0.99,-0.19,-0.01,0.01,0.04,0.02,-0.01,-0.00,978.10
0.645,0.02,0.99,-0.19,-0.01,0.01,0.04,0.03,-0.01,-0.00,978.10
0.646,0.02,0.99,-0.19,-0.00,0.01,0.04,0.03,-0.01,-0.00,978.10
0.663,0.03,0.99,-0.19,-0.00,0.01,0.04,0.03,-0.01,-0.00,978.10
0.666,0.03,0.99,-0.19,-0.00,0.01,0.04,0.03,-0.01,-0.00,978.12
0.684,0.03,0.99,-0.19,-0.00,0.01,0.04,0.03,-0.01,-0.00,978.12
0.686,0.03,0.99,-0.19,-0.00,0.01,0.04,0.04,-0.02,-0.02,978.12
0.688,0.03,0.99,-0.19,0.06,-0.00,0.05,0.04,-0.02,-0.02,978.12
