time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.005,-0.13,0.97,0.15,0.24,0.08,-0.31,0.07,-0.20,-0.01,1001.88
0.007,-0.13,0.97,0.15,0.24,0.08,-0.31,0.01,0.00,0.09,1001.88
0.009,-0.13,0.97,0.15,-0.04,-0.03,-0.27,0.01,0.00,0.09,1001.88
0.096,-0.06,0.99,0.15,-0.04,-0.03,-0.27,0.01,0.00,0.09,1001.88
0.099,-0.06,0.99,0.15,-0.04,-0.03,-0.27,0.04,-0.07,0.02,1001.88
0.102,-0.06,0.99,0.15,0.61,0.17,-0.25,0.04,-0.07,0.02,1001.88
0.137,-0.09,0.98,0.12,0.61,0.17,-0.25,0.04,-0.07,0.02,1001.88
0.139,-0.09,0.98,0.12,0.61,0.17,-0.25,0.02,-0.05,-0.03,1001.88
0.141,-0.09,0.98,0.12,0.29,0.05,-0.47,0.02,-0.05,-0.03,1001.88
0.144,-0.09,0.98,0.12,0.29,0.05,-0.47,0.02,-0.05,-0.03,1001.87
0.179,-0.07,0.98,0.16,0.29,0.05,-0.47,0.02,-0.05,-0.03,1001.87
0.182,-0.07,0.98,0.16,0.29,0.05,-0.47,0.04,-0.08,-0.06,1001.87
0.184,-0.07,0.98,0.16,0.55,0.02,-0.13,0.04,-0.08,-0.06,1001.87
0.227,-0.12,0.97,0.14,0.55,0.02,-0.13,0.04,-0.08,-0.06,1001.87
0.234,-0.12,0.97,0.14,0.55,0.02,-0.13,0.08,-0.07,-0.05,1001.87
0.24,-0.12,0.97,0.14,0.09,-0.09,-0.28,0.08,-0.07,-0.05,1001.87
0.298,-0.12,0.97,0.12,0.09,-0.09,-0.28,0.08,-0.07,-0.05,1001.87
0.302,-0.12,0.97,0.12,0.09,-0.09,-0.28,0.09,-0.06,-0.01,1001.87
0.308,-0.12,0.97,0.12,0.04,-0.07,-0.42,0.09,-0.06,-0.01,1001.87
0.343,-0.12,0.97,0.12,0.04,-0.07,-0.42,0.09,-0.06,-0.01,1001.87
0.356,-0.09,0.98,0.14,0.04,-0.07,-0.42,0.09,-0.06,-0.01,1001.87
0.361,-0.09,0.98,0.14,0.04,-0.07,-0.42,0.12,-0.09,-0.04,1001.87
0.369,-0.09,0.98,0.14,0.40,0.01,-0.20,0.12,-0.09,-0.04,1001.87
0.417,-0.10,0.98,0.14,0.40,0.01,-0.20,0.12,-0.09,-0.04,1001.87
0.42,-0.10,0.98,0.14,0.40,0.01,-0.20,0.16,-0.11,-0.05,1001.87
0.422,-0.10,0.98,0.14,0.25,0.00,-0.17,0.16,-0.11,-0.05,1001.87
0.486,-0.11,0.98,0.13,0.25,0.00,-0.17,0.16,-0.11,-0.05,1001.87
0.488,-0.11,0.98,0.13,0.25,0.00,-0.17,0.22,-0.11,0.01,1001.87
0.49,-0.11,0.98,0.13,0.18,-0.05,-0.22,0.22,-0.11,0.01,1001.87
0.521,-0.11,0.98,0.13,0.18,-0.05,-0.22,0.22,-0.11,0.01,1001.88
