time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.005,0.16,1.00,-0.05,0.81,0.14,-0.14,0.07,0.06,0.10,1001.93
0.008,0.16,1.00,-0.05,0.81,0.14,-0.14,0.10,-0.14,0.04,1001.93
0.01,0.16,1.00,-0.05,0.25,0.08,-0.51,0.10,-0.14,0.04,1001.93
0.063,0.20,1.00,0.05,0.25,0.08,-0.51,0.10,-0.14,0.04,1001.93
0.066,0.20,1.00,0.05,0.25,0.08,-0.51,0.22,-0.19,-0.17,1001.93
0.067,0.20,1.00,0.05,0.64,0.09,0.58,0.22,-0.19,-0.17,1001.93
0.109,0.20,1.00,0.05,0.64,0.09,0.58,0.22,-0.19,-0.17,1001.92
0.16,0.18,1.00,-0.02,0.64,0.09,0.58,0.22,-0.19,-0.17,1001.92
0.162,0.18,1.00,-0.02,0.64,0.09,0.58,0.30,0.05,-0.40,1001.92
0.165,0.18,1.00,-0.02,0.52,0.08,-0.01,0.30,0.05,-0.40,1001.92
0.197,0.00,1.04,-0.12,0.52,0.08,-0.01,0.30,0.05,-0.40,1001.92
0.199,0.00,1.04,-0.12,0.52,0.08,-0.01,0.30,-0.01,-0.24,1001.92
0.201,0.00,1.04,-0.12,-0.98,0.45,-0.80,0.30,-0.01,-0.24,1001.92
0.29,0.19,1.03,-0.03,-0.98,0.45,-0.80,0.30,-0.01,-0.24,1001.92
0.293,0.19,1.03,-0.03,-0.98,0.45,-0.80,0.27,-0.03,-0.27,1001.92
0.295,0.19,1.03,-0.03,1.04,0.30,0.15,0.27,-0.03,-0.27,1001.92
0.298,0.19,1.03,-0.03,1.04,0.30,0.15,0.27,-0.03,-0.27,1001.91
0.306,0.04,1.03,-0.16,1.04,0.30,0.15,0.27,-0.03,-0.27,1001.91
0.309,0.04,1.03,-0.16,1.04,0.30,0.15,0.10,0.26,-0.27,1001.91
0.312,0.04,1.03,-0.16,-0.37,0.36,-0.92,0.10,0.26,-0.27,1001.91
0.415,0.22,0.98,-0.08,-0.37,0.36,-0.92,0.10,0.26,-0.27,1001.91
0.419,0.22,0.98,-0.08,-0.37,0.36,-0.92,-0.03,0.80,-0.46,1001.91
0.422,0.22,0.98,-0.08,1.52,-0.14,-0.12,-0.03,0.80,-0.46,1001.91
0.425,0.08,1.01,-0.11,1.52,-0.14,-0.12,-0.03,0.80,-0.46,1001.91
0.427,0.08,1.01,-0.11,1.52,-0.14,-0.12,0.10,0.99,-0.61,1001.91
0.43,0.08,1.01,-0.11,0.34,0.15,-0.44,0.10,0.99,-0.61,1001.91
0.487,0.08,1.01,-0.11,0.34,0.15,-0.44,0.10,0.99,-0.61,1001.92
0.495,-0.13,0.99,-0.14,0.34,0.15,-0.44,0.10,0.99,-0.61,1001.92
0.501,-0.13,0.99,-0.14,0.34,0.15,-0.44,-0.07,0.95,-0.59,1001.92
0.507,-0.13,0.99,-0.14,-1.15,-0.11,-0.70,-0.07,0.95,-0.59,1001.92
0.55,-0.16,1.01,-0.06,-1.15,-0.11,-0.70,-0.07,0.95,-0.59,1001.92
0.561,-0.16,1.01,-0.06,-1.15,-0.11,-0.70,-0.09,0.50,-0.45,1001.92
0.564,-0.16,1.01,-0.06,-1.11,0.09,-0.02,-0.09,0.50,-0.45,1001.92
0.631,-0.14,0.94,-0.19,-1.11,0.09,-0.02,-0.09,0.50,-0.45,1001.92
0.635,-0.14,0.94,-0.19,-1.11,0.09,-0.02,-0.23,0.17,-0.20,1001.92
0.639,-0.14,0.94,-0.19,-0.70,-0.55,-1.36,-0.23,0.17,-0.20,1001.92
0.645,-0.14,0.94,-0.19,-0.70,-0.55,-1.36,-0.23,0.17,-0.20,1001.92
0.676,-0.01,1.03,-0.03,-0.70,-0.55,-1.36,-0.23,0.17,-0.20,1001.92
0.678,-0.01,1.03,-0.03,-0.70,-0.55,-1.36,-0.25,-0.11,-0.01,1001.92
0.68,-0.01,1.03,-0.03,0.60,0.30,0.06,-0.25,-0.11,-0.01,1001.92
0.751,-0.02,1.02,-0.18,0.60,0.30,0.06,-0.25,-0.11,-0.01,1001.92
0.758,-0.02,1.02,-0.18,0.60,0.30,0.06,-0.38,-0.06,-0.22,1001.92
0.763,-0.02,1.02,-0.18,0.55,0.19,-1.51,-0.38,-0.06,-0.22,1001.92
0.818,0.00,1.02,0.05,0.55,0.19,-1.51,-0.38,-0.06,-0.22,1001.92
0.82,0.00,1.02,0.05,0.55,0.19,-1.51,-0.43,-0.33,-0.07,1001.92
0.822,0.00,1.02,0.05,0.84,0.21,0.56,-0.43,-0.33,-0.07,1001.92
0.826,0.00,1.02,0.05,0.84,0.21,0.56,-0.43,-0.33,-0.07,1001.91
0.863,-0.13,0.96,-0.01,0.84,0.21,0.56,-0.43,-0.33,-0.07,1001.91
0.872,-0.13,0.96,-0.01,0.84,0.21,0.56,-0.27,-0.29,-0.07,1001.91
