time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.014,0.25,0.98,-0.08,0.24,0.12,0.17,0.02,0.03,-0.04,1004.61
0.017,0.25,0.98,-0.08,0.24,0.12,0.17,0.04,0.04,-0.04,1004.61
0.022,0.25,0.98,-0.08,0.02,0.09,0.03,0.04,0.04,-0.04,1004.61
0.099,0.26,0.96,-0.07,0.02,0.09,0.03,0.04,0.04,-0.04,1004.61
0.101,0.26,0.96,-0.07,0.02,0.09,0.03,0.02,-0.02,-0.04,1004.61
0.102,0.26,0.96,-0.07,0.02,0.09,0.03,0.02,-0.02,-0.04,1004.61
0.104,0.26,0.96,-0.07,0.12,-0.04,0.06,0.02,-0.02,-0.04,1004.61
0.128,0.25,0.98,-0.08,0.12,-0.04,0.06,0.02,-0.02,-0.04,1004.61
0.13,0.25,0.98,-0.08,0.12,-0.04,0.06,0.01,-0.02,-0.06,1004.61
0.131,0.25,0.98,-0.08,0.04,0.09,-0.03,0.01,-0.02,-0.06,1004.61
0.212,0.24,0.98,-0.07,0.04,0.09,-0.03,0.01,-0.02,-0.06,1004.61
0.214,0.24,0.98,-0.07,0.04,0.09,-0.03,0.04,-0.01,-0.04,1004.61
0.221,0.24,0.98,-0.07,-0.06,0.08,0.14,0.04,-0.01,-0.04,1004.61
0.257,0.24,0.97,-0.09,-0.06,0.08,0.14,0.04,-0.01,-0.04,1004.61
0.262,0.24,0.97,-0.09,-0.06,0.08,0.14,0.03,0.01,-0.03,1004.61
0.264,0.24,0.97,-0.09,-0.06,0.08,0.14,0.03,0.01,-0.03,1004.61
0.266,0.24,0.97,-0.09,-0.03,-0.03,-0.03,0.03,0.01,-0.03,1004.61
0.33,0.24,0.97,-0.08,-0.03,-0.03,-0.03,0.03,0.01,-0.03,1004.61
0.332,0.24,0.97,-0.08,-0.03,-0.03,-0.03,0.02,-0.02,-0.03,1004.61
0.333,0.24,0.97,-0.08,0.06,0.02,0.05,0.02,-0.02,-0.03,1004.61
0.376,0.23,0.98,-0.09,0.06,0.02,0.05,0.02,-0.02,-0.03,1004.61
0.379,0.23,0.98,-0.09,0.06,0.02,0.05,0.02,-0.00,-0.01,1004.61
0.381,0.23,0.98,-0.09,-0.03,0.15,-0.01,0.02,-0.00,-0.01,1004.61
0.422,0.24,0.98,-0.08,-0.03,0.15,-0.01,0.02,-0.00,-0.01,1004.61
0.424,0.24,0.98,-0.08,-0.03,0.15,-0.01,0.01,-0.02,-0.00,1004.61
0.425,0.24,0.98,-0.08,-0.03,0.15,-0.01,0.01,-0.02,-0.00,1004.60
0.427,0.24,0.98,-0.08,0.03,0.06,0.03,0.01,-0.02,-0.00,1004.60
0.483,0.24,0.99,-0.09,0.03,0.06,0.03,0.01,-0.02,-0.00,1004.60
0.485,0.24,0.99,-0.09,0.03,0.06,0.03,0.01,0.01,-0.01,1004.60
0.487,0.24,0.99,-0.09,0.03,0.16,-0.05,0.01,0.01,-0.01,1004.60
0.554,0.25,0.98,-0.08,0.03,0.16,-0.05,0.01,0.01,-0.01,1004.60
0.562,0.25,0.98,-0.08,0.03,0.16,-0.05,0.01,0.02,-0.02,1004.60
0.569,0.25,0.98,-0.08,0.12,0.14,0.06,0.01,0.02,-0.02,1004.60
0.616,0.24,0.98,-0.08,0.12,0.14,0.06,0.01,0.02,-0.02,1004.60
0.621,0.24,0.98,-0.08,0.12,0.14,0.06,0.02,0.01,-0.05,1004.60
0.623,0.24,0.98,-0.08,0.12,0.14,0.06,0.02,0.01,-0.05,1004.61
0.64,0.24,0.98,-0.08,0.08,0.08,0.04,0.02,0.01,-0.05,1004.61
0.684,0.23,0.97,-0.09,0.08,0.08,0.04,0.02,0.01,-0.05,1004.61
0.687,0.23,0.97,-0.09,0.08,0.08,0.04,0.02,0.03,-0.06,1004.61
0.69,0.23,0.97,-0.09,0.04,0.04,-0.05,0.02,0.03,-0.06,1004.61
0.74,0.23,0.98,-0.08,0.04,0.04,-0.05,0.02,0.03,-0.06,1004.61
0.742,0.23,0.98,-0.08,0.04,0.04,-0.05,0.01,0.01,-0.06,1004.61
0.744,0.23,0.98,-0.08,-0.01,0.10,0.06,0.01,0.01,-0.06,1004.61
0.835,0.21,0.98,-0.09,-0.01,0.10,0.06,0.01,0.01,-0.06,1004.61
0.84,0.21,0.98,-0.09,-0.01,0.10,0.06,0.00,0.02,-0.06,1004.61
0.843,0.21,0.98,-0.09,-0.01,0.10,0.06,0.00,0.02,-0.06,1004.64
0.845,0.21,0.98,-0.09,-0.06,0.06,-0.04,0.00,0.02,-0.06,1004.64
0.847,0.20,0.97,-0.08,-0.06,0.06,-0.04,0.00,0.02,-0.06,1004.64
0.849,0.20,0.97,-0.08,-0.06,0.06,-0.04,0.01,0.02,-0.02,1004.64
0.852,0.20,0.97,-0.08,-0.14,-0.00,0.01,0.01,0.02,-0.02,1004.64
0.949,0.22,0.98,-0.08,-0.14,-0.00,0.01,0.01,0.02,-0.02,1004.64
