time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.005,0.06,0.99,-0.18,-0.53,0.20,-0.27,0.03,-0.07,0.02,1004.70
0.01,0.06,0.99,-0.18,-0.53,0.20,-0.27,0.01,-0.04,0.05,1004.70
0.012,0.06,0.99,-0.18,-0.07,0.08,-0.01,0.01,-0.04,0.05,1004.70
0.072,0.07,0.98,-0.18,-0.07,0.08,-0.01,0.01,-0.04,0.05,1004.70
0.077,0.07,0.98,-0.18,-0.07,0.08,-0.01,0.03,0.05,0.02,1004.70
0.08,0.07,0.98,-0.18,-0.07,0.08,-0.01,0.03,0.05,0.02,1004.70
0.082,0.07,0.98,-0.18,-0.02,-0.01,-0.03,0.03,0.05,0.02,1004.70
0.123,0.08,0.99,-0.18,-0.02,-0.01,-0.03,0.03,0.05,0.02,1004.70
0.126,0.08,0.99,-0.18,-0.02,-0.01,-0.03,0.01,-0.03,0.04,1004.70
0.127,0.08,0.99,-0.18,0.09,0.03,-0.08,0.01,-0.03,0.04,1004.70
0.178,0.09,0.99,-0.18,0.09,0.03,-0.08,0.01,-0.03,0.04,1004.70
0.182,0.09,0.99,-0.18,0.09,0.03,-0.08,-0.00,0.01,0.00,1004.70
0.184,0.09,0.99,-0.18,0.17,0.08,-0.03,-0.00,0.01,0.00,1004.70
0.242,0.07,0.99,-0.18,0.17,0.08,-0.03,-0.00,0.01,0.00,1004.70
0.245,0.07,0.99,-0.18,0.17,0.08,-0.03,-0.00,-0.01,-0.01,1004.70
0.246,0.07,0.99,-0.18,0.17,0.08,-0.03,-0.00,-0.01,-0.01,1004.69
0.248,0.07,0.99,-0.18,-0.08,0.03,-0.01,-0.00,-0.01,-0.01,1004.69
0.33,0.08,0.99,-0.18,-0.08,0.03,-0.01,-0.00,-0.01,-0.01,1004.69
0.332,0.08,0.99,-0.18,-0.08,0.03,-0.01,0.00,0.01,-0.03,1004.69
0.334,0.08,0.99,-0.18,0.01,0.08,-0.03,0.00,0.01,-0.03,1004.69
0.357,0.07,0.99,-0.17,0.01,0.08,-0.03,0.00,0.01,-0.03,1004.69
0.361,0.07,0.99,-0.17,0.01,0.08,-0.03,-0.00,0.01,-0.02,1004.69
0.363,0.07,0.99,-0.17,0.01,0.07,0.05,-0.00,0.01,-0.02,1004.69
0.416,0.07,1.00,-0.17,0.01,0.07,0.05,-0.00,0.01,-0.02,1004.69
0.419,0.07,1.00,-0.17,0.01,0.07,0.05,0.00,0.03,-0.01,1004.69
0.421,0.07,1.00,-0.17,0.01,0.07,0.05,0.00,0.03,-0.01,1004.70
0.423,0.07,1.00,-0.17,0.01,0.12,-0.00,0.00,0.03,-0.01,1004.70
0.476,0.07,0.99,-0.17,0.01,0.12,-0.00,0.00,0.03,-0.01,1004.70
0.478,0.07,0.99,-0.17,0.01,0.12,-0.00,-0.01,0.01,-0.02,1004.70
0.48,0.07,0.99,-0.17,-0.02,0.04,0.05,-0.01,0.01,-0.02,1004.70
0.552,0.08,0.99,-0.17,-0.02,0.04,0.05,-0.01,0.01,-0.02,1004.70
0.555,0.08,0.99,-0.17,-0.02,0.04,0.05,-0.00,0.07,-0.00,1004.70
0.556,0.08,0.99,-0.17,0.04,0.02,0.02,-0.00,0.07,-0.00,1004.70
0.605,0.06,0.99,-0.16,0.04,0.02,0.02,-0.00,0.07,-0.00,1004.70
0.61,0.06,0.99,-0.16,0.04,0.02,0.02,0.00,0.06,0.04,1004.70
0.611,0.06,0.99,-0.16,0.04,0.02,0.02,0.00,0.06,0.04,1004.70
0.613,0.06,0.99,-0.16,-0.11,0.02,0.05,0.00,0.06,0.04,1004.70
0.666,0.04,0.99,-0.16,-0.11,0.02,0.05,0.00,0.06,0.04,1004.70
0.67,0.04,0.99,-0.16,-0.11,0.02,0.05,0.01,0.30,0.09,1004.70
0.674,0.04,0.99,-0.16,-0.41,0.09,0.12,0.01,0.30,0.09,1004.70
0.752,0.04,0.99,-0.17,-0.41,0.09,0.12,0.01,0.30,0.09,1004.70
0.755,0.04,0.99,-0.17,-0.41,0.09,0.12,0.04,0.23,0.25,1004.70
0.759,0.04,0.99,-0.17,-0.46,0.03,0.01,0.04,0.23,0.25,1004.70
0.796,0.09,0.99,-0.19,-0.46,0.03,0.01,0.04,0.23,0.25,1004.70
0.799,0.09,0.99,-0.19,-0.46,0.03,0.01,0.03,0.06,0.37,1004.70
0.801,0.09,0.99,-0.19,-0.46,0.03,0.01,0.03,0.06,0.37,1004.69
0.803,0.09,0.99,-0.19,-0.19,0.12,-0.18,0.03,0.06,0.37,1004.69
0.845,0.15,0.99,-0.21,-0.19,0.12,-0.18,0.03,0.06,0.37,1004.69
0.847,0.15,0.99,-0.21,-0.19,0.12,-0.18,-0.05,-0.01,0.38,1004.69
0.849,0.15,0.99,-0.21,0.28,0.15,-0.37,-0.05,-0.01,0.38,1004.69
0.911,0.33,1.01,-0.26,0.28,0.15,-0.37,-0.05,-0.01,0.38,1004.69
0.913,0.33,1.01,-0.26,0.28,0.15,-0.37,-0.24,-0.01,-0.02,1004.69
0.915,0.33,1.01,-0.26,1.81,0.36,-0.88,-0.24,-0.01,-0.02,1004.69
0.976,0.24,1.08,-0.21,1.81,0.36,-0.88,-0.24,-0.01,-0.02,1004.69
0.979,0.24,1.08,-0.21,1.81,0.36,-0.88,-0.51,-0.13,-0.71,1004.69
0.983,0.24,1.08,-0.21,1.81,0.36,-0.88,-0.51,-0.13,-0.71,1004.71
0.985,0.24,1.08,-0.21,0.88,0.99,-0.55,-0.51,-0.13,-0.71,1004.71
1.032,0.24,1.08,-0.04,0.88,0.99,-0.55,-0.51,-0.13,-0.71,1004.71
1.034,0.24,1.08,-0.04,0.88,0.99,-0.55,-0.53,1.11,-1.27,1004.71
1.036,0.24,1.08,-0.04,1.18,0.98,0.92,-0.53,1.11,-1.27,1004.71
1.104,0.09,0.95,-0.66,1.18,0.98,0.92,-0.53,1.11,-1.27,1004.71
1.111,0.09,0.95,-0.66,1.18,0.98,0.92,-0.09,2.73,-1.69,1004.71
1.113,0.09,0.95,-0.66,0.90,-0.45,-5.59,-0.09,2.73,-1.69,1004.71
1.142,0.23,0.66,-0.52,0.90,-0.45,-5.59,-0.09,2.73,-1.69,1004.71
1.145,0.23,0.66,-0.52,0.90,-0.45,-5.59,0.38,1.47,-0.61,1004.71
