time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,-0.38,0.90,-0.06,0.43,0.04,0.14,-0.01,0.21,0.02,978.08
0.004,-0.38,0.90,-0.06,0.43,0.04,0.14,0.05,-0.44,0.05,978.08
0.004,-0.38,0.90,-0.06,0.41,0.03,0.07,0.05,-0.44,0.05,978.08
0.018,-0.49,0.89,-0.07,0.41,0.03,0.07,0.05,-0.44,0.05,978.08
0.024,-0.49,0.89,-0.07,0.41,0.03,0.07,0.05,-0.44,0.05,978.08
0.034,-0.48,0.90,-0.07,0.41,0.03,0.07,0.05,-0.44,0.05,978.08
0.035,-0.48,0.90,-0.07,0.41,0.03,0.07,-0.00,0.22,-0.15,978.08
0.036,-0.48,0.90,-0.07,0.86,-0.01,-0.16,-0.00,0.22,-0.15,978.08
0.054,-0.45,0.91,-0.07,0.86,-0.01,-0.16,-0.00,0.22,-0.15,978.08
0.074,-0.56,0.89,-0.07,0.86,-0.01,-0.16,-0.00,0.22,-0.15,978.08
0.074,-0.56,0.89,-0.07,0.86,-0.01,-0.16,0.03,-0.11,-0.25,978.08
0.075,-0.56,0.89,-0.07,-0.01,0.08,-0.06,0.03,-0.11,-0.25,978.08
0.084,-0.56,0.89,-0.07,-0.01,0.08,-0.06,0.03,-0.11,-0.25,978.09
0.094,-0.62,0.92,-0.03,-0.01,0.08,-0.06,0.03,-0.11,-0.25,978.09
0.124,-0.62,0.92,-0.03,0.04,0.11,-0.02,0.03,-0.11,-0.25,978.09
0.125,-0.55,0.89,-0.06,0.04,0.11,-0.02,0.03,-0.11,-0.25,978.09
0.126,-0.55,0.89,-0.06,0.04,0.11,-0.02,0.02,0.16,-0.16,978.09
0.135,-0.52,0.90,-0.06,0.04,0.11,-0.02,0.02,0.16,-0.16,978.09
0.144,-0.52,0.90,-0.06,0.04,0.11,-0.02,0.02,0.16,-0.16,978.11
0.157,-0.52,0.89,-0.05,0.04,0.11,-0.02,0.02,0.16,-0.16,978.11
0.159,-0.52,0.89,-0.05,0.04,0.11,-0.02,0.06,-0.02,-0.01,978.11
0.16,-0.52,0.89,-0.05,-0.62,0.14,0.15,0.06,-0.02,-0.01,978.11
0.173,-0.49,0.87,-0.10,-0.62,0.14,0.15,0.06,-0.02,-0.01,978.11
0.192,-0.39,0.88,-0.19,-0.62,0.14,0.15,0.06,-0.02,-0.01,978.11
0.193,-0.39,0.88,-0.19,-0.62,0.14,0.15,0.11,0.08,-0.05,978.11
0.193,-0.39,0.88,-0.19,0.33,-0.08,-0.40,0.11,0.08,-0.05,978.11
0.206,-0.39,0.88,-0.19,0.33,-0.08,-0.40,0.11,0.08,-0.05,978.10
0.219,-0.30,0.90,-0.16,0.33,-0.08,-0.40,0.11,0.08,-0.05,978.10
0.233,-0.49,0.90,-0.15,0.33,-0.08,-0.40,0.11,0.08,-0.05,978.10
0.233,-0.49,0.90,-0.15,0.33,-0.08,-0.40,0.10,0.66,-0.17,978.10
0.234,-0.49,0.90,-0.15,0.36,-0.04,-0.23,0.10,0.66,-0.17,978.10
0.251,-0.60,0.90,-0.11,0.36,-0.04,-0.23,0.10,0.66,-0.17,978.10
0.264,-0.60,0.90,-0.11,0.36,-0.04,-0.23,0.10,0.66,-0.17,978.09
0.272,-0.38,0.92,-0.08,0.36,-0.04,-0.23,0.10,0.66,-0.17,978.09
0.272,-0.38,0.92,-0.08,0.36,-0.04,-0.23,0.10,1.39,0.05,978.09
