time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
0.003,0.10,0.99,-0.18,-0.10,0.02,0.07,0.01,-0.03,0.01,978.07
0.008,0.10,0.99,-0.18,-0.10,0.02,0.07,0.01,-0.03,0.01,978.08
0.013,0.11,0.99,-0.13,-0.10,0.02,0.07,0.01,-0.03,0.01,978.08
0.013,0.11,0.99,-0.13,-0.10,0.02,0.07,0.02,-0.00,-0.01,978.08
0.014,0.11,0.99,-0.13,0.07,-0.02,-0.10,0.02,-0.00,-0.01,978.08
0.03,0.09,0.99,-0.16,0.07,-0.02,-0.10,0.02,-0.00,-0.01,978.08
0.05,0.09,0.98,-0.16,0.07,-0.02,-0.10,0.02,-0.00,-0.01,978.08
0.051,0.09,0.98,-0.16,0.07,-0.02,-0.10,-0.02,0.03,-0.02,978.08
0.052,0.09,0.98,-0.16,0.04,-0.00,-0.08,-0.02,0.03,-0.02,978.08
0.067,0.09,0.98,-0.16,0.04,-0.00,-0.08,-0.02,0.03,-0.02,978.10
0.069,0.06,0.98,-0.15,0.04,-0.00,-0.08,-0.02,0.03,-0.02,978.10
0.09,0.09,1.00,-0.11,0.04,-0.00,-0.08,-0.02,0.03,-0.02,978.10
0.092,0.09,1.00,-0.11,0.04,-0.00,-0.08,-0.07,0.07,-0.02,978.10
0.094,0.09,1.00,-0.11,0.04,-0.01,-0.10,-0.07,0.07,-0.02,978.10
0.111,0.12,0.99,-0.13,0.04,-0.01,-0.10,-0.07,0.07,-0.02,978.10
0.162,0.12,0.99,-0.13,0.04,-0.01,-0.10,-0.07,0.07,-0.02,978.09
0.165,0.08,0.99,-0.14,0.04,-0.01,-0.10,-0.07,0.07,-0.02,978.09
0.167,0.08,0.99,-0.14,0.04,-0.01,-0.10,-0.04,0.02,0.00,978.09
0.17,0.08,0.99,-0.14,-0.04,-0.00,0.09,-0.04,0.02,0.00,978.09
0.172,0.09,0.99,-0.13,-0.04,-0.00,0.09,-0.04,0.02,0.00,978.09
0.174,0.10,0.99,-0.15,-0.04,-0.00,0.09,-0.04,0.02,0.00,978.09
0.176,0.10,0.99,-0.15,-0.04,-0.00,0.09,-0.00,-0.04,-0.01,978.09
0.178,0.10,0.99,-0.15,-0.05,-0.01,0.01,-0.00,-0.04,-0.01,978.09
0.192,0.10,0.99,-0.15,-0.05,-0.01,0.01,-0.00,-0.04,-0.01,978.09
0.194,0.08,0.99,-0.13,-0.05,-0.01,0.01,-0.00,-0.04,-0.01,978.09
0.22,0.08,0.99,-0.13,-0.04,-0.01,0.01,-0.00,-0.04,-0.01,978.09
0.223,0.08,0.99,-0.13,-0.04,-0.01,0.01,-0.00,-0.04,-0.01,978.09
0.224,0.08,0.99,-0.13,-0.04,-0.01,0.01,-0.01,0.01,0.01,978.09
0.241,0.09,0.99,-0.14,-0.04,-0.01,0.01,-0.01,0.01,0.01,978.09
0.258,0.09,0.99,-0.14,-0.04,-0.01,0.01,-0.01,0.01,0.01,978.08
0.259,0.08,0.99,-0.14,-0.04,-0.01,0.01,-0.01,0.01,0.01,978.08
0.26,0.08,0.99,-0.14,-0.04,-0.01,0.01,-0.01,0.00,0.02,978.08
0.261,0.08,0.99,-0.14,-0.07,-0.00,0.02,-0.01,0.00,0.02,978.08
0.269,0.09,0.99,-0.15,-0.07,-0.00,0.02,-0.01,0.00,0.02,978.08
0.289,0.13,0.99,-0.12,-0.07,-0.00,0.02,-0.01,0.00,0.02,978.08
0.291,0.13,0.99,-0.12,-0.07,-0.00,0.02,-0.01,-0.03,0.03,978.08
0.292,0.13,0.99,-0.12,0.05,-0.00,0.01,-0.01,-0.03,0.03,978.08
0.328,0.13,0.99,-0.12,0.05,-0.00,0.01,-0.01,-0.03,0.03,978.08
0.331,0.10,0.99,-0.14,0.05,-0.00,0.01,-0.01,-0.03,0.03,978.08
0.332,0.10,0.99,-0.13,0.05,-0.00,0.01,-0.01,-0.03,0.03,978.08
0.334,0.10,0.99,-0.13,0.05,-0.00,0.01,-0.02,-0.02,0.01,978.08
0.335,0.10,0.99,-0.13,0.04,-0.00,0.01,-0.02,-0.02,0.01,978.08
0.355,0.09,0.99,-0.13,0.04,-0.00,0.01,-0.02,-0.02,0.01,978.08
0.367,0.09,0.99,-0.14,0.04,-0.00,0.01,-0.02,-0.02,0.01,978.08
0.368,0.09,0.99,-0.14,0.04,-0.00,0.01,-0.01,0.01,-0.00,978.08
0.369,0.09,0.99,-0.14,0.04,-0.00,0.01,-0.01,0.01,-0.00,978.08
0.37,0.09,0.99,-0.14,0.01,-0.01,0.03,-0.01,0.01,-0.00,978.08
0.387,0.11,0.99,-0.13,0.01,-0.01,0.03,-0.01,0.01,-0.00,978.08
0.407,0.10,0.99,-0.13,0.01,-0.01,0.03,-0.01,0.01,-0.00,978.08
0.41,0.10,0.99,-0.13,0.03,-0.00,0.04,-0.01,0.01,-0.00,978.08
0.411,0.10,0.99,-0.13,0.03,-0.00,0.04,-0.00,0.00,0.00,978.08
0.439,0.09,0.99,-0.13,0.03,-0.00,0.04,-0.00,0.00,0.00,978.08
0.44,0.09,0.99,-0.13,0.03,-0.00,0.04,-0.00,0.00,0.00,978.08
0.446,0.09,0.99,-0.13,0.03,-0.00,0.04,-0.00,0.00,0.00,978.08
0.447,0.09,0.99,-0.14,0.03,-0.00,0.04,-0.00,0.00,0.00,978.08
0.448,0.09,0.99,-0.14,0.03,-0.00,0.04,0.00,0.02,-0.00,978.08
0.465,0.09,0.99,-0.13,0.03,-0.00,0.04,0.00,0.02,-0.00,978.08
0.485,0.10,0.99,-0.13,0.03,-0.00,0.04,0.00,0.02,-0.00,978.08
0.487,0.10,0.99,-0.13,0.03,-0.00,0.04,0.01,0.01,-0.00,978.08
0.487,0.10,0.99,-0.13,-0.03,-0.01,-0.01,0.01,0.01,-0.00,978.08
0.488,0.10,0.99,-0.13,-0.03,-0.01,-0.01,0.01,0.01,-0.00,978.09
0.505,0.09,0.99,-0.14,-0.03,-0.01,-0.01,0.01,0.01,-0.00,978.09
