time,ax,ay,az,atotal
0.005803108215332031,0.64,0.0,-0.48,0.8
0.013643026351928711,0.07,-0.08,-0.25,0.27
0.021008014678955078,-0.01,-0.07,0.13,0.14
0.03376317024230957,0.18,0.08,0.47,0.5
0.04263615608215332,0.08,0.31,0.67,0.74
0.05483698844909668,-0.32,0.23,1.09,1.15
0.0635221004486084,-0.51,-0.07,1.54,1.62
0.07121610641479492,-0.21,-0.21,1.65,1.67
0.0840141773223877,0.71,-0.14,1.32,1.5
0.09236502647399902,1.56,0.0,0.81,1.75
0.10481810569763184,2.69,-0.15,0.47,2.73
0.1140282154083252,3.08,-0.4,-0.15,3.1
0.12108111381530762,1.16,0.07,-0.64,1.32
0.1339550018310547,-0.2,0.32,-0.83,0.91
0.14242911338806152,-0.75,0.16,-0.7,1.03
0.15493512153625488,-0.74,0.14,-0.24,0.79
0.1637279987335205,-0.52,0.17,0.4,0.67
0.17116999626159668,-0.02,-0.04,0.83,0.83
0.18372201919555664,0.58,0.01,0.95,1.11
0.192396879196167,0.95,0.11,0.71,1.19
0.20480608940124512,1.13,0.09,0.3,1.17
0.21385407447814941,1.03,-0.02,-0.08,1.03
0.22104716300964355,0.8,-0.09,-0.16,0.82
0.23469996452331543,0.77,-0.14,-0.24,0.81
0.24236202239990234,0.88,-0.05,-0.63,1.08
0.25462889671325684,0.88,0.09,-0.51,1.02
0.2637341022491455,0.73,0.31,-0.35,0.86
0.2712419033050537,0.41,0.4,-0.37,0.68
0.28412508964538574,0.31,0.37,-0.6,0.77
0.29326605796813965,0.24,0.34,-0.56,0.69
0.30485010147094727,0.4,0.1,-0.14,0.43
0.31382107734680176,0.73,0.05,0.53,0.9
0.32137322425842285,0.7,-0.18,0.58,0.92
0.33395910263061523,0.5,-0.22,0.46,0.71
0.3427889347076416,0.34,-0.04,0.37,0.5
0.3549370765686035,0.36,0.01,0.03,0.36
0.36384105682373047,0.38,-0.06,-0.3,0.48
0.37120890617370605,0.44,-0.19,-0.79,0.92
0.3842930793762207,0.68,-0.16,-0.82,1.07
0.39263200759887695,0.75,0.03,-1.05,1.29
0.4052250385284424,0.23,0.41,-1.8,1.86
0.413801908493042,-0.24,0.82,0.07,0.85
0.42139697074890137,-0.35,0.69,0.84,1.14
