time,ax,ay,az,atotal
0.004967927932739258,0.61,0.34,-0.65,0.95
0.01851201057434082,0.22,0.22,-0.47,0.56
0.025654077529907227,-0.17,0.03,-0.55,0.57
0.03640913963317871,-0.48,-0.18,-0.68,0.85
0.046356916427612305,-0.73,-0.16,-0.69,1.01
0.055017948150634766,-0.69,-0.22,-0.76,1.04
0.06750988960266113,-0.5,-0.39,-0.67,0.92
0.07564902305603027,-0.12,-0.72,-0.6,0.94
0.08652615547180176,0.47,-1.27,-0.84,1.59
0.096343994140625,0.85,-1.44,-1.25,2.08
0.10510087013244629,0.87,-1.46,-1.71,2.41
0.1175990104675293,0.25,-1.63,-2.33,2.85
0.1258080005645752,-0.08,-1.37,-2.87,3.18
0.1365668773651123,-0.23,-1.11,-3.4,3.58
0.14649701118469238,-0.75,-0.74,-3.75,3.89
0.15520310401916504,-1.23,-0.81,-3.89,4.15
0.16764092445373535,-1.76,-0.53,-3.7,4.13
0.17583203315734863,-1.9,-0.47,-3.46,3.97
0.18648886680603027,-1.5,-0.6,-3.15,3.54
0.19651198387145996,-0.91,-0.58,-2.74,2.94
0.20522093772888184,-0.29,-0.38,-2.28,2.32
0.21788501739501953,-0.08,0.03,-1.84,1.84
0.2258150577545166,0.07,0.18,-1.35,1.36
0.23641395568847656,0.22,-0.25,-0.92,0.97
0.24640917778015137,-0.12,-0.68,-0.51,0.85
0.25522804260253906,-0.54,-1.06,-0.29,1.22
0.2677760124206543,-0.52,-1.17,-0.47,1.36
0.27573394775390625,-0.24,-1.02,-0.86,1.35
0.28637003898620605,-0.15,-0.84,-0.96,1.28
0.2973949909210205,-0.49,-0.74,-0.94,1.29
0.3051588535308838,-0.84,-0.53,-0.93,1.36
0.31772685050964355,-1.02,-0.4,-0.56,1.23
0.3258640766143799,-0.43,-0.49,0.04,0.65
0.3364279270172119,0.15,-0.4,0.39,0.57
0.3465769290924072,0.5,0.05,0.56,0.75
0.35530591011047363,1.35,0.17,0.81,1.58
0.36767005920410156,2.12,0.17,1.1,2.39
0.3758351802825928,2.41,0.42,1.87,3.07
0.38654398918151855,2.16,0.84,3.24,3.98
0.3966958522796631,2.07,1.28,4.66,5.25
0.4053161144256592,2.35,1.81,6.27,6.93
0.4177420139312744,3.04,1.56,7.04,7.82
0.4259300231933594,2.65,0.71,6.82,7.35
0.43651294708251953,2.17,0.3,5.58,5.99
0.44657301902770996,3.29,0.76,3.68,4.99
0.4553091526031494,5.12,1.15,2.96,6.02
0.4677870273590088,6.96,1.38,3.26,7.8
0.4759838581085205,8.37,1.5,2.92,8.99
0.4866049289703369,9.14,1.73,1.97,9.5
0.49665284156799316,8.56,2.6,1.53,9.07
0.5054099559783936,7.84,4.12,1.63,9.0
0.5179579257965088,6.46,5.86,2.25,9.0
0.5260059833526611,4.29,7.45,2.82,9.04
0.5365540981292725,2.84,8.52,3.13,9.51
0.5467069149017334,1.87,8.95,3.99,9.97
0.5554070472717285,1.02,8.34,5.06,9.8
0.5678460597991943,1.03,7.46,5.93,9.58
0.5759861469268799,2.15,7.32,5.97,9.68
0.5867431163787842,1.41,6.67,5.77,8.93
0.5967519283294678,-0.27,6.48,4.37,7.82
0.6054229736328125,-1.55,7.22,2.86,7.91
0.6179149150848389,-3.66,8.24,2.13,9.26
0.6260950565338135,-5.17,9.7,2.69,11.31
0.6366689205169678,-6.16,9.63,3.06,11.83
0.6467249393463135,-7.37,8.48,2.23,11.45
0.655379056930542,-7.93,7.7,1.59,11.16
0.6678719520568848,-8.19,6.75,0.99,10.65
0.6760818958282471,-7.48,6.32,-0.2,9.79
0.6867330074310303,-6.96,5.49,-0.51,8.87
0.6967339515686035,-7.0,4.14,-1.4,8.25
0.7054359912872314,-6.84,2.73,-2.16,7.67
0.7178409099578857,-6.48,1.56,-2.33,7.06
0.7260479927062988,-5.57,0.82,-2.4,6.12
0.7365870475769043,-4.94,-0.12,-2.64,5.6
0.7466599941253662,-4.59,-1.12,-2.48,5.33
0.7553520202636719,-4.16,-1.92,-2.04,5.01
0.7678580284118652,-3.93,-2.61,-1.68,5.0
0.7758300304412842,-3.93,-3.13,-1.37,5.2
0.7867238521575928,-4.2,-3.72,-0.67,5.65
0.7967889308929443,-4.1,-3.8,-0.75,5.64
0.8055078983306885,-4.97,-4.45,-1.27,6.79
0.818011999130249,-5.22,-5.12,-1.68,7.5
0.8260438442230225,-4.81,-5.39,-1.68,7.41
0.8368730545043945,-4.51,-5.83,-1.3,7.48
0.8468320369720459,-4.35,-6.11,-1.14,7.58
0.8557319641113281,-4.78,-6.43,-0.55,8.03
0.8680069446563721,-4.31,-6.61,-0.56,7.91
0.8762459754943848,-5.04,-6.88,-0.4,8.53
0.8869049549102783,-5.72,-6.91,-0.38,8.97
0.8968088626861572,-6.07,-6.76,-0.44,9.09
0.9055910110473633,-6.11,-6.79,-0.21,9.13
0.9181129932403564,-5.98,-6.36,-0.66,8.75
0.9262559413909912,-5.36,-5.83,-1.24,8.01
0.9369239807128906,-5.27,-5.68,-1.8,7.95
0.9469389915466309,-5.2,-5.62,-2.16,7.95
0.9556591510772705,-5.13,-5.38,-2.13,7.73
0.9681718349456787,-4.96,-5.09,-1.67,7.3
0.976315975189209,-4.75,-4.91,-1.24,6.94
0.9870541095733643,-4.98,-4.8,-0.76,6.95
0.9970049858093262,-5.35,-4.54,-0.15,7.01
1.0055530071258545,-5.33,-4.03,-0.26,6.68
1.018237829208374,-4.94,-3.36,-0.13,5.97
1.0263290405273438,-4.74,-2.76,0.14,5.48
1.0370519161224365,-4.4,-2.19,-0.03,4.91
1.047027826309204,-4.64,-2.06,-0.09,5.07
1.0555059909820557,-4.85,-1.71,-0.09,5.14
1.0685160160064697,-4.59,-1.23,0.15,4.75
1.0764620304107666,-4.2,-0.59,0.43,4.26
1.087083101272583,-4.09,0.29,0.59,4.14
1.097015142440796,-4.39,1.22,0.46,4.57
1.105816125869751,-4.35,2.38,0.14,4.96
1.118407964706421,-4.13,3.0,0.41,5.12
1.126396894454956,-4.03,3.86,0.4,5.59
1.1370508670806885,-4.16,5.01,0.76,6.55
1.1470458507537842,-3.93,5.98,1.16,7.24
1.1564910411834717,-3.63,6.36,0.2,7.32
1.1683039665222168,-3.21,6.5,-0.51,7.26
1.1763529777526855,-2.47,6.36,-0.64,6.85
1.1870381832122803,-1.42,6.24,-0.4,6.41
1.1970641613006592,-1.15,6.29,-0.08,6.39
1.2059919834136963,-1.37,6.83,0.13,6.96
1.2180500030517578,-1.74,7.15,0.06,7.35
1.2265188694000244,-1.39,6.96,-0.64,7.12
1.2371540069580078,-0.42,6.6,-0.99,6.68
1.2470648288726807,0.56,6.34,-0.59,6.39
1.255817174911499,1.05,5.74,-0.19,5.83
1.2683188915252686,1.62,5.26,0.65,5.54
1.276360034942627,2.37,4.56,1.69,5.4
1.287186861038208,2.99,3.33,2.18,4.97
1.2969980239868164,3.36,2.58,2.61,4.97
1.3058860301971436,3.41,2.09,3.03,5.01
1.3183369636535645,3.56,1.57,2.94,4.87
1.3265399932861328,4.22,1.3,2.98,5.32
1.33713698387146,5.04,1.09,2.5,5.73
1.3472011089324951,5.44,1.06,1.73,5.8
1.3557319641113281,5.76,1.61,1.35,6.13
1.3683600425720215,5.93,2.01,0.78,6.3
1.376338005065918,6.06,2.05,0.13,6.39
