time,ax,ay,az,atotal
0.006760120391845703,0.33,-0.07,0.34,0.47
0.01643514633178711,0.39,-0.08,0.42,0.57
0.024550914764404297,0.45,-0.08,0.34,0.56
0.03667497634887695,0.44,-0.07,0.21,0.49
0.04599404335021973,0.22,-0.19,0.23,0.37
0.05656003952026367,0.04,-0.29,0.3,0.41
0.0665130615234375,-0.14,-0.32,0.2,0.4
0.07448625564575195,-0.13,-0.32,0.15,0.37
0.08693695068359375,-0.1,-0.25,0.14,0.3
0.09597206115722656,-0.14,-0.17,0.07,0.23
0.10681915283203125,-0.07,-0.19,0.04,0.2
0.1168050765991211,-0.13,-0.21,0.02,0.24
0.12479710578918457,-0.18,-0.23,-0.03,0.29
0.13680005073547363,-0.21,-0.22,-0.06,0.31
0.1459822654724121,-0.2,-0.2,0.0,0.28
0.1566331386566162,-0.18,-0.14,0.16,0.27
0.1665329933166504,-0.06,-0.04,0.23,0.24
0.17486310005187988,0.06,0.09,0.03,0.11
0.18680405616760254,0.04,0.09,0.12,0.15
0.19605803489685059,-0.04,0.2,0.08,0.21
0.20685505867004395,0.01,0.3,0.01,0.3
0.21677708625793457,-0.12,0.2,-0.05,0.23
0.2248702049255371,-0.18,0.06,0.04,0.19
0.23698902130126953,-0.22,0.02,0.07,0.23
0.2462139129638672,-0.29,0.01,-0.24,0.37
0.25666308403015137,-0.38,-0.03,-0.16,0.41
0.26640892028808594,-0.36,-0.1,0.17,0.41
0.27473926544189453,-0.18,-0.05,0.69,0.71
0.2869429588317871,-0.01,0.19,1.03,1.04
0.29607605934143066,0.45,0.02,0.83,0.94
0.30700016021728516,0.99,-0.14,0.47,1.1
0.3168649673461914,1.02,-0.17,0.53,1.16
0.32498598098754883,1.21,0.12,-0.48,1.3
0.3398430347442627,1.68,0.19,-0.89,1.91
0.34637904167175293,1.39,0.11,-0.5,1.48
0.35711002349853516,0.58,-0.06,-0.17,0.6
0.36693310737609863,0.14,0.15,0.05,0.21
0.37494802474975586,-0.48,0.57,0.19,0.76
0.38909006118774414,-1.09,0.72,0.21,1.32
0.3964252471923828,-1.2,0.51,0.17,1.31
0.40703392028808594,-1.21,0.03,0.09,1.21
0.41701507568359375,-1.04,-0.12,0.08,1.04
0.4250340461730957,-0.78,0.14,0.22,0.82
0.4391810894012451,-0.2,0.43,0.49,0.68
