time,ax,ay,az,atotal
0.004808902740478516,-0.23,0.35,-0.29,0.5
0.012769699096679688,-0.33,0.43,-0.39,0.66
0.026340961456298828,-0.07,0.18,-0.72,0.74
0.03428387641906738,0.17,-0.19,-1.23,1.25
0.0438847541809082,0.49,-0.45,-1.89,2.0
0.05385303497314453,0.44,-0.71,-2.04,2.2
0.06257295608520508,0.25,-0.88,-1.58,1.82
0.07575798034667969,0.22,-0.96,-1.21,1.56
0.08425784111022949,0.17,-1.08,-0.76,1.33
0.09405994415283203,0.21,-1.49,-0.43,1.56
0.1039128303527832,0.26,-1.71,-0.12,1.73
0.11264491081237793,0.27,-1.54,-0.05,1.56
0.1259148120880127,0.43,-1.11,-0.03,1.19
0.1342906951904297,0.6,-0.65,0.05,0.88
0.1439800262451172,0.91,-0.1,0.3,0.96
0.15409278869628906,1.36,0.39,0.26,1.43
0.16261887550354004,1.68,0.52,0.35,1.79
0.1758108139038086,2.69,0.02,0.36,2.71
0.18430685997009277,3.03,-0.62,0.42,3.12
0.1940770149230957,2.91,-1.48,0.28,3.27
0.20387601852416992,3.07,-1.98,0.13,3.65
0.21272993087768555,2.16,-2.61,0.24,3.39
0.22582292556762695,1.1,-2.6,0.46,2.86
0.23443078994750977,0.74,-1.79,-0.5,2.0
0.24418091773986816,-0.7,-1.08,-1.52,1.99
0.25417089462280273,-2.82,-0.36,-2.3,3.65
0.26279497146606445,-4.3,0.22,-2.99,5.24
0.2758469581604004,-4.14,0.0,-3.07,5.15
0.2844357490539551,-1.33,-2.31,-1.92,3.28
0.29412388801574707,1.21,-3.77,-1.15,4.12
0.3040437698364258,2.23,-2.13,-1.55,3.45
0.3127868175506592,1.66,-1.66,-0.96,2.53
0.32596778869628906,0.46,-2.9,-0.64,3.0
0.33435487747192383,0.36,-3.11,-0.38,3.15
0.3441047668457031,1.38,-2.79,0.37,3.13
0.35411977767944336,1.7,-3.1,0.3,3.54
0.36267590522766113,0.74,-3.35,-0.63,3.48
0.3756856918334961,0.45,-2.48,-0.89,2.67
0.38454294204711914,-0.98,-1.98,-1.08,2.45
0.3942117691040039,-0.82,-2.55,-1.51,3.07
0.40390777587890625,-0.34,-2.55,-1.65,3.05
0.4129948616027832,-0.75,-1.79,-1.6,2.51
0.42639780044555664,-1.22,-1.41,-1.66,2.49
0.4345128536224365,-1.2,-0.72,-1.53,2.07
0.4441237449645996,-1.73,0.13,-0.62,1.84
0.45424485206604004,-2.35,0.87,0.76,2.61
0.4628429412841797,-2.55,1.97,2.13,3.86
0.475848913192749,-2.53,2.84,2.87,4.76
0.48443603515625,-2.97,3.6,3.44,5.79
0.494081974029541,-3.25,4.26,4.03,6.7
0.5040907859802246,-3.23,4.9,4.35,7.3
