time,ax,ay,az,atotal
0.010624885559082031,0.11,-0.34,1.89,1.92
0.021078109741210938,0.26,-0.42,1.48,1.56
0.030289888381958008,0.2,-0.45,0.98,1.09
0.03873300552368164,0.04,-0.38,0.48,0.61
0.048963069915771484,-0.19,-0.2,0.1,0.29
0.060777902603149414,-0.23,-0.01,-0.09,0.24
0.07072877883911133,-0.18,0.06,-0.32,0.37
0.08087992668151855,-0.11,0.11,-0.55,0.57
0.08917593955993652,0.04,0.21,-0.67,0.7
0.09902691841125488,0.11,0.2,-0.66,0.69
0.1107320785522461,-0.01,0.18,-0.45,0.48
0.1218569278717041,-0.15,0.23,-0.17,0.32
0.13101482391357422,-0.38,0.16,0.15,0.43
0.13912487030029297,-0.34,-0.01,0.25,0.42
0.14904189109802246,0.0,-0.21,0.26,0.33
0.16204094886779785,0.1,-0.24,0.23,0.34
0.17089605331420898,-0.01,-0.22,0.02,0.22
0.18090391159057617,0.14,-0.16,-0.14,0.25
0.18919992446899414,0.2,-0.19,-0.35,0.44
0.1991558074951172,0.14,-0.29,-0.44,0.54
0.21071791648864746,0.11,-0.26,-0.29,0.4
0.2219998836517334,-0.05,-0.25,-0.11,0.27
0.2310190200805664,-0.17,-0.22,0.05,0.28
0.2400050163269043,-0.3,-0.22,0.22,0.43
0.2489790916442871,-0.3,-0.24,0.59,0.7
0.2607550621032715,-0.09,-0.2,0.91,0.93
0.2707858085632324,0.04,-0.2,0.78,0.8
0.281080961227417,0.0,-0.19,0.42,0.46
0.2891559600830078,0.02,-0.16,0.1,0.18
0.29917192459106445,0.11,-0.13,-0.18,0.24
0.31197309494018555,0.17,-0.13,-0.38,0.43
0.32088279724121094,0.28,-0.16,-0.48,0.57
0.33110594749450684,0.31,-0.21,-0.46,0.59
0.33927297592163086,0.18,-0.16,-0.36,0.43
0.34918785095214844,0.03,-0.07,-0.32,0.32
0.3623929023742676,-0.03,-0.02,-0.24,0.24
0.3709840774536133,-0.05,0.04,-0.13,0.14
0.38107895851135254,-0.02,0.01,-0.09,0.09
0.3891468048095703,-0.01,-0.08,-0.01,0.08
0.3992319107055664,-0.12,-0.03,0.07,0.14
0.41095590591430664,-0.27,0.13,-0.21,0.36
0.4209880828857422,-0.51,0.33,-1.15,1.3
0.43033695220947266,-0.49,0.63,0.38,0.88
0.4387960433959961,-0.18,0.38,0.66,0.78
0.4492168426513672,0.18,0.4,0.55,0.7
0.46117091178894043,-0.07,0.59,0.67,0.89
0.4767298698425293,-0.34,0.5,0.55,0.81
