time,ax,ay,az,atotal
0.003507852554321289,0.09,-0.15,0.25,0.3
0.009949922561645508,0.01,-0.14,0.14,0.19
0.020099878311157227,0.08,-0.03,-0.03,0.09
0.03152012825012207,0.08,0.01,-0.06,0.1
0.04147696495056152,0.01,0.03,0.04,0.05
0.05136513710021973,-0.12,-0.01,-0.01,0.12
0.059916019439697266,-0.16,-0.09,-0.13,0.22
0.07008600234985352,-0.21,-0.15,-0.23,0.34
0.0814521312713623,-0.16,-0.06,-0.17,0.24
0.09161496162414551,-0.15,-0.03,-0.12,0.19
0.1014258861541748,-0.12,-0.07,-0.1,0.17
0.10994791984558105,-0.04,0.0,-0.03,0.05
0.12008500099182129,0.06,-0.01,0.0,0.06
0.13163208961486816,0.14,0.06,0.08,0.17
0.1410820484161377,0.18,0.19,0.08,0.27
0.15099787712097168,0.18,0.15,0.05,0.23
0.15981316566467285,0.15,0.08,0.09,0.19
0.1700119972229004,0.01,0.07,0.07,0.09
0.1815330982208252,-0.13,0.04,0.01,0.13
0.19148993492126465,-0.11,0.04,-0.04,0.12
0.20148897171020508,-0.12,0.02,-0.02,0.12
0.21012187004089355,-0.09,0.03,-0.01,0.09
0.22039198875427246,-0.04,-0.02,0.04,0.06
0.23213696479797363,-0.03,-0.04,-0.51,0.51
0.2416830062866211,0.09,0.02,-1.05,1.05
0.2515699863433838,0.29,0.1,-0.41,0.51
0.2600729465484619,0.33,0.03,-0.07,0.33
0.2702369689941406,0.1,-0.23,0.03,0.25
0.2822990417480469,-0.02,-0.42,-0.17,0.45
0.2917180061340332,-0.28,-0.16,0.34,0.46
0.3014070987701416,-0.24,-0.04,1.19,1.21
0.31012797355651855,-0.01,-0.12,0.72,0.73
0.32038092613220215,-0.03,-0.01,0.06,0.06
0.33727288246154785,-0.06,-0.03,-0.23,0.23
0.34276700019836426,0.09,-0.22,-0.67,0.71
0.3513610363006592,0.41,-0.59,-1.43,1.6
0.35995006561279297,0.56,-0.75,-1.81,2.03
0.37011098861694336,0.68,-0.55,-1.37,1.62
0.3814380168914795,1.13,-0.26,-0.6,1.3
0.39110898971557617,1.59,-0.45,-0.42,1.7
0.40106797218322754,1.84,-0.85,-0.96,2.24
0.409869909286499,1.99,-1.14,-1.41,2.69
0.4198591709136963,2.11,-1.25,-1.43,2.83
0.43541693687438965,2.24,-0.91,-1.3,2.74
0.4411308765411377,2.41,-0.75,-1.49,2.93
0.45096898078918457,2.33,-1.12,-1.78,3.13
0.45983004570007324,2.29,-1.36,-1.87,3.25
0.4701220989227295,2.11,-1.31,-1.84,3.09
0.48137903213500977,1.28,-1.59,-0.64,2.13
0.49111104011535645,-0.29,-2.41,0.83,2.56
0.5010180473327637,-0.32,-2.45,-1.26,2.77
0.5099308490753174,-0.39,-2.48,-1.48,2.91
0.519934892654419,-0.71,-3.39,-1.71,3.86
0.5310220718383789,-1.15,-4.15,-1.5,4.56
0.5409219264984131,-1.62,-3.78,-0.54,4.14
0.5510618686676025,-2.32,-2.51,0.47,3.45
0.5599000453948975,-2.53,-0.84,0.98,2.84
0.5698180198669434,-2.07,0.61,0.98,2.37
0.5847320556640625,-1.52,0.64,0.8,1.83
0.5908629894256592,-0.03,-1.68,0.31,1.7
0.6007468700408936,1.51,-3.42,0.02,3.73
0.6098449230194092,0.63,-2.69,0.51,2.8
0.6199829578399658,-0.26,-1.75,-0.01,1.76
0.6308209896087646,-1.1,-1.51,-0.42,1.91
0.6408631801605225,-1.93,-0.75,-0.31,2.09
0.6505639553070068,-1.48,-0.76,-0.15,1.67
0.6598479747772217,-1.15,-0.69,0.19,1.35
0.6698391437530518,-1.02,-0.09,0.71,1.24
0.6808979511260986,-1.03,0.61,0.86,1.47
0.690911054611206,-0.85,1.38,0.39,1.66
0.7007050514221191,-1.09,2.56,0.48,2.82
0.7099158763885498,-1.62,3.4,0.69,3.82
0.7199549674987793,-2.47,4.56,1.26,5.33
0.7310431003570557,-3.47,5.94,2.03,7.17
0.741096019744873,-3.56,7.12,1.54,8.1
0.7505810260772705,-3.09,8.74,1.19,9.34
0.7599520683288574,-1.98,9.9,1.16,10.16
0.7699790000915527,-1.03,11.78,2.46,12.07
0.7812259197235107,-0.11,14.66,5.09,15.51
0.7917301654815674,1.73,16.58,7.66,18.34
0.8006799221038818,3.65,17.79,9.75,20.61
0.8104760646820068,4.52,18.65,11.1,22.16
0.8207180500030518,5.33,18.92,10.92,22.48
0.8346898555755615,5.35,18.45,9.3,21.34
0.8415510654449463,4.97,17.55,6.98,19.53
0.8507280349731445,4.9,16.79,5.71,18.39
0.8605179786682129,5.56,15.52,4.32,17.04
0.8706600666046143,6.1,14.08,3.08,15.65
0.8844931125640869,7.12,13.09,2.35,15.08
0.8911631107330322,8.68,11.63,2.0,14.64
0.9006609916687012,9.97,9.54,2.25,13.98
0.9098930358886719,10.77,7.65,3.75,13.73
0.9200019836425781,11.75,5.23,4.7,13.69
0.9339430332183838,12.25,2.57,4.37,13.25
0.9410610198974609,12.29,0.23,3.33,12.73
0.9505188465118408,12.04,-1.94,2.4,12.42
0.9599659442901611,11.99,-3.65,1.84,12.66
0.9700009822845459,12.12,-5.07,1.41,13.21
0.9840250015258789,11.89,-6.34,1.15,13.52
0.9911649227142334,11.49,-7.66,0.98,13.84
1.0007641315460205,10.82,-8.58,0.95,13.84
1.0100061893463135,10.38,-9.29,0.6,13.94
1.0201408863067627,10.38,-9.56,0.3,14.11
1.034271001815796,10.37,-9.87,0.04,14.31
1.041313886642456,10.18,-10.18,-0.19,14.39
1.0510590076446533,9.72,-10.53,-0.3,14.33
1.060711145401001,9.3,-10.92,-0.43,14.34
1.070214033126831,9.2,-11.27,-0.53,14.55
1.08473801612854,8.88,-11.52,-0.32,14.54
1.0912868976593018,8.34,-11.87,-0.17,14.5
1.1007931232452393,7.87,-12.42,-0.26,14.7
1.1101410388946533,6.84,-12.58,0.0,14.31
1.12021803855896,6.13,-12.53,0.32,13.95
1.1345031261444092,5.86,-12.62,0.31,13.91
1.1414589881896973,5.67,-12.56,0.09,13.78
