time,ax,ay,az,atotal
0.006951093673706055,-0.13,-0.05,-0.17,0.21
0.015170097351074219,-0.18,-0.07,-0.01,0.19
0.025124073028564453,-0.26,-0.1,-0.12,0.3
0.037217140197753906,-0.15,-0.03,-0.19,0.24
0.04508495330810547,0.15,0.01,-0.09,0.17
0.05699610710144043,0.09,0.02,0.04,0.1
0.06502008438110352,0.04,0.22,-0.07,0.23
0.0751190185546875,-0.08,0.24,0.0,0.25
0.08730316162109375,0.04,0.2,0.0,0.2
0.09510111808776855,0.16,0.18,0.03,0.24
0.1071009635925293,0.18,0.08,-0.03,0.19
0.11512517929077148,-0.04,-0.03,0.04,0.06
0.12518596649169922,-0.07,-0.07,0.13,0.16
0.13747406005859375,-0.18,0.04,-0.02,0.18
0.14519715309143066,-0.32,0.14,0.08,0.35
0.1569991111755371,-0.21,-0.02,0.24,0.31
0.1651592254638672,-0.06,-0.14,0.14,0.2
0.1751880645751953,0.19,-0.05,-0.03,0.19
0.18746519088745117,0.42,0.05,-0.07,0.42
0.19519424438476562,0.51,0.04,-0.13,0.52
0.2071552276611328,0.36,0.01,-0.2,0.41
0.21522116661071777,0.01,0.03,-0.22,0.22
0.22521305084228516,-0.36,0.03,-0.16,0.39
0.23740315437316895,-0.47,0.11,-0.16,0.5
0.24526214599609375,-0.53,0.09,0.06,0.54
0.25699329376220703,-0.53,-0.11,0.24,0.59
0.26523613929748535,-0.56,-0.17,0.28,0.64
0.2752261161804199,-0.59,-0.11,0.2,0.63
0.28748011589050293,-0.51,-0.06,0.04,0.51
0.29529714584350586,-0.17,-0.08,-0.14,0.23
0.30721616744995117,0.29,-0.41,-0.09,0.51
0.31525421142578125,1.23,0.29,0.08,1.26
0.3252840042114258,1.02,0.43,-0.33,1.15
0.3374490737915039,0.46,0.08,-0.51,0.69
0.34528398513793945,0.33,-0.18,-0.57,0.68
0.35726213455200195,0.07,-0.11,-0.5,0.51
0.36533117294311523,-0.51,0.03,-0.23,0.56
0.37523818016052246,-0.75,0.17,-0.19,0.79
0.38755321502685547,-0.64,0.18,-0.13,0.67
0.3953220844268799,-0.1,0.15,-0.06,0.19
0.4071922302246094,0.04,0.14,-0.12,0.18
0.4153122901916504,-0.1,0.13,0.28,0.32
0.4254460334777832,-0.18,-0.04,0.38,0.42
0.43766021728515625,-0.34,-0.08,-0.17,0.38
0.44532012939453125,-0.49,0.02,-0.38,0.62
0.4571542739868164,-0.35,0.1,-0.27,0.45
0.465482234954834,-0.13,0.01,-0.2,0.23
0.47536420822143555,0.04,-0.19,-0.04,0.19
0.48767900466918945,0.2,-0.28,0.27,0.43
0.4954400062561035,-0.03,-0.05,0.34,0.34
0.5072360038757324,-0.35,0.2,0.26,0.47
0.5154953002929688,-0.43,0.13,0.27,0.52
0.5254511833190918,-0.42,-0.06,0.35,0.54
0.5377480983734131,-0.4,-0.08,0.31,0.51
0.5454771518707275,-0.33,-0.11,0.54,0.64
0.5573241710662842,-0.33,-0.05,0.46,0.56
0.5653541088104248,-0.33,0.06,0.09,0.34
0.5753860473632812,-0.06,0.02,0.17,0.18
0.587752103805542,0.23,0.01,0.12,0.25
0.5954151153564453,0.33,-0.04,0.07,0.33
0.6072540283203125,0.18,0.02,0.22,0.28
0.6155242919921875,-0.12,0.17,0.19,0.28
0.625669002532959,-0.13,0.21,0.23,0.33
0.6377472877502441,0.35,0.24,0.52,0.67
0.6454811096191406,1.04,0.16,0.66,1.24
0.6572670936584473,1.41,0.14,0.4,1.47
0.6653671264648438,1.41,0.21,0.5,1.51
0.6755890846252441,1.5,0.3,0.94,1.79
0.6876950263977051,1.79,0.4,0.8,2.0
0.6955621242523193,2.13,0.46,0.31,2.2
0.707435131072998,2.43,0.52,0.36,2.51
0.7155251502990723,2.71,0.78,0.37,2.84
0.7256712913513184,2.91,1.19,-0.24,3.15
0.7378029823303223,2.96,1.4,-0.69,3.34
0.7455310821533203,3.03,1.54,-1.08,3.56
0.7572741508483887,3.73,2.32,-1.63,4.68
0.765484094619751,4.75,3.55,-1.63,6.14
0.7754611968994141,5.62,4.92,-0.74,7.5
0.7877171039581299,6.64,5.73,-0.29,8.77
0.7954750061035156,7.76,5.59,-1.05,9.62
0.8073229789733887,8.7,4.68,-1.79,10.03
0.8155550956726074,9.14,3.06,-2.69,10.0
0.8256270885467529,8.69,0.88,-2.98,9.22
0.8378520011901855,7.28,-1.31,-2.42,7.78
0.8455562591552734,5.97,-3.06,-1.44,6.86
0.8576221466064453,5.72,-4.02,-0.74,7.03
0.8656191825866699,5.8,-4.39,-0.53,7.29
0.8757171630859375,6.56,-4.68,0.54,8.07
0.8877441883087158,7.73,-4.58,-0.2,8.98
0.8955302238464355,9.19,-3.98,-1.48,10.12
0.9074282646179199,10.16,-3.09,-1.52,10.72
0.915776252746582,9.7,-1.78,-1.0,9.91
0.9255821704864502,8.13,-0.18,-0.24,8.13
0.9377281665802002,7.42,0.7,0.19,7.45
0.9457812309265137,6.93,0.71,-0.27,6.97
0.9573590755462646,5.59,0.62,-0.65,5.66
0.9676332473754883,4.83,0.62,-0.53,4.89
0.9755172729492188,4.44,0.64,-0.31,4.49
0.9878630638122559,3.8,0.59,-0.36,3.86
0.9955980777740479,3.1,0.34,-0.33,3.13
1.0074501037597656,2.42,-0.1,-0.41,2.45
1.0175600051879883,1.95,-0.37,-0.78,2.13
1.0256421566009521,1.55,-0.39,-0.9,1.83
1.0377302169799805,0.78,-0.52,-0.91,1.3
1.0455541610717773,-0.23,-0.68,-1.2,1.39
1.0573351383209229,-0.97,-0.71,-1.45,1.88
1.0674901008605957,-1.46,-0.74,-1.42,2.16
1.0756301879882812,-1.92,-0.77,-1.55,2.58
1.0877790451049805,-2.43,-0.73,-1.62,3.01
1.0956361293792725,-3.09,-0.52,-1.54,3.49
1.1074461936950684,-3.75,-0.32,-1.65,4.1
1.1174771785736084,-4.3,-0.39,-1.74,4.65
1.125655174255371,-4.79,-0.22,-1.97,5.18
1.137775182723999,-4.92,0.41,-2.14,5.38
1.1455450057983398,-4.84,0.87,-1.9,5.27
1.1574151515960693,-4.67,1.3,-2.12,5.29
1.1675572395324707,-4.55,1.85,-2.38,5.45
1.175563097000122,-4.59,2.15,-2.6,5.69
1.1878321170806885,-4.69,2.35,-3.09,6.08
1.1955642700195312,-5.16,2.52,-3.11,6.53
1.2073841094970703,-5.7,2.26,-3.38,7.0
1.2175321578979492,-6.32,1.23,-4.31,7.74
1.2256431579589844,-6.95,-0.09,-5.35,8.77
1.2379121780395508,-7.22,0.13,-4.38,8.44
1.2456700801849365,-7.56,1.16,-2.25,7.97
1.257528305053711,-7.98,2.23,-0.91,8.33
1.2676441669464111,-7.96,6.92,8.41,13.48
1.2758212089538574,-1.95,11.48,14.65,18.71
1.287830114364624,3.16,9.58,0.14,10.08
1.2957091331481934,3.72,7.04,-7.09,10.66
