time,ax,ay,az,atotal
0.009337902069091797,0.05,0.1,0.06,0.12
0.01530313491821289,-0.01,0.04,0.05,0.06
0.028025150299072266,-0.03,-0.1,0.12,0.15
0.037249088287353516,-0.04,-0.1,0.06,0.12
0.0455021858215332,-0.11,-0.05,0.01,0.12
0.05948495864868164,-0.12,-0.02,0.03,0.12
0.0659952163696289,-0.05,0.0,-0.01,0.05
0.07812023162841797,-0.02,0.0,-0.02,0.02
0.08717489242553711,-0.07,-0.04,0.01,0.08
0.09561014175415039,-0.06,-0.04,0.03,0.07
0.1098642349243164,0.0,-0.01,0.01,0.01
0.11539006233215332,0.05,-0.01,0.05,0.07
0.12859821319580078,0.07,0.03,-0.07,0.1
0.13760614395141602,0.09,0.01,-0.01,0.09
0.14574813842773438,0.14,0.05,-0.08,0.16
0.15949392318725586,-0.02,0.05,0.02,0.05
0.16597509384155273,-0.15,0.01,0.01,0.15
0.17821907997131348,-0.16,0.03,0.02,0.16
0.1868419647216797,-0.03,0.01,-0.04,0.05
0.19545888900756836,-0.04,0.04,-0.08,0.09
0.2094111442565918,-0.02,0.03,0.06,0.06
0.21550893783569336,0.07,0.01,0.15,0.16
0.2282581329345703,0.08,0.01,0.14,0.16
0.2374281883239746,-0.01,-0.06,0.12,0.13
0.24564504623413086,-0.03,-0.04,0.05,0.07
0.2599050998687744,-0.06,-0.02,0.03,0.06
0.2659130096435547,-0.07,0.0,-0.01,0.07
0.278317928314209,-0.09,0.03,0.0,0.09
0.28698205947875977,-0.06,0.05,0.02,0.08
0.2955200672149658,-0.07,0.02,0.04,0.08
0.3099079132080078,-0.06,0.0,0.07,0.09
0.3153820037841797,-0.06,-0.03,0.02,0.06
0.32854700088500977,0.01,-0.05,-0.03,0.05
0.33728599548339844,0.1,0.02,-0.12,0.15
0.3456270694732666,0.08,0.06,-0.15,0.18
0.35971498489379883,0.03,0.0,-0.06,0.06
0.3659629821777344,0.14,0.0,-0.31,0.34
0.3783090114593506,0.21,-0.1,0.27,0.35
0.3868520259857178,0.12,0.03,0.07,0.14
0.39560699462890625,-0.08,-0.04,0.16,0.18
0.4096410274505615,-0.19,-0.08,0.19,0.28
0.41554808616638184,-0.12,-0.02,0.07,0.14
0.4282801151275635,0.02,0.02,-0.25,0.25
0.4373490810394287,0.07,0.0,0.12,0.13
0.445742130279541,0.0,0.06,0.01,0.06
0.4593241214752197,-0.03,0.02,0.01,0.03
0.466001033782959,0.02,-0.01,-0.07,0.07
0.4781489372253418,0.06,0.0,-0.05,0.07
0.4869041442871094,0.02,0.07,0.01,0.07
0.49570608139038086,-0.04,0.0,-0.04,0.05
0.5096590518951416,-0.01,-0.05,-0.1,0.11
0.5156350135803223,0.0,0.0,-0.05,0.05
0.5285170078277588,-0.03,0.09,-0.02,0.09
0.5373249053955078,-0.05,0.02,0.03,0.06
0.5458431243896484,0.04,0.03,0.05,0.07
0.5598049163818359,0.03,0.09,0.0,0.09
0.5664830207824707,-0.03,0.02,0.08,0.08
